control_input	control_input.1	control_IP	control_IP.1	treatment_input	treatment_input.1	treatment_IP	treatment_IP.1
peak1	3	0	25	9	8	2	110	124
peak2	8	4	346	84	5	2	161	62
peak3	29	11	163	122	32	21	51	102
peak4	245	142	2094	2618	258	290	1724	2065
peak5	802	386	13027	11693	687	602	13164	16688
peak6	82	52	3382	2525	75	54	2071	1447
peak7	29	8	1123	630	6	18	491	644
peak8	80	92	1345	1632	57	137	956	943
peak9	134	106	1051	1983	129	185	1038	1432
peak10	322	122	316	784	180	221	280	822
peak11	1	1	51	85	3	3	106	103
peak12	97	43	2077	1779	232	166	3237	2349
peak13	15	5	130	73	33	12	180	59
peak14	1	10	141	123	30	13	317	257
peak15	55	35	3247	2765	66	63	2161	1789
peak16	2	1	178	142	1	9	84	43
peak17	13	20	807	558	22	8	400	191
peak18	13	4	242	179	1	9	120	77
peak19	7	2	197	380	33	26	167	152
peak20	5	5	38	17	8	9	52	92
peak21	33	5	143	85	51	45	207	273
peak22	8	0	332	312	0	8	330	179
peak23	72	43	1360	877	40	27	689	801
peak24	55	44	260	121	43	47	128	100
peak25	2	1	167	212	0	7	114	218
peak26	712	290	6439	4018	507	431	4821	3567
peak27	261	196	5350	4403	324	209	3569	3497
peak28	96	62	351	506	86	71	344	521
peak29	60	38	667	889	121	82	462	451
peak30	130	87	1043	1316	132	135	586	814
peak31	0	4	103	206	2	2	12	3
peak32	60	66	1458	1686	85	90	1222	879
peak33	165	74	498	497	116	83	390	448
peak34	71	28	1432	989	64	63	940	520
peak35	6	10	118	76	4	5	52	66
peak36	24	22	1334	861	39	42	1429	730
peak37	33	15	154	164	37	18	195	287
peak38	81	30	154	236	84	54	153	330
peak39	7	2	219	241	2	19	184	215
peak40	160	108	1744	2444	237	224	1401	1481
peak41	195	88	342	343	210	192	440	633
peak42	88	61	1821	1660	164	160	1367	1043
peak43	168	74	332	253	193	85	214	303
peak44	154	132	2511	1936	201	220	1794	1661
peak45	194	92	1369	1621	223	188	891	1035
peak46	9	0	33	23	4	4	55	61
peak47	105	37	568	339	33	32	239	62
peak48	38	43	200	353	46	66	175	221
peak49	318	250	15631	10504	460	318	11932	6694
peak50	63	12	1133	649	65	28	953	387
peak51	55	41	2709	1946	80	57	1948	956
peak52	61	39	1015	766	114	58	538	414
peak53	5	4	134	135	0	2	65	58
peak54	10	2	74	101	3	3	28	29
peak55	15	11	160	151	18	2	48	33
peak56	291	157	5299	3841	293	219	2012	1065
peak57	6	14	142	178	2	15	113	88
peak58	15	6	440	1193	16	12	363	384
peak59	50	53	4827	5570	87	56	2476	1484
peak60	4	2	645	459	17	17	1211	456
peak61	16	14	237	228	49	42	341	130
peak62	774	434	3522	2723	625	502	1751	2533
peak63	28	0	612	494	9	2	240	157
peak64	45	43	170	143	27	32	163	147
peak65	28	5	536	297	33	20	367	258
peak66	14	13	92	84	9	21	33	25
peak67	198	95	326	645	195	106	533	1021
peak68	261	103	9806	6399	217	170	6363	3966
peak69	45	7	134	134	16	8	110	104
peak70	94	53	125	261	33	55	126	261
peak71	2	5	175	118	0	0	59	44
peak72	24	11	290	256	17	6	140	82
peak73	98	29	235	440	88	36	253	950
peak74	12	12	371	371	9	27	144	122
peak75	1399	535	1945	1164	690	454	1150	1655
peak76	466	145	465	468	167	142	404	523
peak77	13	5	81	102	0	12	100	64
peak78	22	3	268	236	9	9	169	64
peak79	33	18	431	456	61	81	315	292
peak80	11	5	301	251	15	6	165	159
peak81	209	91	1624	2003	301	242	1483	2136
peak82	74	29	1858	956	107	77	1267	754
peak83	89	57	498	409	75	77	215	276
peak84	55	45	344	476	64	61	211	203
peak85	12	11	123	54	11	7	87	47
peak86	7	3	97	52	14	8	66	60
peak87	105	58	987	989	77	66	333	460
peak88	80	24	195	260	40	46	89	113
peak89	66	30	284	227	57	20	134	178
peak90	35	16	771	603	78	55	373	262
peak91	75	20	47	86	50	24	46	127
peak92	39	24	3718	2561	19	31	2367	1419
peak93	8	12	228	168	4	6	84	68
peak94	16	21	75	266	11	19	74	110
peak95	218	136	944	854	232	248	789	763
peak96	72	36	747	511	87	79	422	244
peak97	221	89	3684	2054	173	149	1173	597
peak98	14	11	356	374	25	21	510	529
peak99	33	14	259	277	29	30	351	248
peak100	170	92	1479	1402	277	206	1370	1338
peak101	133	40	885	789	204	92	588	358
peak102	59	36	1406	748	112	96	1411	687
peak103	38	25	382	498	82	93	316	178
peak104	389	381	12645	11122	425	595	11052	8144
peak105	56	39	1004	1106	86	86	862	543
peak106	349	158	9176	6229	404	307	7035	4426
peak107	654	187	739	1565	566	291	1003	1709
peak108	33	24	375	396	47	17	399	191
peak109	12	4	140	107	1	0	61	47
peak110	3	1	120	147	5	11	25	35
peak111	11	20	490	573	1	17	567	333
peak112	29	22	71	108	15	22	91	135
peak113	41	39	394	706	63	71	285	529
peak114	16	5	139	194	12	21	166	204
peak115	102	55	783	739	191	209	1061	879
peak116	221	132	4819	2732	207	173	3769	1405
peak117	57	64	818	1470	60	103	775	863
peak118	25	56	551	879	45	32	467	423
peak119	126	76	995	1323	124	126	513	747
peak120	14	18	135	235	23	35	51	184
peak121	43	62	703	1083	72	195	399	434
peak122	23	20	93	201	13	62	49	161
peak123	43	32	96	167	49	46	146	324
peak124	60	42	1369	1219	79	75	1101	801
peak125	78	39	666	793	26	23	120	117
peak126	56	17	810	613	39	51	496	280
peak127	52	40	1228	1568	77	106	1832	1903
peak128	15	7	123	148	20	28	71	100
peak129	5	8	287	158	2	9	229	100
peak130	9	0	496	188	6	0	167	97
peak131	92	56	407	475	32	42	60	105
peak132	558	471	16034	18978	227	268	5855	3577
peak133	35	40	160	268	16	25	49	76
peak134	5	2	255	323	20	4	180	116
peak135	16	14	391	290	5	17	165	96
peak136	47	98	482	594	29	42	244	253
peak137	24	30	469	625	35	44	165	150
peak138	0	0	128	123	0	3	71	35
peak139	18	40	405	420	22	27	157	181
peak140	56	54	466	587	23	26	101	44
peak141	84	69	683	460	37	30	147	104
peak142	83	44	1460	756	88	56	537	303
peak143	0	0	29	12	0	0	108	57
peak144	13	4	93	102	3	4	15	14
peak145	12	5	158	214	6	2	74	45
peak146	58	27	682	574	11	22	142	100
peak147	0	0	126	102	0	0	14	17
peak148	42	25	599	611	22	27	426	294
peak149	58	37	838	1060	48	34	791	406
peak150	137	85	1331	1648	143	134	866	899
peak151	93	27	265	175	134	103	198	239
peak152	334	225	2613	3251	257	320	1761	2038
peak153	0	0	41	28	8	30	269	223
peak154	38	12	293	249	37	17	217	96
peak155	81	10	345	378	44	62	150	179
peak156	74	27	562	490	46	27	325	169
peak157	527	188	4960	4721	343	297	2491	1795
peak158	722	448	15671	9612	692	779	10392	7201
peak159	13	15	629	818	23	7	369	312
peak160	50	41	595	580	36	60	338	139
peak161	14	10	151	259	17	21	115	57
peak162	103	69	1165	1141	130	103	713	294
peak163	85	64	2937	3020	102	91	1621	777
peak164	27	15	367	524	31	62	191	159
peak165	5	4	167	153	0	7	53	29
peak166	61	28	2519	1366	14	6	827	320
peak167	3	10	151	310	5	8	70	130
peak168	18	16	93	222	11	5	48	80
peak169	125	100	1495	2254	30	57	302	465
peak170	85	35	445	318	90	115	424	618
peak171	44	39	490	433	69	86	723	728
peak172	0	3	113	73	2	0	45	33
peak173	62	33	534	181	34	41	482	128
peak174	0	0	38	26	0	9	184	177
peak175	5	14	204	225	69	75	796	986
peak176	8	10	109	71	43	59	347	385
peak177	2	13	29	46	30	55	171	306
peak178	2	1	56	57	6	30	149	229
peak179	3	7	34	51	7	16	205	241
peak180	4	0	25	49	9	15	129	100
peak181	34	19	778	985	72	82	1466	1307
peak182	21	6	98	63	54	32	371	243
peak183	85	54	857	517	26	39	207	142
peak184	726	329	4286	3352	374	269	2008	2503
peak185	31	21	19	80	4	14	19	77
peak186	489	210	3478	2294	482	468	1711	911
peak187	131	66	611	635	121	196	548	386
peak188	31	24	297	316	51	41	214	171
peak189	65	46	588	794	72	60	509	395
peak190	18	4	474	183	1	6	175	74
peak191	28	23	39	54	27	25	19	144
peak192	51	20	240	238	38	32	104	91
peak193	101	52	328	511	77	94	203	254
peak194	247	123	310	243	130	84	246	486
peak195	66	25	230	234	35	45	82	58
peak196	149	96	132	134	116	111	94	162
peak197	13	16	232	326	32	39	79	62
peak198	429	302	6478	10643	315	336	5582	8026
peak199	382	298	7339	8066	290	332	3946	4911
peak200	23	9	216	155	16	6	153	103
peak201	27	1	180	218	120	126	1263	763
peak202	34	11	921	552	155	140	8411	8666
peak203	7	4	141	191	32	23	115	114
peak204	20	18	164	181	45	38	176	138
peak205	33	15	600	634	55	27	614	276
peak206	1	6	142	200	6	4	138	107
peak207	173	123	860	989	191	183	702	637
peak208	10	14	447	293	50	9	300	114
peak209	869	516	37672	17728	315	312	11037	6508
peak210	890	451	5281	4998	294	318	1587	1365
peak211	40	30	484	604	25	19	137	118
peak212	192	139	1492	1823	216	222	1041	804
peak213	51	33	571	366	193	92	476	555
peak214	129	65	1047	959	205	148	782	1203
peak215	300	138	862	609	501	307	1214	1922
peak216	0	1	107	44	4	5	53	26
peak217	175	135	3560	2160	362	243	1752	872
peak218	255	110	1559	1775	351	345	1064	902
peak219	103	40	179	384	161	75	242	721
peak220	226	83	1288	833	83	108	536	797
peak221	12	13	554	386	17	25	372	213
peak222	18	18	159	218	21	25	228	207
peak223	16	12	333	275	22	18	208	145
peak224	14	1	393	331	19	17	215	91
peak225	0	1	14	4	22	29	92	45
peak226	25	4	118	138	0	4	44	46
peak227	4	8	202	246	17	21	390	444
peak228	11	6	210	112	63	36	130	66
peak229	52	41	339	329	69	44	176	125
peak230	25	13	209	207	29	18	82	108
peak231	76	28	186	250	46	22	229	500
peak232	34	18	581	434	16	22	196	172
peak233	48	49	758	1088	60	65	472	351
peak234	33	15	1447	964	60	48	1581	999
peak235	27	41	178	363	33	46	63	122
peak236	21	15	455	673	22	17	326	204
peak237	36	31	1165	809	29	36	874	584
peak238	2	2	99	97	11	11	83	39
peak239	7	8	101	111	2	14	53	38
peak240	36	7	594	313	33	48	996	388
peak241	44	26	514	550	58	36	348	176
peak242	267	85	3567	1384	330	105	2099	1090
peak243	52	50	1047	1172	43	55	747	667
peak244	162	58	1741	1304	184	95	1467	1015
peak245	114	52	2912	3379	61	37	1398	717
peak246	163	104	2442	1956	73	88	1025	827
peak247	44	20	411	518	44	26	156	150
peak248	16	16	165	256	8	24	62	69
peak249	180	101	257	200	109	49	208	152
peak250	9	29	709	710	14	17	205	177
peak251	12	4	170	212	4	5	46	38
peak252	544	284	10619	10474	30	28	576	436
peak253	29	10	513	647	1	1	20	11
peak254	81	59	2341	2043	5	3	71	50
peak255	33	7	213	189	0	1	2	4
peak256	83	107	763	776	133	92	545	324
peak257	35	17	268	207	55	36	233	135
peak258	6	0	270	180	9	4	170	81
peak259	6	7	47	118	18	9	69	106
peak260	1	0	32	17	8	5	289	154
peak261	453	177	771	1004	269	207	672	1317
peak262	2	1	11	17	13	4	65	84
peak263	13	2	477	417	9	18	253	180
peak264	691	439	10676	9206	445	491	7736	7344
peak265	18	38	366	417	35	33	280	207
peak266	267	144	2236	1262	171	120	457	229
peak267	8	7	69	59	11	14	159	103
peak268	11	12	205	301	5	12	134	91
peak269	209	132	7537	5422	178	182	3772	2495
peak270	110	65	570	772	83	98	304	354
peak271	17	14	270	287	23	29	192	136
peak272	30	6	174	133	14	8	20	7
peak273	20	16	131	89	25	18	73	97
peak274	40	27	58	118	29	17	28	88
peak275	50	30	314	385	37	36	147	90
peak276	20	9	1345	1009	23	22	1178	767
peak277	26	32	461	510	42	51	585	326
peak278	16	13	636	726	18	37	560	393
peak279	72	23	1231	878	62	33	692	363
peak280	68	42	2766	2369	59	78	1839	946
peak281	5	2	143	261	3	6	62	108
peak282	66	52	624	917	35	75	217	206
peak283	9	5	183	196	1	1	184	110
peak284	355	200	4389	3773	109	125	1085	768
peak285	8	9	595	600	7	6	273	190
peak286	124	76	305	602	76	105	198	178
peak287	151	121	2320	5001	122	222	1444	1351
peak288	220	143	6988	6876	169	207	4651	3174
peak289	51	34	483	384	30	36	606	441
peak290	170	96	1743	1529	105	94	607	333
peak291	98	51	376	318	30	56	114	93
peak292	154	80	1941	1526	152	124	782	466
peak293	144	114	1378	1215	192	109	993	692
peak294	45	48	607	824	12	37	332	308
peak295	191	124	998	1896	152	147	641	775
peak296	4	5	79	61	0	6	7	2
peak297	16	0	148	97	0	0	37	12
peak298	77	36	363	363	138	110	643	512
peak299	52	46	197	297	5	19	36	36
peak300	83	118	2288	2457	126	146	1154	951
peak301	221	97	1898	1483	147	99	937	614
peak302	5	5	134	191	19	9	102	69
peak303	250	82	4875	3199	197	150	1708	868
peak304	291	109	1041	638	354	275	547	281
peak305	166	116	2203	1571	139	153	1107	579
peak306	7	3	163	80	21	12	147	106
peak307	68	21	759	464	85	59	650	410
peak308	18	16	624	534	17	24	296	190
peak309	100	102	859	1076	149	209	944	603
peak310	53	59	1949	1868	136	96	2121	1207
peak311	152	92	609	711	142	96	520	952
peak312	5	5	366	294	4	7	163	57
peak313	39	48	414	445	96	53	443	243
peak314	13	8	340	264	9	8	193	144
peak315	45	35	2351	1928	65	63	2143	1660
peak316	100	64	293	225	65	66	164	247
peak317	7	6	50	115	2	13	21	43
peak318	163	80	891	801	152	97	661	412
peak319	170	100	1539	1630	115	69	627	742
peak320	53	31	1326	1569	29	56	390	324
peak321	250	156	1468	1742	137	182	847	1695
peak322	531	371	7798	7745	312	428	4255	7248
peak323	129	104	3116	2454	138	113	1721	1461
peak324	21	10	142	278	18	21	91	107
peak325	76	26	2195	1698	54	82	1168	991
peak326	13	4	199	256	8	14	179	166
peak327	49	3	126	112	31	30	93	162
peak328	88	51	1323	1625	77	67	520	479
peak329	21	10	361	143	29	2	131	60
peak330	34	18	301	391	26	16	151	189
peak331	7	4	117	118	18	7	130	59
peak332	88	73	114	181	81	82	70	116
peak333	115	54	1653	1281	77	76	1095	841
peak334	7	0	210	129	0	15	194	138
peak335	253	158	2076	2056	260	194	1507	2224
peak336	41	10	1375	727	36	19	657	311
peak337	43	14	862	785	79	75	1395	865
peak338	82	51	377	417	115	133	247	223
peak339	36	4	212	184	52	45	506	396
peak340	58	9	225	185	36	56	131	117
peak341	16	9	124	184	11	32	84	135
peak342	61	20	83	103	20	21	62	99
peak343	10	8	227	188	8	8	49	108
peak344	29	31	396	418	38	34	454	385
peak345	135	61	5390	2971	125	130	3164	1410
peak346	66	29	480	450	89	80	300	364
peak347	96	41	286	298	148	73	258	333
peak348	100	92	3518	3607	112	185	4248	3820
peak349	36	7	396	365	20	23	272	287
peak350	368	246	13960	13118	313	325	7005	5677
