control_input	control_input.1	control_IP	control_IP.1	treatment_input	treatment_input.1	treatment_IP	treatment_IP.1
peak1	6	0	101	19	49	57	189	439
peak2	58	35	88	65	323	373	193	257
peak3	1336	697	7201	6024	11172	11130	17618	35510
peak4	21	0	58	88	25	52	131	290
peak5	37	0	116	103	36	55	165	220
peak6	29	0	5	3	20	29	69	147
peak7	64	1	208	50	70	109	269	373
peak8	16	0	430	118	84	123	234	543
peak9	173	56	1479	298	597	707	1760	2913
peak10	915	96	2189	655	1214	1730	1326	2832
peak11	726	52	1168	538	635	874	1076	2651
peak12	783	111	1719	1118	625	856	2009	3335
peak13	80	0	122	40	21	68	237	102
peak14	258	0	461	133	96	120	358	325
peak15	73	41	939	399	229	297	343	598
peak16	440	49	2026	1046	308	301	1203	1631
peak17	24	0	354	103	63	96	261	445
peak18	246	172	1365	473	536	589	1864	2611
peak19	2	19	94	48	13	6	155	133
peak20	1612	178	7280	4241	2588	3323	9951	18124
peak21	2226	238	3701	1300	3755	4539	4873	7628
peak22	143	0	235	66	341	357	439	1066
peak23	3254	775	12220	4265	8683	8966	18466	28717
peak24	329	39	1745	820	415	520	894	1520
peak25	843	59	3297	1610	534	725	2180	3655
peak26	1143	181	1110	576	1732	2193	988	2066
peak27	51	8	101	25	5	12	147	127
peak28	287	32	724	516	720	944	1258	2166
peak29	264	90	1136	268	669	818	1723	2568
peak30	190	52	781	314	492	671	786	1355
peak31	228	143	2839	1712	364	319	1444	2015
peak32	49	4	309	376	95	129	469	703
peak33	496	56	5371	1944	477	497	3463	4656
peak34	1328	465	2465	1339	2857	3322	1701	3574
peak35	50	7	444	180	94	96	108	106
peak36	36	0	237	224	45	153	237	514
peak37	122	53	824	438	217	279	682	1226
peak38	85	44	438	281	180	189	462	766
peak39	216	12	1326	545	490	641	1677	2850
peak40	551	214	1722	987	1481	1905	1898	3631
peak41	447	92	833	307	516	652	858	1371
peak42	133	61	771	245	290	354	597	1371
peak43	107	0	869	235	123	173	926	1546
peak44	68	0	550	248	169	216	372	980
peak45	59	0	634	328	165	242	489	1214
peak46	103	11	1423	324	193	240	1364	1945
peak47	12	0	94	96	91	105	694	908
peak48	554	179	3520	2481	851	1120	2722	4484
peak49	958	388	5877	4368	2683	3010	4213	8482
peak50	123	41	2956	1746	271	367	1208	2595
peak51	98	39	389	183	83	134	361	608
peak52	270	65	1914	850	517	481	1512	2365
peak53	44	24	541	60	108	116	293	608
peak54	58	34	601	208	132	173	399	568
peak55	34	1	379	235	84	100	325	682
peak56	395	134	2030	519	341	451	1731	2733
peak57	1785	337	1301	489	3322	4355	1350	2855
peak58	28135	8508	31365	17688	55056	69739	26946	53533
peak59	9346	2028	7981	4829	16016	21616	8395	15663
peak60	10293	1833	4998	2490	11587	14563	4631	9293
peak61	13291	1203	4034	1868	5417	7519	3548	6545
peak62	3849	2005	3453	2370	6716	9516	3326	6874
peak63	3966	1274	1968	925	3781	4933	1362	3235
peak64	0	0	9	0	142	153	502	783
peak65	40	0	348	195	52	62	58	156
peak66	40	10	233	45	100	83	104	201
peak67	148	0	70	145	95	146	194	311
peak68	324	6	1210	680	629	783	1242	2339
peak69	635	143	579	572	825	1344	1125	1829
peak70	683	260	705	295	1178	1558	839	1707
peak71	2158	892	9381	3619	8946	11450	8114	14911
peak72	171	5	1051	664	187	267	794	1543
peak73	118	100	630	259	164	169	358	608
peak74	347	27	687	448	285	320	684	1077
peak75	22	0	279	76	40	48	489	648
peak76	769	92	2429	1277	1416	1690	2222	3774
peak77	2131	785	11318	6296	3062	3274	6288	10652
peak78	64	40	598	432	234	361	787	1728
peak79	135	173	803	379	632	736	891	1779
peak80	193	29	543	273	376	516	654	1412
peak81	105	31	1374	397	528	637	1188	1885
peak82	48	54	339	156	193	260	252	424
peak83	50	0	765	360	108	124	620	995
peak84	0	0	70	47	59	71	152	194
peak85	213	127	1310	438	1405	1615	1448	2547
peak86	665	149	3084	1268	1967	2240	5897	8950
peak87	267	49	2017	686	631	766	1801	2895
peak88	430	137	835	234	1984	2229	1597	2598
peak89	365	132	1425	806	766	883	1006	2077
peak90	1622	291	15795	6301	2551	3043	17133	26108
peak91	28	0	153	121	79	89	188	421
peak92	26	0	190	3	111	115	184	450
peak93	58	12	548	417	119	151	211	741
peak94	35	0	454	173	110	128	263	606
peak95	24	19	782	398	47	102	411	684
peak96	203	0	2099	1402	202	230	1409	2550
peak97	284	93	88	66	109	161	393	245
peak98	839	85	1400	456	618	841	1273	2306
peak99	30	16	309	269	23	30	280	419
peak100	18	0	338	285	41	60	352	796
peak101	25	12	235	163	130	161	242	515
peak102	177	74	1955	1194	262	335	1162	2525
peak103	1930	201	457	223	884	1145	824	1158
peak104	12	0	215	99	25	11	111	201
peak105	7	18	374	360	74	82	398	865
peak106	35	12	461	344	59	87	566	913
peak107	16	0	67	69	49	51	143	443
peak108	72	76	391	94	238	322	484	760
peak109	94	163	410	285	220	316	345	425
peak110	233	78	2065	904	568	843	1921	3429
peak111	233	63	660	334	152	183	784	1610
peak112	394	78	4734	1829	949	1142	5754	8307
peak113	91	1	464	259	185	296	517	970
peak114	609	202	2948	1548	676	900	1762	3140
peak115	487	25	1787	1148	1840	2217	3188	7158
peak116	134	35	552	431	151	182	420	772
peak117	570	97	785	663	893	1298	816	1639
peak118	1410	142	978	531	1742	2251	1145	2355
peak119	130	50	857	702	146	172	587	957
peak120	167	8	780	285	128	163	647	1211
peak121	241	45	952	520	273	414	655	1220
peak122	1187	157	6012	2612	917	1163	2847	5294
peak123	74	17	709	153	253	330	1276	2371
peak124	1257	237	9483	3660	3463	4055	15294	23899
peak125	274	91	3080	1965	764	980	5138	8917
peak126	55	25	530	83	99	105	453	898
peak127	2330	918	6475	3110	6930	7784	7255	14047
peak128	2112	154	1832	1051	1256	1605	1382	2194
peak129	38	41	734	579	307	334	1197	2140
peak130	20	25	461	327	135	180	707	1013
peak131	159	20	819	213	187	253	895	1832
peak132	50	75	355	218	153	164	558	811
peak133	223	101	1362	527	555	598	834	2095
peak134	20	0	178	140	62	92	183	300
peak135	83	0	516	238	167	219	266	720
peak136	64	37	719	455	281	313	371	662
peak137	34	28	171	1	131	188	248	475
peak138	764	115	1655	803	1976	2298	2534	3733
peak139	146	1	540	256	679	750	1122	1911
peak140	118	9	480	274	407	506	595	1280
peak141	361	53	1635	1167	205	199	727	1072
peak142	88	39	409	291	85	116	218	496
peak143	517	88	568	271	1262	1634	916	1878
peak144	2	3	78	246	59	89	201	369
peak145	28	73	295	44	206	197	459	650
peak146	62	35	374	105	167	194	660	808
peak147	166	62	506	265	216	268	564	1007
peak148	420	134	3041	1847	506	733	1850	3107
peak149	24125	4688	16435	7636	22096	29835	14201	22530
peak150	14316	2234	14494	7159	10394	13222	9895	17830
peak151	18399	5328	66664	38250	33909	42433	44496	86763
peak152	169	79	1885	1113	252	375	1347	2517
peak153	45	35	446	229	77	80	514	769
peak154	55	2	838	314	1485	1606	7473	11951
peak155	0	0	31	0	29	36	112	304
peak156	148	39	1465	1026	576	756	1027	2825
peak157	130	0	453	201	233	314	644	1027
peak158	50	77	787	260	64	99	185	408
peak159	66	101	785	375	234	304	533	1061
peak160	21	31	722	351	237	251	392	564
peak161	1186	56	3542	2194	1203	1489	2298	4887
peak162	182	39	1110	871	158	203	758	1168
peak163	442	211	1899	1304	335	443	1277	2244
peak164	792	135	2999	1904	2266	2384	3097	5602
peak165	15	0	228	164	49	44	291	393
peak166	36	44	299	150	70	47	224	398
peak167	20	2	515	325	69	86	309	738
peak168	59	45	313	409	367	448	474	871
peak169	69	35	453	75	122	140	179	273
peak170	377	160	1844	724	767	933	1370	2132
peak171	61	10	514	127	66	89	249	440
peak172	30	16	243	74	69	109	92	250
peak173	44	93	565	190	98	88	269	489
peak174	92	49	871	337	58	123	361	610
peak175	2143	342	6470	3433	4493	6585	8583	18151
peak176	1298	206	2268	881	2782	3688	4693	10049
peak177	117	38	1301	588	116	138	976	1713
peak178	99	32	793	699	117	140	479	828
peak179	2968	1836	17788	6867	9398	9315	12071	21989
peak180	364	81	2681	2093	1265	1267	4806	7048
peak181	154	39	535	260	2003	2172	1305	2429
peak182	5892	1255	27375	9070	7522	8568	13979	25450
peak183	13	82	551	290	279	328	634	1236
peak184	189	16	2585	1108	538	674	2213	4138
peak185	222	32	867	569	328	346	941	1988
peak186	230	91	3603	1712	567	703	3577	5877
peak187	254	98	1518	683	955	989	1217	2003
peak188	20	0	108	22	30	39	124	248
peak189	69	1	812	469	114	132	1150	1688
peak190	67	22	841	324	161	236	1317	1898
peak191	159	97	664	712	262	393	663	1282
peak192	269	115	1728	1234	324	470	1490	2683
peak193	918	68	1294	805	690	989	1212	1976
peak194	98	124	1380	1175	122	124	162	456
peak195	44	62	564	432	266	304	445	830
peak196	27	0	194	129	42	44	74	117
peak197	40	16	314	197	1486	1612	864	1855
peak198	194	54	721	497	1801	1543	3597	5157
peak199	233	49	1789	1082	545	652	1026	2085
peak200	24	0	336	118	79	116	503	958
peak201	48	0	696	274	145	104	828	1288
peak202	321	117	3054	1050	1063	1143	3444	5908
peak203	35	0	584	606	69	76	448	722
peak204	463	65	1793	1092	546	732	1313	2483
peak205	2185	419	7593	3488	5181	5881	9033	18355
peak206	39	27	862	309	186	292	478	858
peak207	78	60	467	164	277	333	381	867
peak208	729	173	3360	2040	1711	2059	3607	6786
peak209	128	19	702	370	340	505	556	1168
peak210	692	94	2042	1925	740	979	1892	3392
peak211	328	122	2985	1358	694	939	1488	3559
peak212	88	34	1280	653	189	292	934	1784
peak213	294	142	5148	1962	837	1001	4647	9627
peak214	3	20	222	174	17	28	268	454
peak215	602	335	5310	3034	1736	2270	8185	14943
peak216	199	1	288	130	439	460	433	954
peak217	9454	721	5548	2516	7639	8420	5364	9327
peak218	1678	622	4882	2438	3400	4122	2278	6342
peak219	78	59	1317	1048	302	425	1439	2900
peak220	169	0	734	287	281	379	727	946
peak221	45	0	461	25	274	349	399	634
peak222	57	53	375	295	99	109	207	440
peak223	24	0	689	621	76	101	478	894
peak224	160	0	1567	876	132	179	871	1702
peak225	6	0	168	233	53	33	165	274
peak226	78	0	912	426	85	128	707	1143
peak227	51	1	127	86	33	33	272	370
peak228	39	0	434	367	173	161	829	1107
peak229	844	89	1625	682	733	995	1345	2248
peak230	433	232	1424	1187	827	1020	1692	2891
peak231	358	97	1500	672	456	540	1381	2256
peak232	259	78	1478	779	711	866	1798	3722
peak233	916	227	2691	1012	567	774	1428	2816
peak234	70	0	318	298	65	83	223	549
peak235	86	32	1933	1310	334	449	1711	3590
peak236	211	119	2870	1440	1082	1388	5921	9849
peak237	2284	468	1521	656	8928	11355	2319	6173
peak238	968	331	1855	1155	5155	6579	2565	5088
peak239	1012	650	3026	2024	5067	6169	5050	10143
peak240	57	12	201	161	69	94	382	624
peak241	324	68	3566	1591	826	1108	3185	6015
peak242	122	33	1750	730	408	467	2742	4994
peak243	28	0	90	35	113	134	254	321
peak244	16	0	334	84	16	46	224	399
peak245	258	96	1959	810	813	809	3055	5228
peak246	331	104	623	287	718	1058	1128	1806
peak247	318	75	752	369	452	636	942	1892
peak248	580	247	3357	2087	1246	1859	3755	7501
peak249	590	165	1652	942	739	1056	1579	2727
peak250	226	13	377	299	160	480	294	625
peak251	101	14	542	339	278	282	769	1402
peak252	76	28	522	481	298	283	270	444
peak253	9	0	321	237	30	62	251	549
peak254	132	41	558	408	140	161	367	598
peak255	253	46	705	286	351	403	549	1060
peak256	249	99	802	594	141	159	701	907
peak257	346	45	2256	880	1018	1287	2216	4385
peak258	103	68	449	317	145	206	557	1480
peak259	162	31	586	944	248	388	596	1287
peak260	110	25	888	494	301	376	1029	1848
peak261	587	71	4680	2449	1212	1436	5209	8190
peak262	151	31	951	247	176	175	538	968
peak263	958	231	7838	2257	1994	2554	6806	11682
peak264	762	347	7778	4170	2890	3691	9158	17062
peak265	1159	204	4277	1926	3038	3332	4656	8654
