control_input	control_input.1	control_IP	control_IP.1	treatment_input	treatment_input.1	treatment_IP	treatment_IP.1
peak1	101	118	430	518	240	178	1015	1015
peak2	3927	4084	967	828	3223	4309	341	439
peak3	116	170	1003	955	8	4	143	1
peak4	335	453	6235	6952	31	17	208	185
peak5	150	187	997	1155	14	6	36	0
peak6	134	154	370	593	13	4	68	3
peak7	40	42	237	153	10	1	27	0
peak8	551	961	1620	1637	102	30	105	10
peak9	659	1041	1668	2144	429	329	72	60
peak10	133	124	580	577	152	155	414	336
peak11	539	1595	299	1088	833	412	203	309
peak12	409	1433	787	1265	651	397	374	448
peak13	57	161	446	718	111	62	171	197
peak14	1451	2057	3764	4247	778	875	1197	1834
peak15	4873	6105	3339	3972	2628	2488	1431	1475
peak16	7731	8664	52521	35403	4188	3510	14643	21180
peak17	6	69	82	378	9	13	178	89
peak18	743	614	4176	3158	421	422	1402	2284
peak19	108	83	489	130	89	44	0	245
peak20	4	5	525	143	3	5	36	104
peak21	1441	1666	1163	1242	995	1329	320	819
peak22	4450	4945	4904	5044	2802	3622	1572	2885
peak23	1372	2001	1623	1951	927	1401	666	1593
peak24	485	702	1014	944	336	427	533	1093
peak25	1960	4494	9993	19252	1712	2075	3914	7493
peak26	297	411	926	1240	140	155	430	264
peak27	383	640	2621	2400	223	217	707	913
peak28	992	1919	2660	2781	813	689	1370	961
peak29	384	742	1211	2046	337	346	470	901
peak30	123	111	598	331	103	68	202	477
peak31	226	313	1723	2086	175	137	269	1673
peak32	67	99	745	595	72	64	182	476
peak33	228	223	548	580	200	119	252	175
peak34	266	286	1025	682	165	166	223	674
peak35	580	518	3739	2810	296	345	1162	1912
peak36	305	390	1254	805	385	217	546	338
peak37	115	97	853	725	43	40	434	270
peak38	1236	1386	2070	1360	1053	945	1490	1818
peak39	15	17	397	103	9	15	0	477
peak40	2507	3242	2843	2765	1948	1835	846	1343
peak41	1050	1225	1995	1889	778	770	819	909
peak42	1025	1013	3448	2046	745	718	1423	2044
peak43	65	137	891	486	150	92	1047	899
peak44	2377	3749	16856	17315	3655	2076	10217	9518
peak45	604	1742	3081	6521	1075	835	3138	3126
peak46	800	2012	2204	4030	1064	1012	2114	2799
peak47	100	181	769	566	73	74	221	669
peak48	450	719	3906	4177	309	275	452	1248
peak49	299	553	1550	1519	281	263	876	573
peak50	65	102	544	295	85	72	0	273
peak51	211	252	1063	340	179	217	206	273
peak52	43	36	268	296	13	5	203	67
peak53	701	1266	1026	1569	473	475	616	862
peak54	411	729	774	879	326	313	207	110
peak55	92	119	586	717	67	65	202	551
peak56	690	1595	13421	20734	415	520	4729	6830
peak57	209	352	572	284	266	219	294	249
peak58	1709	3087	2694	3504	1720	1833	1875	3693
peak59	393	590	1075	1239	218	159	265	247
peak60	577	903	570	955	511	471	472	221
peak61	184	172	1153	967	229	315	578	965
peak62	110	140	376	346	147	147	289	568
peak63	293	424	817	1453	320	405	654	939
peak64	230	348	1281	909	248	396	581	1688
peak65	35	86	601	461	45	55	80	325
peak66	57	131	561	405	83	103	293	268
peak67	296	577	739	1440	315	413	558	804
