control_input	control_input.1	control_IP	control_IP.1	treatment_input	treatment_input.1	treatment_IP	treatment_IP.1
peak1	326	212	475	232	134	131	169	233
peak2	109	78	225	140	53	43	100	124
peak3	1152	737	1623	659	487	507	476	545
peak4	586	487	1325	674	277	271	424	527
peak5	1134	796	887	434	417	441	354	464
peak6	168	121	439	210	60	55	127	163
peak7	447	331	459	262	188	197	207	263
peak8	1729	1177	1767	1132	607	590	678	794
peak9	198	179	494	149	86	96	92	137
peak10	674	546	1054	515	260	267	297	359
peak11	372	251	562	227	138	132	135	162
peak12	118	83	196	100	68	59	94	143
peak13	286	167	310	127	89	71	83	93
peak14	742	544	1251	594	224	244	342	373
peak15	585	401	837	452	168	161	187	237
peak16	236	198	351	193	84	79	127	194
peak17	283	190	338	179	98	81	121	128
peak18	209	158	320	145	50	69	46	75
peak19	266	173	608	200	159	159	186	199
peak20	152	105	187	177	76	90	153	198
peak21	290	185	406	235	137	158	156	176
peak22	35390	26557	30389	23875	11339	10748	15551	16934
peak23	26374	17267	16228	7793	6958	6944	5845	5831
peak24	25789	18029	21351	14518	7659	7951	8711	10392
peak25	300	241	486	370	195	193	276	380
peak26	190	135	231	117	58	75	64	72
peak27	129	77	232	113	46	36	73	82
peak28	543	376	486	294	251	237	287	345
peak29	460	284	568	271	135	162	150	213
peak30	429	341	711	672	203	215	374	486
peak31	2794	1971	3325	1853	1073	1064	1264	1542
peak32	971	751	1157	871	325	397	520	666
peak33	285	248	485	238	189	170	217	277
peak34	273	196	399	248	152	190	205	198
peak35	456	325	606	399	196	187	258	362
peak36	106	83	151	61	18	9	11	13
peak37	1373	983	1899	1280	456	442	654	753
peak38	130	145	321	334	76	70	162	266
peak39	165	108	268	100	80	87	70	90
peak40	1242	844	2244	1635	331	340	679	872
peak41	15721	8994	37342	16868	6987	6015	11212	12814
peak42	332	216	440	245	96	88	107	171
peak43	841	547	1114	847	288	255	341	373
peak44	8562	5000	5381	5327	2279	2165	2074	2435
peak45	2839	1678	3063	1739	869	889	1019	1092
peak46	661	636	892	1092	331	329	552	607
peak47	52	62	137	143	40	38	106	183
peak48	1251	816	2390	1081	644	683	648	834
peak49	746	471	1167	814	237	236	350	463
peak50	463	298	795	309	331	289	262	343
peak51	674	478	1104	630	222	239	278	355
peak52	6937	4692	6151	4570	2384	2334	2389	2961
peak53	2630	1691	1947	1460	784	736	694	882
peak54	193	149	227	128	98	102	96	94
peak55	184	207	332	394	89	106	254	347
peak56	501	346	640	312	219	213	201	255
peak57	719	471	663	417	262	261	293	326
peak58	806	525	1128	509	296	296	494	579
peak59	3175	1867	2690	1629	1069	912	791	961
peak60	923	556	1368	705	258	258	370	444
peak61	217	219	400	350	108	111	223	299
peak62	759	755	1327	1111	293	334	700	814
peak63	179	99	203	212	44	46	100	135
peak64	658	520	1254	804	238	233	415	575
peak65	2556	1591	2858	1941	862	865	1232	1404
peak66	227	154	235	171	178	204	190	237
peak67	2856	1884	2782	1821	812	748	883	963
peak68	969	570	1092	478	325	323	310	370
peak69	204	152	329	168	65	77	83	90
peak70	147	115	281	137	63	87	75	135
peak71	130	61	185	79	56	58	55	72
peak72	525	432	1091	429	286	292	220	280
peak73	2186	1644	3341	2473	777	723	1415	1614
peak74	5869	3784	3910	3052	2161	1947	1463	1799
peak75	648	550	1043	363	291	374	419	497
peak76	102	95	171	84	42	45	56	64
peak77	255	207	486	165	90	94	89	122
peak78	575	407	646	373	156	152	213	247
peak79	908	589	545	299	469	406	340	385
peak80	728	432	491	315	208	189	227	224
peak81	572	418	615	448	208	220	255	291
