control_input	control_input.1	control_IP	control_IP.1	treatment_input	treatment_input.1	treatment_IP	treatment_IP.1
peak1	60	70	267	173	91	74	360	238
peak2	32	35	196	163	72	55	277	178
peak3	39	33	196	205	78	44	303	232
peak4	22	41	215	241	57	37	321	198
peak5	52	64	331	265	91	77	450	287
peak6	41	55	141	138	73	64	182	147
peak7	41	37	122	112	58	59	190	113
peak8	20	18	70	69	24	37	69	68
peak9	27	30	170	108	34	34	192	141
peak10	26	26	138	109	28	23	187	129
peak11	43	24	76	59	48	35	104	74
peak12	33	34	107	66	54	31	146	85
peak13	24	33	46	61	40	23	79	39
peak14	61	72	358	320	87	55	410	280
peak15	22	29	140	100	30	26	163	95
peak16	24	26	164	139	32	42	130	91
peak17	74	77	286	235	67	61	297	180
peak18	5	11	84	98	8	7	60	41
peak19	10	16	66	47	5	18	56	38
peak20	108	110	393	375	125	109	392	288
peak21	28	43	160	98	44	41	122	75
peak22	117	141	634	731	72	60	367	248
peak23	197	231	1052	1098	145	117	568	444
peak24	136	168	720	757	85	106	497	347
peak25	119	127	590	665	75	82	361	293
peak26	305	381	509	588	403	442	483	528
peak27	73	78	521	505	102	101	633	391
peak28	9	10	24	68	6	1	14	8
peak29	12	18	60	59	17	12	22	20
peak30	27	49	306	253	14	21	146	91
peak31	92	86	172	153	68	36	127	68
peak32	86	129	264	264	67	60	126	115
peak33	141	145	351	333	112	77	205	171
peak34	317	276	1685	1639	206	178	1172	739
peak35	193	190	1297	1136	271	263	1392	1027
peak36	42	53	149	64	83	85	165	118
peak37	44	43	133	85	30	35	126	98
peak38	54	42	194	112	95	73	182	163
peak39	35	31	164	129	44	48	210	164
peak40	235	273	504	583	298	283	481	419
peak41	288	256	833	618	270	311	729	620
peak42	6	8	72	95	13	13	71	64
peak43	96	117	601	506	193	222	685	675
peak44	21	22	82	78	52	40	130	111
peak45	52	50	306	246	91	106	504	343
peak46	272	281	1033	977	347	391	1081	1083
peak47	81	88	513	517	121	102	601	358
peak48	15	22	66	65	22	28	101	87
peak49	25	30	158	147	22	30	233	139
peak50	27	25	137	84	33	21	167	120
peak51	37	19	90	82	43	36	107	58
peak52	34	41	134	89	49	39	143	102
peak53	74	90	324	257	66	42	190	139
peak54	224	205	848	624	206	199	665	387
peak55	184	186	574	456	189	166	544	447
peak56	145	146	405	313	154	155	356	266
peak57	166	172	340	259	132	148	243	167
peak58	329	363	1176	1032	320	246	920	683
peak59	40	44	102	170	47	63	104	117
peak60	152	198	800	743	242	240	815	670
peak61	158	172	724	655	179	222	858	690
peak62	250	246	932	875	281	248	796	614
peak63	295	292	885	807	307	311	845	681
peak64	188	226	525	432	218	260	457	383
peak65	78	50	172	122	72	63	128	95
peak66	26	36	169	139	59	66	316	202
peak67	51	45	313	269	88	73	579	362
