control_input	control_input.1	control_input.2	control_IP	control_IP.1	control_IP.2	treatment_input	treatment_input.1	treatment_input.2	treatment_IP	treatment_IP.1	treatment_IP.2
peak1	4	1	3	14	4	20	2	0	0	5	11	16
peak2	2	1	2	15	8	15	1	2	3	6	16	14
peak3	4	4	1	48	38	31	6	5	1	18	38	53
peak4	8	1	4	63	56	53	7	5	13	30	57	65
peak5	3	3	3	37	28	29	2	3	1	16	30	44
peak6	2	1	1	8	8	8	1	3	1	3	10	9
peak7	2	0	4	12	5	12	2	0	2	12	25	27
peak8	0	0	7	35	36	42	4	13	16	47	89	102
peak9	4	6	8	32	29	33	15	19	21	47	58	57
peak10	103	87	82	205	195	176	168	206	192	1241	1571	2159
peak11	1970	1549	1622	11552	8435	7556	2008	2386	2370	9118	10125	14160
peak12	22	11	24	209	117	142	51	53	56	281	423	552
peak13	56	29	50	147	132	112	38	52	65	99	145	161
peak14	106	102	116	1249	963	806	128	122	147	638	964	1353
peak15	100	84	81	693	552	498	107	122	98	432	568	698
peak16	52	40	58	229	183	203	51	71	64	215	316	420
peak17	53	38	47	247	188	182	58	69	60	173	247	325
peak18	48	27	40	154	107	82	40	51	55	100	116	141
peak19	87	66	64	365	250	244	63	78	102	218	292	330
peak20	12	10	15	26	24	29	16	23	20	32	33	44
peak21	39	31	30	91	94	80	50	48	47	82	149	154
peak22	13	7	17	32	35	25	25	32	22	38	48	52
peak23	18	16	29	94	92	62	18	32	25	78	110	151
peak24	28	12	32	145	87	90	20	30	28	73	86	112
peak25	34	24	41	319	216	226	26	38	26	179	216	286
peak26	93	68	78	512	308	334	107	119	95	356	484	711
peak27	362	236	265	1865	1299	1220	375	473	386	1860	2222	2838
peak28	91	82	72	181	140	137	108	143	112	234	267	365
peak29	8	15	19	63	46	49	32	30	32	78	130	174
peak30	34	20	23	123	104	114	54	55	51	160	231	264
peak31	23	17	28	110	99	76	48	61	58	149	201	219
peak32	13	14	25	67	55	38	29	53	46	86	115	154
peak33	32	28	34	154	98	93	85	88	55	152	241	302
peak34	18	18	29	74	78	84	19	24	29	48	83	114
peak35	58	43	52	75	65	76	64	89	60	93	97	154
peak36	32	18	33	29	34	22	33	47	32	55	30	29
peak37	13	6	8	40	23	33	9	9	5	22	33	39
peak38	0	3	1	9	3	5	0	2	2	10	10	9
peak39	8	6	6	19	9	14	8	11	16	12	17	16
peak40	207	171	181	720	492	448	248	271	234	483	768	970
peak41	818	578	790	1707	1153	1189	717	995	925	1161	1619	1965
peak42	185	138	152	910	669	610	197	229	188	645	824	1161
peak43	142	89	108	2290	1517	1468	126	160	170	1208	1827	2422
peak44	94	100	75	742	530	465	104	129	128	534	617	885
peak45	54	54	51	190	125	137	62	59	66	114	140	233
peak46	41	26	38	148	109	107	39	51	32	60	107	160
peak47	6	3	10	11	10	5	11	8	16	27	9	16
peak48	16	9	25	18	25	32	24	22	27	24	40	52
peak49	11	17	14	26	26	21	16	27	27	38	37	64
peak50	10	13	14	16	16	19	11	15	18	43	20	27
peak51	31	25	18	28	22	15	33	32	38	59	52	62
peak52	7	12	10	56	50	43	10	18	17	46	55	77
peak53	31	25	33	46	28	36	28	49	33	28	49	54
peak54	2	1	2	8	9	8	4	7	3	7	12	7
peak55	1	4	3	25	20	18	3	5	6	28	36	41
peak56	5	2	1	24	17	18	5	3	10	15	23	23
peak57	644	530	715	877	672	770	787	1055	1231	787	1035	1607
peak58	202	164	170	987	673	662	299	373	333	801	1213	1675
