control_input	control_input.1	control_input.2	control_IP	control_IP.1	control_IP.2	treatment_input	treatment_input.1	treatment_input.2	treatment_IP	treatment_IP.1	treatment_IP.2
peak1	8	8	31	1	4	31	25	9	3	1	17	1
peak2	28	56	115	48	34	199	111	37	36	14	108	14
peak3	158	220	408	113	95	427	453	193	175	87	351	37
peak4	132	152	331	89	60	341	399	171	121	67	339	36
peak5	45	89	111	23	32	91	147	54	65	23	128	8
peak6	337	429	918	212	168	586	938	423	364	139	628	95
peak7	28	15	51	12	13	31	45	10	19	8	41	3
peak8	238	285	565	146	122	424	696	261	236	101	474	81
peak9	230	211	423	413	279	1285	608	244	215	361	1777	194
peak10	199	181	292	190	121	353	561	229	196	92	512	70
peak11	130	114	250	126	95	396	287	104	105	105	447	49
peak12	24	23	52	17	9	98	65	41	25	15	88	7
peak13	3	6	19	9	8	32	23	5	7	2	35	3
peak14	35	59	80	38	25	72	128	42	48	15	48	11
peak15	64	70	144	115	68	271	195	67	52	63	361	62
peak16	37	48	50	27	17	61	81	42	38	2	37	11
peak17	68	78	149	140	97	350	180	62	59	93	459	50
peak18	18	12	11	12	1	26	30	11	7	6	23	0
peak19	47	28	62	173	87	437	90	40	36	120	571	43
peak20	121	90	263	122	99	371	320	144	85	130	691	42
peak21	130	143	354	115	117	454	384	149	116	137	792	46
peak22	521	577	1269	711	530	2327	1612	617	554	838	4138	369
peak23	248	266	605	200	145	654	680	286	204	257	1280	149
peak24	151	108	306	175	122	648	333	150	98	289	1217	115
peak25	51	41	119	111	95	379	121	52	50	88	512	49
peak26	4	13	15	16	10	23	24	16	10	8	59	7
peak27	37	29	34	32	12	28	67	30	38	17	83	11
peak28	26	24	34	10	7	25	37	18	16	10	57	4
peak29	46	38	59	16	26	56	115	47	33	18	81	8
peak30	718	581	1047	403	285	712	1420	644	507	196	1179	107
peak31	18	9	16	11	4	18	30	6	12	15	54	8
peak32	9	8	21	4	7	15	26	8	9	7	25	1
peak33	97	106	221	285	187	912	285	99	102	165	746	92
peak34	57	46	142	115	83	440	176	78	64	81	522	45
peak35	179	211	450	629	369	1602	600	230	180	465	2109	238
peak36	70	85	216	132	89	417	261	107	81	81	382	36
peak37	491	620	1460	552	365	1805	1447	566	541	321	1692	189
peak38	179	176	322	199	131	610	636	289	187	140	644	103
peak39	507	549	1095	910	616	2500	1772	739	607	617	3150	372
peak40	94	132	199	153	92	601	370	151	100	139	663	61
peak41	5	4	13	2	4	6	14	4	2	7	22	2
peak42	33	25	87	46	24	151	126	34	32	46	244	26
peak43	10	16	26	3	7	35	48	20	14	6	48	7
peak44	57	50	102	51	27	124	158	60	50	41	246	23
peak45	7	10	11	7	2	14	15	8	8	13	23	0
peak46	65	61	142	37	16	60	149	67	50	21	161	13
peak47	39	48	90	48	31	99	122	49	48	29	128	6
peak48	15	13	34	14	11	55	39	14	10	7	74	2
peak49	5	3	9	10	9	46	4	3	0	19	48	7
peak50	30	45	83	36	36	130	136	37	37	20	129	18
peak51	15	26	51	8	3	32	44	23	21	12	59	4
peak52	27	16	40	18	7	28	44	21	17	6	30	5
peak53	168	153	237	132	84	234	292	137	130	96	553	53
peak54	17	16	60	81	46	220	50	27	19	46	369	33
peak55	7	10	8	8	7	14	16	7	6	4	9	6
peak56	2	4	5	0	1	17	7	0	2	0	9	0
peak57	0	6	9	3	2	18	5	2	3	3	8	2
peak58	2	3	12	2	1	19	21	7	5	0	23	0
peak59	6	4	13	2	0	10	18	9	9	12	7	1
peak60	34	32	71	39	28	111	87	33	39	56	183	18
peak61	11	13	48	16	11	62	55	20	16	15	70	11
peak62	7	10	15	5	2	13	41	14	6	2	15	3
peak63	8	10	7	10	0	13	31	10	3	0	12	4
peak64	21	17	45	22	15	64	74	27	27	16	51	7
peak65	4028	3475	6860	2397	1714	6182	8651	3996	3220	2091	11116	976
peak66	23	14	34	23	14	46	27	13	12	13	56	5
peak67	7	9	6	6	6	37	9	3	3	7	15	1
peak68	22	22	28	10	10	27	38	19	17	3	25	4
peak69	6	5	1	2	4	17	4	7	0	0	6	3
peak70	15	15	32	11	6	21	50	23	14	0	12	7
