control_input	control_input.1	control_IP	control_IP.1	treatment_input	treatment_input.1	treatment_IP	treatment_IP.1
peak1	6	1	82	18	1	0	43	9
peak2	40	10	41	24	34	4	91	31
peak3	37	19	92	74	28	8	151	91
peak4	86	53	751	284	52	27	1081	311
peak5	59	38	387	201	31	5	301	85
peak6	47	18	602	304	24	7	445	119
peak7	29	9	233	75	26	8	233	89
peak8	4	5	109	7	11	1	205	66
peak9	68	12	300	61	29	4	251	40
peak10	4	0	48	10	4	2	124	28
peak11	30	10	317	97	26	3	280	69
peak12	98	32	192	100	84	10	169	33
peak13	8	7	119	55	4	2	149	40
peak14	3	1	13	9	0	1	40	11
peak15	17	9	125	221	2	1	82	76
peak16	20	8	160	108	5	2	194	142
peak17	176	72	1921	1176	61	25	794	441
peak18	57	14	302	166	49	3	317	94
peak19	28	7	104	41	26	4	105	25
peak20	13	2	211	70	3	0	191	37
peak21	2	1	64	25	4	0	122	25
peak22	14	9	261	103	12	3	310	107
peak23	4	5	69	45	5	1	90	57
peak24	1	0	15	4	1	0	64	14
peak25	19	9	57	44	8	1	67	32
peak26	41	16	279	164	19	8	319	147
peak27	8	2	98	51	7	1	195	37
peak28	21	3	59	15	10	0	44	10
peak29	4	3	41	22	4	1	92	44
peak30	4	5	132	58	5	2	75	57
peak31	11	6	46	22	4	3	36	21
peak32	3	2	11	17	1	0	5	16
peak33	10	4	45	10	1	0	14	10
peak34	12	9	48	30	3	3	29	16
peak35	17	3	32	27	3	4	45	21
peak36	16	10	283	206	11	3	253	147
peak37	4	2	40	15	1	0	59	13
peak38	2	2	17	16	1	0	21	6
peak39	34	13	361	210	10	5	217	104
peak40	44	14	218	95	7	3	121	83
peak41	21	5	100	78	5	2	71	26
peak42	25	2	62	27	2	2	25	20
peak43	8	2	47	7	4	0	91	38
peak44	0	0	4	0	0	0	17	18
peak45	64	10	97	108	15	3	87	45
peak46	123	61	453	468	75	17	284	274
peak47	14	2	139	65	8	1	177	29
peak48	5	0	45	16	1	0	39	14
peak49	7	2	58	19	3	1	27	9
peak50	10	4	92	44	4	3	105	20
peak51	13	4	109	27	8	3	117	23
peak52	35	9	483	262	31	8	578	140
peak53	84	20	458	259	40	8	485	86
peak54	12	3	46	39	6	4	24	11
peak55	10	6	101	51	9	1	48	37
peak56	13	6	56	49	6	1	23	23
peak57	12	5	116	26	2	1	57	17
peak58	3	3	68	41	1	0	123	105
peak59	15	9	108	91	11	3	109	40
peak60	5	8	27	28	6	1	17	14
peak61	9	9	31	15	2	2	34	19
peak62	22	3	54	52	5	3	44	25
peak63	6	4	54	29	8	1	33	20
peak64	45	10	133	85	2	3	83	45
peak65	5	3	32	26	3	2	48	23
