control_input	control_input.1	control_IP	control_IP.1	treatment_input	treatment_input.1	treatment_IP	treatment_IP.1
peak1	174	210	2160	1307	3235	3330	4090	9037
peak2	6	0	101	18	49	57	188	438
peak3	1336	697	7188	6023	11115	11086	17572	35350
peak4	205	0	499	341	460	503	532	1191
peak5	366	61	573	19	456	512	679	992
peak6	34	1	582	158	119	188	453	817
peak7	419	13	922	339	214	302	655	574
peak8	95	41	1000	438	286	350	392	742
peak9	482	81	2160	1151	327	325	1263	1712
peak10	1199	98	5029	2318	936	1285	3057	5194
peak11	329	58	845	610	479	572	737	1200
peak12	8	0	111	61	44	59	79	208
peak13	92	0	273	37	72	89	125	267
peak14	87	7	511	201	104	134	156	169
peak15	92	18	592	354	219	370	519	1037
peak16	244	110	1447	771	505	595	1276	2277
peak17	59	0	211	182	211	270	400	619
peak18	70	32	240	203	56	76	49	176
peak19	220	63	675	452	574	669	717	1443
peak20	107	2	873	235	126	174	931	1546
peak21	80	13	188	70	77	83	188	266
peak22	161	9	210	122	82	142	294	421
peak23	915	385	4294	2923	1295	1620	3270	5482
peak24	557	170	1201	625	758	796	814	1480
peak25	708	278	5549	3897	2082	2294	3889	7956
peak26	142	39	628	218	130	201	458	839
peak27	270	65	1919	850	526	493	1523	2370
peak28	45	0	242	162	82	75	108	186
peak29	63	13	420	292	102	121	352	796
peak30	654	185	2712	867	759	930	2429	3717
peak31	48	30	251	114	102	119	157	391
peak32	17	0	159	165	21	36	92	133
peak33	30	0	124	86	39	46	175	239
peak34	103	10	306	169	108	141	158	310
peak35	38	25	198	151	119	104	138	264
peak36	303	57	516	278	303	370	497	580
peak37	90	48	574	401	118	120	346	647
peak38	421	21	1311	853	776	962	1385	2612
peak39	13	0	154	83	42	68	139	134
peak40	67	21	256	102	230	276	401	563
peak41	60	23	362	145	230	265	346	811
peak42	1428	674	7940	2982	6150	7951	6453	11742
peak43	217	24	1221	739	243	341	913	1729
peak44	342	0	698	513	292	332	699	1085
peak45	830	112	3365	1628	1291	1551	2753	4871
peak46	200	0	492	323	319	380	523	944
peak47	34	19	329	156	182	242	252	443
peak48	105	9	252	148	242	283	234	440
peak49	974	278	4726	1746	3786	4412	7944	12337
peak50	267	49	2017	686	625	760	1800	2895
peak51	521	78	897	478	411	485	651	1019
peak52	652	169	2331	1083	1446	1683	1663	3442
peak53	1595	291	15787	6301	2530	3015	17118	26080
peak54	34	0	193	159	119	153	255	615
peak55	12	0	96	8	13	26	68	80
peak56	43	0	273	51	168	172	245	582
peak57	3	0	65	192	22	28	102	133
peak58	11	14	138	83	62	68	184	320
peak59	5	0	103	124	47	40	111	306
peak60	75	12	820	571	204	257	386	1038
peak61	78	0	179	113	76	105	114	296
peak62	203	0	2099	1402	202	231	1409	2550
peak63	40	16	470	302	51	83	400	785
peak64	0	0	93	175	18	35	69	185
peak65	18	0	448	285	65	106	431	949
peak66	25	12	235	163	130	161	242	515
peak67	330	100	2438	1368	449	618	1544	3048
peak68	0	0	79	139	30	34	92	172
peak69	44	30	917	716	147	195	1066	1928
peak70	17	12	89	69	68	59	168	556
peak71	15	16	72	148	69	101	174	390
peak72	52	97	366	92	218	316	476	681
peak73	636	245	3568	1453	1558	1648	2855	5879
peak74	699	168	3742	2186	917	1142	2269	4298
peak75	137	0	283	139	218	272	287	557
peak76	115	43	595	131	967	1272	969	1473
peak77	510	25	1818	1148	1885	2279	3214	7187
peak78	8	0	124	36	48	43	111	215
peak79	1631	171	7154	3296	1220	1641	3602	6830
peak80	941	237	9305	3592	3119	3650	15096	23514
peak81	274	91	3080	1965	764	980	5138	8907
peak82	342	53	1616	1161	203	189	721	1039
peak83	147	72	602	341	144	195	410	783
peak84	18	0	167	92	72	80	82	190
peak85	30	17	200	264	115	153	415	650
peak86	43	0	139	94	114	127	173	364
peak87	35	0	257	42	185	214	242	380
peak88	43	82	345	89	280	265	559	800
peak89	67	41	292	188	210	235	541	937
peak90	31	35	89	31	60	41	218	262
peak91	32	0	301	74	111	155	461	571
peak92	219	62	578	490	328	404	666	1265
peak93	18372	5328	66651	38250	33854	42394	44497	86758
peak94	257	143	2413	1413	406	530	1911	3406
peak95	109	20	914	284	388	460	804	1847
peak96	151	49	433	282	232	241	203	543
peak97	14	19	161	92	50	94	146	309
peak98	69	101	803	406	238	307	547	1079
peak99	101	67	338	576	173	194	337	584
peak100	89	82	1202	561	451	485	698	1171
peak101	89	106	512	235	216	261	282	587
peak102	102	0	785	219	708	750	675	1153
peak103	112	46	1182	752	355	446	918	1723
peak104	64	45	330	409	398	469	494	922
peak105	137	0	513	310	416	469	528	1240
peak106	245	204	1523	561	433	482	905	1437
peak107	75	0	229	242	91	88	164	251
peak108	290	74	720	484	494	655	946	1559
peak109	360	84	715	482	560	638	819	1131
peak110	340	70	1820	878	717	869	1333	2091
peak111	151	17	955	661	187	267	561	991
peak112	82	1	504	297	153	164	391	824
peak113	2339	1729	17585	6787	8951	8852	11885	21729
peak114	72	37	649	201	129	141	315	531
peak115	5012	1070	25590	8436	5831	6892	12733	23728
peak116	18	82	551	290	285	331	636	1236
peak117	25	17	187	167	130	146	134	267
peak118	915	237	8723	4130	2463	2803	8144	14099
peak119	218	175	825	814	401	608	824	1494
peak120	1243	168	3131	2108	1014	1448	2718	4914
peak121	291	104	1045	541	456	524	853	1785
peak122	70	0	1027	328	224	223	1343	2282
peak123	386	134	3302	1208	1300	1393	3653	6432
peak124	126	39	394	163	53	78	117	118
peak125	252	112	593	379	153	181	287	608
peak126	37	27	857	309	184	287	473	864
peak127	78	60	465	164	277	333	381	867
peak128	608	173	3051	1907	1572	1895	3309	5941
peak129	70	31	326	258	254	364	362	824
peak130	96	19	450	318	161	263	344	576
peak131	85	34	1279	653	189	292	934	1779
peak132	294	142	5148	1962	837	1001	4647	9627
peak133	54	22	277	287	258	233	381	911
peak134	47	9	289	98	121	155	319	666
peak135	7	20	243	187	27	37	287	508
peak136	201	0	396	277	284	406	515	1162
peak137	302	74	2203	1410	758	1067	2156	4484
peak138	293	114	755	489	403	565	451	1124
peak139	46	15	561	26	318	401	502	953
peak140	144	78	590	450	186	242	358	809
peak141	270	43	2993	1741	389	497	1932	3566
peak142	6	0	172	233	58	36	171	281
peak143	78	7	922	426	91	129	707	1146
peak144	755	263	1842	1394	1045	1305	2087	3891
peak145	92	0	481	298	116	114	295	689
peak146	75	12	246	172	103	154	427	802
peak147	3	0	48	71	1	2	34	62
peak148	31	0	164	59	33	43	233	450
peak149	22	0	349	84	21	56	263	506
peak150	53	0	294	61	78	76	225	294
peak151	7	0	143	186	43	42	146	271
peak152	19	0	91	83	56	44	99	228
peak153	201	15	798	388	452	538	986	1899
peak154	55	6	228	180	26	49	89	116
peak155	22	43	243	100	97	130	195	416
peak156	67	9	236	40	70	121	189	436
peak157	261	115	963	601	376	368	559	1102
peak158	205	51	474	474	302	485	488	1332
peak159	64	20	107	159	122	156	151	385
peak160	86	0	287	144	219	240	429	854
peak161	103	68	449	317	142	204	543	1438
peak162	126	0	269	137	179	245	415	929
peak163	225	31	718	1106	296	445	744	1543
peak164	874	119	5919	3421	1908	2315	6735	10629
peak165	83	37	266	132	147	139	275	420
peak166	8	0	520	142	72	85	255	303
peak167	387	59	954	694	549	667	898	1542
peak168	5	0	22	0	5	19	72	138
peak169	3	0	42	0	16	13	119	179
peak170	15	0	167	187	70	69	226	543
peak171	119	14	895	511	113	230	703	1153
peak172	287	49	2653	1031	557	790	2034	3879
peak173	54	62	245	160	91	124	120	271
peak174	171	26	374	290	273	354	334	777
peak175	23	0	460	160	13	27	326	469
peak176	45	14	302	114	40	58	179	477
peak177	92	0	1095	595	242	239	739	1728
peak178	74	0	516	254	59	127	302	437
peak179	144	53	1159	455	241	301	715	1387
peak180	4	0	236	7	28	34	133	271
peak181	5	0	75	132	55	79	54	180
peak182	22	0	151	84	43	44	100	340
peak183	880	100	4885	3104	1997	2631	4680	9317
peak184	230	102	382	386	127	156	216	515
peak185	1157	451	6035	4589	1413	1790	2900	5745
peak186	250	54	1270	951	658	818	805	1808
peak187	99	78	970	510	218	279	829	1596
peak188	63	16	190	39	41	55	194	272
peak189	227	61	1713	488	418	502	1537	2693
peak190	37	30	269	163	87	107	272	794
peak191	697	111	1715	781	1298	1496	1803	3552
peak192	284	146	3034	1296	1157	1087	2779	4391
peak193	66	23	123	166	106	130	165	242
peak194	280	109	1616	813	521	620	948	1819
peak195	96	20	334	207	122	201	325	678
peak196	374	220	1396	522	985	1137	1358	2449
peak197	357	132	1838	884	1016	1211	1763	2653
peak198	757	254	15303	5620	2086	2372	17401	26355
peak199	505	165	3997	1412	650	712	1718	2438
