control_input	control_input.1	control_IP	control_IP.1	treatment_input	treatment_input.1	treatment_IP	treatment_IP.1
peak1	0	2	8	15	0	0	0	3
peak2	54	44	83	130	29	34	37	44
peak3	36	38	67	125	39	24	20	48
peak4	60	69	122	394	73	31	116	135
peak5	51	49	39	78	44	29	60	51
peak6	319	300	370	888	381	183	240	268
peak7	46	52	56	196	43	35	47	74
peak8	152	162	315	784	168	83	64	195
peak9	257	300	900	2327	364	187	997	956
peak10	25	30	70	131	26	22	16	33
peak11	29	23	46	91	30	15	21	41
peak12	41	30	26	71	24	8	13	36
peak13	29	35	32	49	38	36	23	29
peak14	10	13	22	88	33	18	48	88
peak15	30	20	77	118	76	28	89	146
peak16	24	19	28	67	51	29	30	38
peak17	527	503	510	1153	530	313	330	388
peak18	74	74	140	255	109	60	68	51
peak19	109	121	251	590	101	64	264	202
peak20	11	10	39	116	12	7	4	8
peak21	16	8	21	32	9	8	0	5
peak22	17	26	12	44	26	12	19	20
peak23	80	101	115	294	102	69	107	144
peak24	24	31	12	24	42	17	36	16
peak25	201	180	58	164	258	135	61	35
peak26	169	166	253	322	230	142	728	171
peak27	31	23	48	85	35	11	84	55
peak28	5	7	7	15	8	1	1	1
peak29	516	539	1667	3084	545	265	1284	1333
peak30	205	223	135	272	226	135	147	93
peak31	293	240	499	1057	314	135	353	334
peak32	5	1	22	47	0	1	11	20
peak33	10	6	12	28	12	9	1	15
peak34	19	17	28	86	11	6	7	13
peak35	11	9	17	39	10	7	17	14
peak36	94	86	126	256	95	43	93	72
peak37	13	10	11	36	10	10	8	10
peak38	50	54	151	271	50	40	33	67
peak39	6	10	28	33	12	4	5	19
peak40	23	22	43	97	8	4	48	31
peak41	10	18	22	43	6	5	33	16
peak42	12	15	43	102	8	6	21	56
peak43	77	59	154	464	127	87	213	252
peak44	68	82	29	56	77	32	31	29
peak45	1088	1064	1277	2423	1143	584	1135	1223
peak46	354	334	399	601	340	180	242	346
peak47	279	224	184	370	273	140	142	119
peak48	129	151	145	370	141	61	192	159
peak49	94	82	48	95	83	45	75	70
peak50	151	164	158	214	163	96	64	57
peak51	11	7	19	44	6	6	4	12
peak52	2	1	15	30	0	0	2	1
peak53	8	7	14	56	5	7	0	13
peak54	26	11	22	60	25	11	20	13
peak55	23	17	32	71	14	11	53	72
peak56	98	91	327	690	100	42	162	293
peak57	29	19	20	38	34	18	11	29
peak58	27	26	37	119	38	25	69	60
peak59	55	52	73	151	76	56	110	114
peak60	57	70	94	214	98	39	67	83
peak61	78	76	231	468	125	93	137	250
peak62	28	23	67	181	17	11	34	46
peak63	79	59	116	254	85	44	41	76
peak64	202	199	896	1954	183	126	653	760
peak65	19	24	75	195	19	7	53	30
peak66	42	39	34	56	59	33	45	41
peak67	124	104	166	337	131	70	111	108
peak68	366	354	434	1058	417	273	268	420
peak69	159	154	173	327	147	104	155	135
peak70	475	443	332	736	534	253	302	251
