control_input	control_input.1	control_IP	control_IP.1	treatment_input	treatment_input.1	treatment_IP	treatment_IP.1
peak1	6	7	5	4	7	9	12	1
peak2	2	2	39	19	2	5	66	25
peak3	3	3	17	26	6	2	26	19
peak4	59	58	371	1384	44	35	837	263
peak5	3	2	3	8	3	2	6	0
peak6	5	10	37	74	8	10	88	29
peak7	7	10	52	60	7	8	53	38
peak8	38	51	154	165	32	20	87	46
peak9	0	0	0	0	0	0	0	0
peak10	16	30	67	118	19	12	171	70
peak11	7	8	75	64	7	5	71	26
peak12	33	24	147	223	12	14	127	79
peak13	15	12	22	26	9	11	10	6
peak14	17	7	26	30	16	9	34	11
peak15	23	19	56	87	12	9	15	8
peak16	4	4	30	141	4	5	97	26
peak17	3	6	17	20	4	6	73	40
peak18	8	18	77	52	16	14	69	38
peak19	7	8	15	66	8	4	137	53
peak20	23	15	10	5	10	11	22	15
peak21	45	48	114	51	40	34	67	94
peak22	11	12	11	13	9	7	22	17
peak23	8	11	26	55	9	10	118	67
peak24	33	28	68	78	53	33	140	65
peak25	32	34	157	343	23	12	122	50
peak26	16	14	31	19	19	6	23	26
peak27	27	16	0	3	13	15	9	2
peak28	11	11	7	2	10	3	15	9
peak29	148	170	297	466	145	113	944	423
peak30	1	4	3	7	2	2	3	8
peak31	1	2	1	1	1	0	4	1
peak32	7	6	48	31	7	7	79	17
peak33	5	6	67	95	4	6	82	51
peak34	67	62	521	488	48	47	519	343
peak35	32	29	253	318	21	28	172	94
peak36	0	0	0	0	0	0	0	0
peak37	1	1	0	0	0	2	0	1
peak38	0	2	0	0	0	1	0	1
peak39	20	23	142	430	22	14	170	61
peak40	22	31	92	85	12	16	40	21
peak41	47	40	160	174	51	38	378	256
peak42	80	111	451	925	132	98	1339	453
peak43	68	71	100	34	103	56	221	102
peak44	77	75	203	263	89	85	296	175
peak45	85	94	192	459	115	101	284	149
peak46	26	17	36	49	22	20	102	47
peak47	16	7	10	0	7	7	13	7
peak48	19	9	55	57	19	11	98	39
peak49	7	6	43	67	3	3	104	38
peak50	20	15	114	78	18	14	147	70
peak51	5	7	65	138	7	10	147	67
peak52	82	110	324	570	194	184	679	362
peak53	16	6	20	26	20	3	61	27
peak54	19	15	75	80	18	18	41	41
peak55	69	71	350	433	74	61	327	155
peak56	120	121	186	719	128	108	932	569
peak57	11	13	126	317	20	21	212	80
peak58	6	8	56	50	4	2	20	6
peak59	24	17	98	144	12	21	114	58
peak60	28	10	97	81	13	11	62	43
peak61	4	7	27	53	5	10	36	27
peak62	1	1	4	8	3	1	29	22
peak63	1	0	1	0	1	1	0	1
peak64	0	0	0	0	2	1	1	1
peak65	1	0	1	0	2	0	0	1
peak66	20	17	30	38	6	6	10	15
peak67	26	40	84	183	27	21	96	19
peak68	28	35	142	255	20	25	354	134
peak69	0	3	0	0	0	1	2	0
peak70	17	6	97	196	19	20	99	29
peak71	9	5	114	270	12	5	358	166
peak72	11	14	91	305	11	18	301	125
peak73	16	14	84	264	24	18	302	115
peak74	12	14	77	254	16	20	430	151
peak75	13	9	30	163	12	13	171	75
peak76	3	6	67	138	7	12	150	67
peak77	0	1	13	10	1	0	17	5
peak78	18	18	86	240	29	17	293	145
peak79	6	3	1	2	3	3	3	2
peak80	13	22	18	3	16	9	26	9
peak81	2	1	4	0	2	2	5	2
peak82	6	5	20	10	1	3	1	6
peak83	8	10	55	187	6	7	88	43
peak84	2	2	4	2	4	3	1	1
peak85	1	4	26	61	2	2	44	32
peak86	41	37	200	239	26	38	178	92
