control_input	control_input.1	control_IP	control_IP.1	treatment_input	treatment_input.1	treatment_IP	treatment_IP.1
peak1	0	3	34	154	2	13	29	30
peak2	2	10	22	86	4	13	13	70
peak3	3	0	10	48	1	2	4	16
peak4	28	12	165	145	13	16	109	97
peak5	41	11	192	150	39	32	54	109
peak6	1442	739	16151	16531	1271	1323	15896	20652
peak7	58	21	664	555	68	38	522	245
peak8	77	50	749	1312	73	113	512	888
peak9	11	14	139	269	11	18	75	176
peak10	122	65	320	315	80	77	172	231
peak11	1	1	52	91	3	3	106	106
peak12	48	12	70	116	164	123	313	471
peak13	115	37	134	157	145	101	285	356
peak14	97	43	2093	1789	237	166	3262	2358
peak15	30	10	242	150	57	50	331	158
peak16	14	4	108	177	20	23	52	71
peak17	7	3	220	405	33	27	184	171
peak18	14	5	146	94	2	1	37	20
peak19	8	0	331	313	0	8	330	179
peak20	15	0	39	64	4	18	56	48
peak21	91	37	180	182	107	80	102	96
peak22	194	132	354	619	182	148	257	290
peak23	204	139	1928	2039	250	170	1400	973
peak24	137	57	368	484	145	88	398	750
peak25	19	10	262	299	15	41	223	278
peak26	4	0	34	68	6	7	71	51
peak27	6	5	107	100	17	4	78	29
peak28	275	303	2185	3254	454	588	1889	2024
peak29	113	69	222	575	152	191	201	516
peak30	21	26	64	84	57	50	102	65
peak31	63	51	358	544	96	136	285	317
peak32	448	209	656	702	578	408	835	1073
peak33	325	230	2350	2368	408	358	1807	1953
peak34	80	36	64	158	88	95	83	187
peak35	141	94	364	469	278	172	504	600
peak36	270	152	360	444	239	268	389	588
peak37	226	129	398	469	249	157	294	404
peak38	159	106	392	428	203	171	276	308
peak39	946	548	5369	5238	1068	892	3688	4260
peak40	2	9	47	45	2	9	45	32
peak41	125	30	277	258	69	86	158	203
peak42	154	99	355	340	192	167	220	119
peak43	9	2	35	25	6	4	58	63
peak44	9	9	29	54	9	9	82	91
peak45	38	40	186	334	46	65	170	219
peak46	596	481	738	1183	405	486	529	554
peak47	378	290	16118	11189	538	431	12280	7071
peak48	63	16	1138	657	65	40	962	395
peak49	11	5	174	189	0	3	86	69
peak50	43	16	341	383	23	6	89	85
peak51	4	2	46	116	2	15	46	50
peak52	12	10	38	71	7	8	23	35
peak53	6	14	150	183	2	15	121	95
peak54	15	7	449	1196	16	12	372	386
peak55	83	70	4848	5606	99	91	2492	1504
peak56	41	32	117	184	48	37	77	129
peak57	58	51	186	220	64	72	158	129
peak58	3	0	100	102	7	3	69	34
peak59	28	1	633	512	9	2	247	159
peak60	3	3	107	208	0	4	42	55
peak61	83	37	110	239	47	37	140	183
peak62	51	9	614	378	46	39	423	310
peak63	1221	828	1944	2742	1070	957	2826	4394
peak64	310	261	419	480	252	271	553	926
peak65	31	26	124	93	34	33	56	59
peak66	98	29	235	440	88	36	253	951
peak67	535	178	504	646	351	233	518	1419
peak68	2162	826	2752	1845	1065	729	1718	2330
peak69	566	328	548	429	260	290	418	532
peak70	472	246	947	1794	223	227	403	433
peak71	0	1	40	42	1	1	33	21
peak72	10	0	74	59	6	9	42	17
peak73	2	0	31	43	0	0	27	10
peak74	2	0	54	10	0	0	45	13
peak75	2	3	57	58	0	1	3	5
peak76	6	0	126	117	0	1	10	10
peak77	48	22	462	508	74	97	365	322
peak78	3	4	35	36	9	28	48	45
peak79	13	0	56	17	31	5	64	35
peak80	15	3	10	16	2	1	31	17
peak81	19	11	356	272	17	6	191	175
peak82	209	91	1624	1996	296	239	1483	2135
peak83	98	35	1904	992	136	104	1329	813
peak84	12	11	154	75	11	9	92	53
peak85	37	8	193	211	45	14	114	83
peak86	43	25	3780	2639	19	32	2397	1434
peak87	12	12	247	192	4	6	94	77
peak88	11	11	37	99	41	23	85	110
peak89	48	23	138	241	67	82	113	160
