control_input	control_input.1	control_IP	control_IP.1	treatment_input	treatment_input.1	treatment_IP	treatment_IP.1
peak1	941	448	1138	1181	347	378	1646	2338
peak2	1621	268	1184	449	445	279	2438	1165
peak3	10	6	8	4	3	3	23	12
peak4	43	4	177	112	21	6	39	33
peak5	487	113	2150	1149	169	102	913	570
peak6	76	10	83	29	14	9	79	42
peak7	15	10	146	114	10	9	105	81
peak8	2716	1186	21818	21802	1737	1856	18057	28903
peak9	61	34	411	606	91	56	594	801
peak10	6	4	15	25	10	10	53	45
peak11	77	27	302	204	16	22	100	99
peak12	62	12	50	50	17	8	71	49
peak13	118	47	230	237	38	36	288	338
peak14	66	16	40	33	21	14	54	45
peak15	31	10	41	22	36	33	115	112
peak16	58	15	15	16	31	40	108	86
peak17	42	15	14	26	35	37	101	107
peak18	119	35	98	87	81	91	335	375
peak19	69	31	159	143	33	55	219	307
peak20	223	78	1330	1037	144	133	986	950
peak21	23	9	59	37	9	5	12	8
peak22	163	91	509	753	41	38	154	226
peak23	491	143	469	364	236	157	744	693
peak24	678	158	431	321	164	208	727	836
peak25	1375	313	1383	868	403	344	1890	1584
peak26	8	4	100	135	6	5	35	59
peak27	5	6	48	22	0	2	11	16
peak28	8	9	67	40	1	2	32	21
peak29	13	6	41	33	1	3	18	14
peak30	13	4	149	154	7	4	48	121
peak31	53	25	397	448	24	29	106	208
peak32	23	12	24	12	15	7	28	49
peak33	15	5	36	31	12	6	24	10
peak34	117	51	142	134	25	18	63	151
peak35	70	26	189	129	72	26	284	228
peak36	653	210	3793	2897	285	267	1374	1616
peak37	10	4	17	16	15	12	65	37
peak38	8	5	20	14	12	5	44	35
peak39	38	27	145	167	16	8	108	158
peak40	6	0	5	4	3	4	24	32
peak41	9	2	69	72	5	3	24	46
peak42	1	0	19	40	4	2	9	30
peak43	11	3	79	51	5	8	5	6
peak44	11	2	28	12	0	1	9	9
peak45	12	2	14	4	7	2	29	20
peak46	18	5	33	52	12	6	38	33
peak47	17	4	57	65	16	1	36	49
peak48	6	1	12	16	4	4	17	12
peak49	37	11	60	62	19	6	116	84
peak50	7	0	17	24	9	3	46	36
peak51	16	6	30	36	8	8	41	37
peak52	17	1	53	32	3	7	45	22
peak53	10	0	28	13	6	6	19	22
peak54	44	25	139	180	33	20	182	274
peak55	13	6	28	44	16	19	35	79
peak56	48	21	191	156	49	34	132	167
peak57	31	17	90	82	16	17	49	55
peak58	18	9	28	53	11	8	21	27
peak59	28	10	23	21	20	22	48	77
peak60	17	4	10	11	7	13	17	43
peak61	17	2	20	20	7	15	66	53
peak62	28	6	18	15	8	16	56	69
peak63	55	19	16	15	14	17	35	70
peak64	50	33	28	68	32	23	87	119
peak65	49	21	92	120	22	16	36	42
peak66	466	228	778	999	272	303	2279	2888
peak67	447	193	600	681	214	241	1603	1677
peak68	33	6	46	22	16	5	69	50
peak69	25	9	118	103	4	3	24	28
peak70	189	96	718	967	204	205	881	1440
peak71	276	105	585	853	162	214	298	365
peak72	1020	489	9620	13810	693	827	4728	9825
peak73	18	17	80	116	7	7	90	202
peak74	23	18	54	42	6	14	33	65
peak75	194	87	1369	2325	59	80	394	727
peak76	17	5	47	55	2	3	12	13
peak77	13	1	24	21	2	2	15	14
peak78	41	13	170	171	35	34	160	258
peak79	45	19	367	328	36	32	177	313
peak80	45	30	201	287	27	28	72	115
peak81	29	18	27	20	36	10	58	70
peak82	146	79	2104	2208	140	101	1171	1448
peak83	64	33	220	236	71	82	164	221
peak84	92	39	389	500	65	62	241	356
peak85	132	75	966	1376	78	135	155	458
peak86	3197	1830	4291	7655	1130	1427	6364	11362
peak87	18	2	17	22	5	3	29	35
peak88	35	15	339	477	15	12	165	396
peak89	11	2	27	16	2	2	9	5
peak90	301	161	1034	1572	142	167	640	1581
peak91	136	64	1000	934	119	114	473	441
peak92	4017	873	17068	9075	1806	884	28714	16810
peak93	1569	350	4713	2492	691	393	8935	4809
peak94	267	91	967	1239	105	108	1365	2391
peak95	675	236	2115	2320	263	273	3090	4776
peak96	1367	616	1598	1668	541	544	1998	2564
peak97	8268	3132	3674	3931	2855	2060	6556	6713
peak98	278	142	340	688	191	197	360	519
peak99	237	94	389	596	59	66	209	276
peak100	885	363	2341	3223	299	334	3403	5628
peak101	688	326	1649	2716	276	347	2306	4824
peak102	198	85	336	370	65	82	452	636
peak103	1360	548	3245	3692	413	404	758	1334
peak104	9	0	51	51	5	3	21	19
peak105	9	1	55	61	1	2	14	8
peak106	8	6	50	41	4	6	11	20
peak107	10	6	41	78	5	3	7	7
peak108	9	1	39	14	0	0	7	4
peak109	3	0	44	62	2	0	0	8
peak110	74	7	84	41	41	36	207	119
peak111	65	15	87	56	38	26	69	74
peak112	399	45	288	137	124	90	329	196
peak113	278	130	1213	1786	284	333	768	1577
peak114	41	14	148	111	40	28	106	112
peak115	111	21	32	18	49	22	130	76
peak116	11	2	50	40	7	3	64	76
peak117	189	48	1360	1004	91	142	664	760
peak118	194	58	779	902	130	99	454	711
peak119	72	19	62	98	43	24	136	115
peak120	183	64	787	538	79	118	386	375
peak121	4	2	4	5	11	2	48	51
peak122	61	28	433	501	24	27	77	178
peak123	96	27	56	85	27	30	72	128
peak124	191	57	102	161	49	51	154	261
peak125	251	70	355	451	52	44	71	78
peak126	61	25	62	47	28	28	135	170
peak127	73	33	179	151	35	25	65	44
peak128	108	37	129	117	37	58	69	72
peak129	6635	2183	6544	5597	2275	1733	10119	10845
peak130	47	26	59	67	26	22	44	74
peak131	46	15	68	60	13	12	39	29
