cellline1 cellline2 exp1 exp2 gene_overlap min_reps peak_overlap total_peaks
HEK293T HEK293T Meyer Schwartz 1044 1 237 1137
HEK293T HEK293T Schwartz Meyer 1044 1 270 290
HEK293T HEK293T Meyer Lichinchi 2240 1 1017 2862
HEK293T HEK293T Lichinchi Meyer 2240 1 1049 3288
HEK293T HepG2 Meyer Dominissini 491 1 369 433
HepG2 HEK293T Dominissini Meyer 491 1 347 1614
HEK293T HepG2 Meyer Huang 2700 1 1605 3441
HepG2 HEK293T Huang Meyer 2700 1 1755 3390
HEK293T HepG2 Meyer Yu 2695 1 1439 3398
HepG2 HEK293T Yu Meyer 2695 1 1653 1873
HEK293T A549 Meyer Schwartz 1603 1 694 1706
A549 HEK293T Schwartz Meyer 1603 1 799 853
HEK293T Jurkat_CD4 Meyer Tirumuru 2071 1 1063 2506
Jurkat_CD4 HEK293T Tirumuru Meyer 2071 1 1190 1963
HEK293T primary_CD4 Meyer Tirumuru 1828 1 775 2239
primary_CD4 HEK293T Tirumuru Meyer 1828 1 870 1521
HEK293T MT_CD4 Meyer Lichinchi 3184 1 358 4474
MT_CD4 HEK293T Lichinchi Meyer 3184 1 374 930
HEK293T A549 Meyer Lin 3085 1 1509 4195
A549 HEK293T Lin Meyer 3085 1 1631 3112
HEK293T H1299 Meyer Lin 3031 1 1294 4051
H1299 HEK293T Lin Meyer 3031 1 1419 2686
HEK293T HEK293T Schwartz Lichinchi 872 1 99 220
HEK293T HEK293T Lichinchi Schwartz 872 1 102 1525
HEK293T HepG2 Schwartz Dominissini 383 1 47 50
HepG2 HEK293T Dominissini Schwartz 383 1 45 1404
HEK293T HepG2 Schwartz Huang 1011 1 179 285
HepG2 HEK293T Huang Schwartz 1011 1 175 1269
HEK293T HepG2 Schwartz Yu 1082 1 227 299
HepG2 HEK293T Yu Schwartz 1082 1 222 513
HEK293T A549 Schwartz Schwartz 1096 1 177 219
A549 HEK293T Schwartz Schwartz 1096 1 169 421
HEK293T Jurkat_CD4 Schwartz Tirumuru 960 1 136 246
Jurkat_CD4 HEK293T Tirumuru Schwartz 960 1 134 767
HEK293T primary_CD4 Schwartz Tirumuru 889 1 111 256
primary_CD4 HEK293T Tirumuru Schwartz 889 1 116 654
HEK293T MT_CD4 Schwartz Lichinchi 1049 1 28 315
MT_CD4 HEK293T Lichinchi Schwartz 1049 1 29 556
HEK293T A549 Schwartz Lin 1064 1 205 316
A549 HEK293T Lin Schwartz 1064 1 194 1914
HEK293T H1299 Schwartz Lin 1082 1 213 324
H1299 HEK293T Lin Schwartz 1082 1 206 1688
HEK293T HepG2 Lichinchi Dominissini 405 1 600 715
HepG2 HEK293T Dominissini Lichinchi 405 1 572 1412
HEK293T HepG2 Lichinchi Huang 2153 1 1949 3441
HepG2 HEK293T Huang Lichinchi 2153 1 1999 2620
HEK293T HepG2 Lichinchi Yu 1989 1 551 3453
HepG2 HEK293T Yu Lichinchi 1989 1 557 1200
HEK293T A549 Lichinchi Schwartz 1278 1 249 1895
A549 HEK293T Schwartz Lichinchi 1278 1 260 651
HEK293T Jurkat_CD4 Lichinchi Tirumuru 1752 1 1032 3016
Jurkat_CD4 HEK293T Tirumuru Lichinchi 1752 1 1071 1493
HEK293T primary_CD4 Lichinchi Tirumuru 1555 1 902 2661
primary_CD4 HEK293T Tirumuru Lichinchi 1555 1 933 1150
HEK293T MT_CD4 Lichinchi Lichinchi 2368 1 439 3721
MT_CD4 HEK293T Lichinchi Lichinchi 2368 1 446 749
HEK293T A549 Lichinchi Lin 2295 1 1334 3636
A549 HEK293T Lin Lichinchi 2295 1 1353 2521
HEK293T H1299 Lichinchi Lin 2306 1 1064 3675
H1299 HEK293T Lin Lichinchi 2306 1 1074 2203
HepG2 HepG2 Dominissini Huang 490 1 503 1830
HepG2 HepG2 Huang Dominissini 490 1 559 625
HepG2 HepG2 Dominissini Yu 535 1 169 1982
HepG2 HepG2 Yu Dominissini 535 1 201 215
HepG2 A549 Dominissini Schwartz 442 1 115 1705
A549 HepG2 Schwartz Dominissini 442 1 143 150
HepG2 Jurkat_CD4 Dominissini Tirumuru 485 1 300 1768
Jurkat_CD4 HepG2 Tirumuru Dominissini 485 1 331 363
HepG2 primary_CD4 Dominissini Tirumuru 458 1 259 1643
primary_CD4 HepG2 Tirumuru Dominissini 458 1 290 313
HepG2 MT_CD4 Dominissini Lichinchi 560 1 379 1853
MT_CD4 HepG2 Lichinchi Dominissini 560 1 421 442
HepG2 A549 Dominissini Lin 523 1 972 1926
A549 HepG2 Lin Dominissini 523 1 1071 1253
HepG2 H1299 Dominissini Lin 556 1 860 1995
H1299 HepG2 Lin Dominissini 556 1 943 1160
HepG2 HepG2 Huang Yu 4331 1 2855 7585
HepG2 HepG2 Yu Huang 4331 1 3057 4142
HepG2 A549 Huang Schwartz 1881 1 682 2392
A549 HepG2 Schwartz Huang 1881 1 694 1223
HepG2 Jurkat_CD4 Huang Tirumuru 2732 1 2427 4440
Jurkat_CD4 HepG2 Tirumuru Huang 2732 1 2573 3184
HepG2 primary_CD4 Huang Tirumuru 2566 1 2110 4082
primary_CD4 HepG2 Tirumuru Huang 2566 1 2283 2660
HepG2 MT_CD4 Huang Lichinchi 4154 1 737 6694
MT_CD4 HepG2 Lichinchi Huang 4154 1 761 1408
HepG2 A549 Huang Lin 4064 1 2946 6551
A549 HepG2 Lin Huang 4064 1 3070 4986
HepG2 H1299 Huang Lin 4103 1 2183 6859
H1299 HepG2 Lin Huang 4103 1 2284 3806
HepG2 A549 Yu Schwartz 1937 1 751 1153
A549 HepG2 Schwartz Yu 1937 1 744 1216
HepG2 Jurkat_CD4 Yu Tirumuru 2947 1 1683 2489
Jurkat_CD4 HepG2 Tirumuru Yu 2947 1 1630 3834
HepG2 primary_CD4 Yu Tirumuru 2648 1 1268 2232
primary_CD4 HepG2 Tirumuru Yu 2648 1 1282 3104
HepG2 MT_CD4 Yu Lichinchi 4383 1 478 4341
MT_CD4 HepG2 Lichinchi Yu 4383 1 493 1618
HepG2 A549 Yu Lin 4012 1 2111 3807
