cellline1 cellline2 exp1 exp2 gene_overlap min_reps peak_overlap total_peaks
HEK293 HEK293T Schwartz Meyer 1044 1 390 1226
HEK293T HEK293T Meyer Schwartz 1044 1 370 435
HEK293T HEK293T Schwartz Lichinchi 872 1 294 1014
HEK293T HEK293T Lichinchi Schwartz 872 1 285 738
HEK293T HepG2 Schwartz Dominissini 383 1 152 379
HepG2 HEK293T Dominissini Schwartz 383 1 145 352
HEK293T HepG2 Schwartz Huang 1011 1 390 1205
HepG2 HEK293T Huang Schwartz 1011 1 357 685
HEK293T HepG2 Schwartz Yu 1082 1 963 1279
HepG2 HEK293T Yu Schwartz 1082 1 953 1426
HEK293T A549 Schwartz Schwartz 1096 1 761 1091
A549 HEK293T Schwartz Schwartz 1096 1 750 1096
HEK293T iSLK.ORF50 Schwartz Tan 1063 1 583 1279
iSLK.ORF50 HEK293T Tan Schwartz 1063 1 543 857
HEK293T MSC Schwartz Tan 1044 1 679 1273
MSC HEK293T Tan Schwartz 1044 1 625 1100
HEK293T TIME Schwartz Tan 1026 1 591 1265
TIME HEK293T Tan Schwartz 1026 1 552 885
HEK293T Jurkat_CD4 Schwartz Tirumuru 960 1 700 1120
Jurkat_CD4 HEK293T Tirumuru Schwartz 960 1 674 1190
HEK293T primary_CD4 Schwartz Tirumuru 889 1 573 1065
primary_CD4 HEK293T Tirumuru Schwartz 889 1 563 1050
HEK293T MT_CD4 Schwartz Lichinchi 1049 1 498 1280
MT_CD4 HEK293T Lichinchi Schwartz 1049 1 513 1627
HEK293T A549 Schwartz Lin 1064 1 761 1289
A549 HEK293T Lin Schwartz 1064 1 722 1418
HEK293T H1299 Schwartz Lin 1082 1 829 1311
H1299 HEK293T Lin Schwartz 1082 1 799 1289
HEK293T HEK293T Lichinchi Meyer 2240 1 417 1712
HEK293T HEK293T Meyer Lichinchi 2240 1 408 1088
HEK293T HEK293T Lichinchi Schwartz 872 1 285 738
HEK293T HEK293T Schwartz Lichinchi 872 1 294 1014
HEK293T HepG2 Lichinchi Dominissini 405 1 129 325
HepG2 HEK293T Dominissini Lichinchi 405 1 135 344
HEK293T HepG2 Lichinchi Huang 2153 1 1038 1783
HepG2 HEK293T Huang Lichinchi 2153 1 1023 1390
