label year cell_line rep reads peaks
HEK293T_Meyer 2012 hek293T 1 63287467 21237
HEK293T_Meyer 2012 hek293T 2 41715232 20533
HEK293T_Meyer 2012 hek293T 3 24882425 14866
HEK293T_Schwartz 2014 hek293_siCTRL 1 11849846 9282
HEK293T_Lichinchi 2016b mock 1 12421795 21265
HEK293T_Lichinchi 2016b mock 2 18473054 23433
HEK293T_Lichinchi 2016b mock 3 18304834 23655
HepG2_Dominissini 2012 untreated 1 11717020 13444
HepG2_Dominissini 2012 untreated 2 9293214 12306
HepG2_Dominissini 2012 untreated 3 12034417 24572
HepG2_Huang 2018 control 1 36855786 17345
HepG2_Huang 2018 control 2 24663570 15384
HepG2_Yu 2018 siControl 1 26775688 10516
HepG2_Yu 2018 siControl 2 30867337 12479
MEF_Schwartz 2014 mouse_shGFP 1 22768822 13640
MEF_Zhou 2015 untreated 1 19464308 2060
MEF_Geula 2015 MEF 1 55831889 14475
MEF_Geula 2015 MEF 2 31381188 7087
mESC_Batista 2014 wt 1 4145285 10081
mESC_Batista 2014 wt 2 8731317 13226
mESC_Wang 2014 ctrl 1 23377361 7493
mESC_Wang 2014 ctrl 2 24573622 5663
mESC_Chen 2015 mouse_ESC 1 67955139 10373
mESC_Geula 2015 mESC 1 10970741 9829
mESC_Geula 2015 mESC 2 35813105 9153
mESC_Geula 2015 mESC 3 58470223 90
mESC_Wen 2018 mESC 1 30547888 13689
mESC_Wen 2018 mESC 2 20765388
A549_Schwartz 2014 a549_siCTRL 1 14117314 13493
iSLK.ORF50_Tan 2018 human_iSLK_mock 1 37383151 10876
iSLK.ORF50_Tan 2018 human_iSLK_mock 2 52553298 12208
iSLK.ORF50_Tan 2018 human_iSLK_mock 3 44306341 12644
MSC_Tan 2018 human_MSC_mock 1 54720400 13575
MSC_Tan 2018 human_MSC_mock 2 46016096 10586
MSC_Tan 2018 human_MSC_mock 3 46355109 10478
TIME_Tan 2018 human_TIME_mock 1 49053679 14128
TIME_Tan 2018 human_TIME_mock 2 48637749 10025
TIME_Tan 2018 human_TIME_mock 3 49832997 10757
Jurkat_CD4_Tirumuru 2016 jurkat_mock 1 23813396 15016
Jurkat_CD4_Tirumuru 2016 jurkat_mock 2 21073303 14850
primary_CD4_Tirumuru 2016 cd4_mock 1 21347870 14598
MT_CD4_Lichinchi 2016a mock 1 44191423 2660
MT_CD4_Lichinchi 2016a mock 2 32703781 489
A549_Lin 2016 a549 1 25251204 9130
A549_Lin 2016 a549 2 22816198
H1299_Lin 2016 h1299 1 45976653 5821
