control_input	control_input.1	control_IP	control_IP.1	treatment_input	treatment_input.1	treatment_IP	treatment_IP.1
peak1	544	223	1417	284	297	324	1735	1853
peak2	4	3	11	6	1	3	32	15
peak3	1538	778	1508	545	1034	1181	2728	2324
peak4	1	1	11	47	0	2	48	10
peak5	1	0	10	16	0	1	84	24
peak6	3	8	18	99	18	14	78	22
peak7	62	42	54	197	60	56	278	136
peak8	35	22	48	6	21	12	51	34
peak9	6	9	25	235	12	13	26	17
peak10	76	96	377	697	177	158	1152	546
peak11	91	106	378	1006	197	179	1265	617
peak12	8	10	40	109	3	5	84	38
peak13	1	7	22	57	5	3	29	8
peak14	98	93	403	823	109	110	633	440
peak15	41	65	66	418	91	77	244	63
peak16	8	0	12	103	9	10	45	4
peak17	13	21	56	196	21	20	146	53
peak18	61	59	322	458	26	36	330	158
peak19	20	22	100	360	10	10	142	67
peak20	59	43	179	410	67	69	284	126
peak21	24	29	50	108	25	31	28	17
peak22	3	1	37	17	3	2	17	8
peak23	23	33	98	165	35	40	82	59
peak24	12	16	80	281	18	15	224	109
peak25	23	15	81	237	30	18	129	61
peak26	13	14	38	319	9	13	107	38
peak27	1	5	24	69	2	3	46	17
peak28	109	93	180	661	75	90	328	124
peak29	39	53	196	485	39	27	280	121
peak30	8	3	36	85	7	5	56	33
peak31	4	1	31	76	3	4	162	72
peak32	80	77	280	191	116	100	157	89
peak33	5	6	43	227	6	9	109	33
peak34	4	2	5	59	5	1	17	3
peak35	19	25	64	112	36	38	167	67
peak36	68	37	183	116	61	59	167	155
peak37	15	7	70	224	14	18	196	88
peak38	8	7	31	76	5	2	122	36
peak39	7	5	44	9	6	8	90	42
peak40	4	3	23	75	5	1	35	8
peak41	16	17	134	359	10	2	178	43
peak42	12	17	147	492	10	5	236	68
peak43	3	2	6	41	2	3	73	18
peak44	10	24	44	75	18	12	22	7
peak45	13	9	24	90	13	4	54	28
peak46	16	14	51	96	17	13	61	38
peak47	17	11	84	240	16	16	163	50
peak48	32	24	245	351	41	28	363	160
peak49	37	27	252	255	31	27	346	262
peak50	20	14	109	194	14	16	248	92
peak51	74	111	347	576	106	122	248	142
peak52	55	62	170	203	59	57	102	71
peak53	20	20	71	88	31	37	73	46
peak54	20	29	54	100	39	34	33	21
peak55	13	11	61	126	11	10	56	41
peak56	7	9	31	28	14	7	40	20
peak57	2	2	14	96	1	2	9	15
peak58	1	11	14	31	10	5	38	27
peak59	2	5	15	40	10	9	70	45
peak60	6	22	32	172	24	18	218	75
peak61	7	11	47	83	19	28	37	30
peak62	4	7	43	95	3	5	52	21
peak63	6	5	25	62	3	4	38	14
peak64	5	8	26	83	3	4	79	27
peak65	9	8	22	56	5	1	83	30
peak66	12	9	64	151	4	6	130	32
peak67	18	18	38	139	19	13	94	27
peak68	9	9	38	53	10	11	33	15
peak69	14	6	34	91	12	10	60	27
