control_input	control_input.1	control_IP	control_IP.1	treatment_input	treatment_input.1	treatment_IP	treatment_IP.1
peak1	1340	1167	769	1343	1703	971	395	443
peak2	50	52	109	264	93	49	76	160
peak3	54	46	79	130	29	34	37	44
peak4	45	48	69	127	44	31	33	48
peak5	75	90	124	396	82	38	123	136
peak6	36	33	25	67	36	24	46	50
peak7	179	182	357	840	205	82	213	256
peak8	49	57	47	82	64	35	12	36
peak9	80	64	58	207	62	48	51	74
peak10	167	184	316	786	184	91	66	195
peak11	52	65	55	48	95	49	10	16
peak12	257	301	900	2328	365	189	997	956
peak13	105	104	327	751	84	37	205	156
peak14	31	29	17	80	34	19	69	15
peak15	74	94	216	594	107	64	185	150
peak16	114	125	105	287	83	59	145	93
peak17	40	43	33	95	37	10	47	23
peak18	24	31	72	135	29	27	22	36
peak19	32	25	37	62	38	21	20	22
peak20	15	8	15	31	8	8	6	11
peak21	173	174	141	397	279	155	81	99
peak22	38	28	46	95	36	15	21	41
peak23	47	34	26	73	28	13	13	41
peak24	15	17	22	91	41	23	56	88
peak25	19	13	70	109	50	19	82	134
peak26	26	19	28	67	52	29	30	38
peak27	66	75	57	118	62	35	47	77
peak28	47	37	197	388	50	27	88	171
peak29	27	22	22	60	26	18	3	37
peak30	40	24	133	236	33	33	87	149
peak31	487	461	505	1145	476	294	327	375
peak32	40	31	70	102	77	31	42	24
peak33	193	187	124	323	285	187	80	125
peak34	24	26	170	258	45	23	158	176
peak35	14	10	29	73	24	6	35	29
peak36	61	98	103	102	68	88	90	90
peak37	1209	1138	1412	3010	1311	770	562	665
peak38	417	423	135	280	496	198	135	169
peak39	6	9	19	66	9	3	3	7
peak40	12	15	33	114	8	7	31	41
peak41	138	139	568	1216	177	103	683	752
peak42	132	131	147	269	205	120	68	55
peak43	39	38	37	87	35	25	43	32
peak44	43	45	69	200	55	50	245	100
peak45	19	14	10	43	34	21	36	7
peak46	30	20	12	52	46	23	4	24
peak47	456	430	1851	3896	544	296	1504	1736
peak48	190	172	131	294	277	149	240	201
peak49	259	276	982	2198	331	188	967	1083
peak50	80	77	140	212	104	50	90	206
peak51	398	370	527	885	365	205	299	319
peak52	143	118	264	657	130	68	130	196
peak53	145	132	116	299	118	52	92	102
peak54	180	143	154	413	156	85	114	135
peak55	39	43	54	141	39	36	31	49
peak56	113	125	251	590	104	65	265	202
peak57	81	78	30	111	84	51	24	33
peak58	16	19	15	39	27	5	11	7
peak59	212	196	318	792	227	155	396	364
peak60	93	104	114	258	136	56	108	109
peak61	22	17	21	77	12	17	4	20
peak62	13	19	24	111	19	11	61	48
peak63	20	9	48	130	19	7	20	60
peak64	6	7	40	70	3	3	28	23
peak65	11	11	34	113	8	4	4	3
peak66	86	105	115	294	106	70	107	144
peak67	217	195	61	176	279	143	62	35
peak68	314	278	190	296	335	183	136	82
peak69	41	39	56	92	46	21	84	56
peak70	43	44	50	118	49	23	22	19
peak71	159	151	147	316	183	98	35	51
peak72	8	13	26	39	10	3	10	14
peak73	516	535	1662	3079	545	267	1284	1332
peak74	149	164	102	230	170	101	117	82
peak75	304	254	502	1065	324	144	356	336
peak76	191	188	359	953	191	89	244	244
peak77	127	144	433	807	148	66	206	247
peak78	32	43	51	156	39	21	69	93
peak79	23	20	28	87	13	6	7	13
peak80	43	36	120	235	36	21	86	61
peak81	50	54	151	271	50	40	33	66
peak82	5	3	34	78	5	8	19	26
peak83	158	180	141	284	236	106	125	116
peak84	111	100	197	426	151	82	162	169
peak85	88	79	97	243	121	39	71	83
peak86	8	11	28	34	14	4	5	19
peak87	15	17	41	93	8	3	48	31
peak88	8	14	39	96	4	8	20	55
peak89	151	140	236	521	145	79	163	226
peak90	25	21	42	114	20	17	23	50
peak91	100	80	154	482	145	95	214	255
peak92	114	104	168	376	153	84	54	113
peak93	7	12	18	48	13	0	13	7
peak94	161	126	35	65	226	152	1	15
peak95	124	123	28	111	171	111	49	33
peak96	76	88	35	56	82	39	32	30
peak97	702	699	851	1668	768	408	708	724
peak98	266	274	279	543	264	129	274	371
peak99	215	190	258	432	211	95	248	256
peak100	283	281	391	575	290	145	242	340
peak101	290	225	181	372	286	145	128	120
peak102	255	278	737	1637	317	192	818	900
peak103	46	36	50	109	44	19	32	65
peak104	24	19	33	47	29	13	1	13
peak105	28	31	47	107	32	26	13	21
peak106	645	601	180	438	733	386	213	263
peak107	29	26	48	110	39	15	32	70
peak108	45	43	36	74	74	25	51	16
peak109	32	41	14	82	30	15	11	28
peak110	75	83	141	351	85	33	184	139
peak111	144	155	155	212	153	88	64	55
peak112	12	7	21	47	9	6	4	12
peak113	5	5	14	55	5	7	0	13
peak114	39	48	46	111	41	28	10	31
peak115	126	106	52	121	150	92	33	31
peak116	32	14	24	63	31	12	20	14
peak117	22	16	91	215	30	9	92	117
peak118	21	16	32	71	11	10	53	72
peak119	90	89	325	687	93	41	161	293
peak120	38	36	21	48	48	22	11	29
peak121	30	32	37	122	42	29	69	61
peak122	49	50	72	150	72	54	110	114
peak123	57	73	94	214	104	42	67	83
peak124	88	91	232	469	142	98	142	250
peak125	45	64	47	92	72	49	8	40
peak126	72	108	20	77	113	49	17	22
peak127	117	116	73	292	124	116	92	131
peak128	88	111	118	379	111	78	190	138
peak129	15	17	14	110	23	10	26	6
peak130	32	23	67	183	17	12	34	46
peak131	153	164	190	498	210	133	52	45
peak132	90	106	37	132	145	93	6	9
peak133	31	51	94	190	49	22	27	45
peak134	84	66	122	255	91	48	41	76
peak135	36	38	15	44	41	34	7	21
peak136	9	12	33	104	20	13	20	33
peak137	244	235	299	786	236	135	265	293
peak138	94	128	177	362	123	64	115	150
peak139	26	20	8	45	45	23	24	23
peak140	57	65	52	147	82	47	71	84
peak141	102	85	97	276	86	86	119	99
peak142	62	75	29	93	97	51	12	20
peak143	455	404	673	1258	536	311	405	389
peak144	318	308	289	548	417	231	191	236
peak145	1586	1518	298	887	1607	1084	190	201
peak146	117	85	39	130	155	64	97	46
peak147	1103	1048	397	942	1083	530	383	291
peak148	1417	1481	168	445	1475	763	359	234
peak149	2946	2948	292	812	3075	2086	379	308
peak150	332	309	127	112	398	199	136	191
peak151	1265	1325	186	460	1376	778	177	308
peak152	209	210	896	1956	193	131	661	760
peak153	10	7	45	121	9	2	28	34
peak154	34	36	93	245	35	18	73	53
peak155	15	18	37	115	8	5	46	24
peak156	94	98	156	349	125	57	63	93
peak157	34	20	23	47	29	21	6	22
peak158	113	94	166	328	115	58	111	99
peak159	397	390	437	1075	447	289	268	428
peak160	186	186	176	337	176	122	165	146
peak161	407	372	311	664	428	205	237	229
peak162	310	304	410	899	397	211	329	334
peak163	111	91	93	177	157	85	86	22
peak164	56	54	41	53	84	55	44	98
peak165	157	149	117	230	233	132	75	108
peak166	241	210	179	330	322	195	166	154
peak167	52	40	36	80	48	32	33	25
peak168	318	298	316	775	356	202	202	214
peak169	364	370	131	466	368	234	274	159
peak170	12	12	21	64	7	7	19	8
peak171	81	78	127	320	67	43	106	115
peak172	84	79	271	561	75	42	168	278
peak173	40	36	57	136	29	19	37	50
peak174	88	95	76	311	104	69	75	58
peak175	92	81	110	217	82	58	41	61
peak176	44	59	53	135	41	29	62	49
peak177	37	21	26	72	26	10	59	47
peak178	57	66	132	389	71	59	158	178
peak179	89	110	89	164	137	98	89	158
peak180	196	202	1010	1845	269	160	698	839
peak181	461	424	1418	3623	514	274	851	954
peak182	479	509	64	215	502	277	138	117
