control_input	control_input.1	control_IP	control_IP.1	treatment_input	treatment_input.1	treatment_IP	treatment_IP.1
peak1	6	1	81	18	1	0	43	10
peak2	2	2	95	33	0	0	43	22
peak3	4	6	100	116	4	4	107	63
peak4	0	0	6	2	0	1	58	13
peak5	18	3	39	18	12	6	94	47
peak6	30	16	147	47	23	9	404	128
peak7	31	11	34	13	19	10	148	66
peak8	0	0	36	4	0	1	226	113
peak9	3	3	37	6	7	3	85	32
peak10	3	3	11	3	3	2	55	23
peak11	22	12	220	88	6	8	362	146
peak12	37	28	491	175	24	12	609	122
peak13	4	2	43	6	0	1	108	39
peak14	19	13	77	96	22	6	72	27
peak15	18	8	31	9	8	2	94	19
peak16	6	4	19	3	2	5	51	6
peak17	3	2	30	5	1	5	93	36
peak18	4	4	62	7	2	1	219	82
peak19	61	39	390	205	34	7	300	87
peak20	47	19	604	307	26	7	449	120
peak21	13	4	123	43	14	3	140	50
peak22	22	6	120	35	14	6	113	43
peak23	28	13	157	58	25	7	326	90
peak24	16	7	90	28	11	0	60	18
peak25	4	5	107	6	11	1	203	65
peak26	70	14	309	62	30	6	261	45
peak27	6	1	68	19	2	1	113	72
peak28	15	8	46	9	5	3	51	32
peak29	12	6	79	34	10	0	40	38
peak30	8	8	59	40	6	0	30	14
peak31	1	0	19	3	2	1	47	14
peak32	0	0	19	4	2	0	53	7
peak33	9	4	65	24	9	3	185	44
peak34	28	11	55	20	18	5	105	27
peak35	13	4	72	14	8	5	535	92
peak36	0	3	76	16	0	1	289	106
peak37	25	8	395	209	22	12	379	282
peak38	8	4	40	7	1	6	104	53
peak39	39	13	530	177	38	9	448	112
peak40	2	0	49	2	0	1	75	45
peak41	19	11	86	19	11	4	86	16
peak42	21	5	271	87	17	2	249	73
peak43	1	0	19	6	0	0	104	16
peak44	0	2	13	3	1	0	66	34
peak45	1	3	71	52	7	0	133	52
peak46	1	1	42	16	2	1	69	31
peak47	21	11	422	178	5	5	421	187
peak48	2	3	5	0	1	0	57	17
peak49	6	6	114	59	4	2	156	35
peak50	30	12	146	31	14	12	191	99
peak51	28	11	193	100	6	5	273	151
peak52	73	39	389	368	24	9	344	236
peak53	166	71	1910	1172	61	25	788	437
peak54	57	14	301	164	49	3	316	94
peak55	28	7	103	41	25	5	101	24
peak56	11	4	101	78	9	4	134	35
peak57	16	4	214	70	4	0	191	37
peak58	2	1	20	12	3	0	60	10
peak59	14	9	306	116	13	3	374	125
peak60	33	13	327	117	12	1	250	67
peak61	26	10	138	51	11	5	67	46
peak62	14	11	176	84	18	0	126	31
peak63	4	5	71	45	5	1	91	56
peak64	8	3	28	17	6	1	91	31
peak65	7	8	181	72	8	2	237	63
peak66	29	22	185	14	28	9	167	8
peak67	63	8	266	62	26	5	307	89
peak68	37	20	397	281	40	13	535	130
peak69	60	23	227	139	38	5	181	48
peak70	83	38	1852	741	52	20	1674	581
peak71	8	5	17	2	3	2	46	7
peak72	6	3	216	15	1	0	568	260
peak73	25	18	214	81	24	5	182	74
peak74	10	3	69	68	4	4	41	35
peak75	23	10	56	27	14	3	42	5
peak76	12	7	158	92	10	2	298	168
peak77	3	4	66	11	6	6	126	52
peak78	2	0	18	4	1	0	63	19
peak79	6	3	139	39	4	2	203	104
peak80	8	5	131	24	8	1	89	26
peak81	38	14	273	158	18	7	315	140
peak82	6	1	85	47	4	1	186	32
peak83	12	5	88	41	18	2	105	15
peak84	4	3	40	21	4	1	91	44
peak85	18	7	118	76	11	5	56	47
peak86	32	11	185	125	21	3	187	82
peak87	6	7	24	11	2	0	81	30
peak88	5	2	61	34	3	1	108	43
peak89	3	2	56	50	2	3	95	22
peak90	3	0	74	70	1	0	25	12
peak91	5	5	135	60	5	2	77	58
peak92	12	5	245	85	4	4	118	65
peak93	3	2	73	54	1	0	36	46
peak94	20	12	323	221	12	3	312	159
peak95	44	23	193	98	25	9	148	51
peak96	25	8	99	23	15	7	171	46
peak97	8	16	116	49	15	6	104	27
peak98	15	1	80	19	10	3	65	31
peak99	18	8	220	130	6	4	151	64
peak100	17	7	149	98	6	1	77	52
peak101	19	5	96	71	5	2	71	28
peak102	37	20	223	187	32	5	136	74
peak103	11	1	92	30	2	1	69	24
peak104	1	0	78	25	0	0	73	27
peak105	61	38	351	405	45	14	199	252
peak106	1	0	16	1	0	1	74	46
peak107	25	4	87	54	8	4	78	31
peak108	16	4	147	69	9	2	188	34
peak109	5	4	50	31	2	0	39	11
peak110	25	14	39	20	25	5	92	23
peak111	10	4	92	44	4	3	106	21
peak112	5	2	93	26	3	0	53	26
peak113	12	8	140	97	7	3	111	54
peak114	4	5	34	5	4	1	73	19
peak115	39	9	485	265	32	9	581	140
peak116	74	13	448	251	33	6	472	86
peak117	24	24	203	130	27	5	180	46
peak118	12	7	102	55	9	1	47	36
peak119	15	6	128	28	4	3	59	17
peak120	3	3	75	42	1	1	123	106
peak121	16	9	123	91	13	5	116	41
peak122	26	4	52	56	11	3	43	26
peak123	20	12	88	74	6	4	40	28
peak124	10	3	90	59	3	2	44	58
peak125	3	0	44	14	1	0	55	11
peak126	5	6	61	10	2	0	82	18
peak127	11	2	116	56	2	0	130	35
peak128	13	0	236	149	6	1	213	69
peak129	42	22	151	69	16	7	93	36
peak130	18	4	41	68	5	6	27	20
peak131	29	11	929	290	14	3	534	145
peak132	41	12	343	95	11	5	184	63
peak133	14	3	127	70	6	1	205	78
peak134	37	18	322	332	28	9	341	101
peak135	6	7	72	51	9	1	85	42
peak136	17	9	109	12	7	2	64	20
peak137	15	10	146	36	9	4	108	73
peak138	316	149	3911	3870	102	42	1739	1799
peak139	121	72	823	709	31	8	264	318
peak140	28	18	250	179	7	5	91	137
peak141	74	24	353	127	18	18	152	70
peak142	22	18	111	58	4	2	91	94
peak143	153	75	3561	1972	37	21	1236	1152
peak144	60	25	197	92	28	10	92	46
peak145	21	14	111	68	12	6	108	41
peak146	4	8	49	16	7	1	75	19
peak147	11	4	51	6	5	1	56	13
peak148	14	5	22	10	10	2	66	18
peak149	37	13	169	88	18	5	205	73
peak150	16	11	226	220	25	3	167	111
peak151	9	1	55	79	8	2	38	36
peak152	37	21	294	171	23	11	308	154
peak153	22	7	121	51	17	1	109	23
peak154	30	2	242	68	18	2	151	34
peak155	0	1	38	1	0	0	102	60
peak156	67	31	275	127	36	9	359	95
peak157	41	22	292	90	31	15	516	207
peak158	9	4	32	1	0	0	87	16
peak159	49	21	233	98	23	8	188	33
peak160	35	25	190	102	22	6	132	59
peak161	36	13	289	145	57	8	330	128
