control_input	control_input.1	control_IP	control_IP.1	treatment_input	treatment_input.1	treatment_IP	treatment_IP.1
peak1	331	135	2951	3023	87	78	433	600
peak2	1170	486	1754	1690	529	416	2739	3507
peak3	1411	259	1367	502	454	258	3140	1402
peak4	331	102	1774	792	129	48	957	399
peak5	147	36	753	754	37	65	209	370
peak6	21	14	221	191	19	14	185	137
peak7	854	514	3573	6469	773	891	5900	13664
peak8	1842	686	23433	19095	997	995	20017	26419
peak9	202	40	2165	1213	142	86	835	826
peak10	103	21	964	438	89	50	1067	497
peak11	79	14	903	640	56	34	570	788
peak12	195	107	1197	1644	259	182	1586	2198
peak13	779	214	1679	1086	266	225	1768	1393
peak14	1324	362	3018	3069	476	393	4006	5488
peak15	83	37	113	94	71	84	359	376
peak16	364	135	2366	1812	251	233	1930	1889
peak17	131	28	1057	1124	89	94	1093	1562
peak18	381	194	4373	5841	58	76	485	910
peak19	871	264	850	708	448	290	1408	1353
peak20	1103	163	1507	760	356	182	1706	990
peak21	3005	1326	3574	3702	693	933	4917	7925
peak22	26	1	93	113	21	26	248	306
peak23	174	32	1791	1291	151	100	1217	917
peak24	456	185	893	754	145	141	1979	1369
peak25	398	82	921	669	111	72	2110	1271
peak26	1648	559	3347	2606	1122	765	11443	9199
peak27	229	38	144	50	44	40	503	130
peak28	1285	466	10786	9373	801	470	10604	10125
peak29	803	207	6649	4805	477	366	5169	6040
peak30	429	139	1869	1940	262	266	949	1456
peak31	171	49	130	122	131	100	489	562
peak32	251	58	346	108	116	60	691	259
peak33	625	185	2992	2531	333	370	1738	1268
peak34	303	70	2219	1457	195	225	1157	1274
peak35	251	98	537	528	86	122	741	1241
peak36	875	284	6816	5309	391	373	2506	2992
peak37	51	18	151	104	74	60	944	818
peak38	60	36	193	253	52	22	219	362
peak39	634	334	460	749	285	291	765	1242
peak40	1290	636	1103	1083	682	811	2871	2957
peak41	249	130	1203	1636	293	271	1571	2677
peak42	1278	621	16744	24968	841	1123	8215	18095
peak43	515	220	3083	3674	195	244	780	1229
peak44	116	41	1211	2299	33	41	422	828
peak45	468	223	4569	6935	125	215	876	1428
peak46	100	40	110	160	30	30	144	445
peak47	133	55	582	893	26	35	173	434
peak48	31	19	174	213	37	37	251	382
peak49	67	29	628	587	48	42	289	543
peak50	73	41	2173	1781	118	66	1624	1820
peak51	107	68	1766	2412	117	103	587	974
peak52	208	81	850	1099	158	183	531	845
peak53	95	52	165	213	41	52	153	340
peak54	5533	3281	6822	12865	2041	2587	10773	19506
peak55	714	266	1960	2222	266	302	1087	1496
peak56	13	10	315	473	12	4	122	411
