control_input	control_input.1	control_IP	control_IP.1	treatment_input	treatment_input.1	treatment_IP	treatment_IP.1
peak1	0	0	0	0	0	0	0	0
peak2	60	70	267	173	91	74	360	238
peak3	32	35	196	163	72	55	277	178
peak4	39	33	196	205	78	44	303	232
peak5	22	41	215	241	57	37	321	198
peak6	52	64	331	265	91	77	450	287
peak7	41	55	141	138	73	64	182	147
peak8	41	37	122	112	58	59	190	113
peak9	20	18	70	69	24	37	69	68
peak10	27	30	170	108	34	34	192	141
peak11	26	26	138	109	28	23	187	129
peak12	43	24	76	59	48	35	104	74
peak13	33	34	107	66	54	31	146	85
peak14	24	33	46	61	40	23	79	39
peak15	61	72	358	320	87	55	410	280
peak16	22	29	140	100	30	26	163	95
peak17	24	26	164	139	32	42	130	91
peak18	74	77	286	235	67	61	297	180
peak19	5	11	84	98	8	7	60	41
peak20	10	16	66	47	5	18	56	38
peak21	108	110	393	375	125	109	392	288
peak22	28	43	160	98	44	41	122	75
peak23	117	141	634	731	72	60	367	248
peak24	197	231	1052	1098	145	117	568	444
peak25	136	168	720	757	85	106	497	347
peak26	119	127	590	665	75	82	361	293
peak27	305	381	509	588	403	442	483	528
peak28	73	78	521	505	102	101	633	391
peak29	9	10	24	68	6	1	14	8
peak30	12	18	60	59	17	12	22	20
peak31	27	49	306	253	14	21	146	91
peak32	7	4	21	18	4	1	5	12
peak33	113	98	184	165	80	40	136	77
peak34	120	158	299	301	80	87	144	132
peak35	141	145	351	333	112	77	205	171
peak36	317	276	1685	1639	206	178	1172	739
peak37	2	2	10	3	1	4	8	7
peak38	193	190	1297	1136	271	263	1392	1027
peak39	1	0	1	0	3	0	0	0
peak40	42	53	149	64	83	85	165	118
peak41	44	43	133	85	30	35	126	98
peak42	54	42	194	112	95	73	182	163
peak43	35	31	164	129	44	48	210	164
peak44	235	273	504	583	298	283	481	419
peak45	288	256	833	618	270	311	729	620
peak46	6	8	72	95	13	13	71	64
peak47	96	117	601	506	193	222	685	675
peak48	21	22	82	78	52	40	130	111
peak49	52	50	306	246	91	106	504	343
peak50	272	281	1033	977	347	391	1081	1083
peak51	81	88	513	517	121	102	601	358
peak52	15	22	66	65	22	28	101	87
peak53	25	30	158	147	22	30	233	139
peak54	27	25	137	84	33	21	167	120
peak55	37	19	90	82	43	36	107	58
peak56	34	41	134	89	49	39	143	102
peak57	74	90	324	257	66	42	190	139
peak58	224	205	848	624	206	199	665	387
peak59	184	186	574	456	189	166	544	447
peak60	145	146	405	313	154	155	356	266
peak61	166	172	340	259	132	148	243	167
peak62	153	149	71	58	175	135	78	71
peak63	329	363	1176	1032	320	246	920	683
peak64	40	44	102	170	47	63	104	117
peak65	152	198	800	743	242	240	815	670
peak66	158	172	724	655	179	222	858	690
