control_input	control_input.1	control_IP	control_IP.1	treatment_input	treatment_input.1	treatment_IP	treatment_IP.1
peak1	326	212	475	232	134	131	169	233
peak2	106	78	225	140	53	43	100	124
peak3	1146	734	1619	658	483	506	475	545
peak4	584	487	1325	674	277	270	424	527
peak5	1130	790	887	433	417	434	354	464
peak6	168	121	439	210	60	55	126	163
peak7	438	324	458	261	188	193	207	262
peak8	1726	1177	1767	1130	607	587	678	793
peak9	198	179	494	149	85	95	92	137
peak10	671	541	1052	511	259	267	294	354
peak11	372	251	561	227	138	131	135	162
peak12	117	82	196	100	68	58	93	143
peak13	285	165	309	127	88	70	83	93
peak14	742	540	1251	594	224	243	342	372
peak15	576	398	835	451	168	161	186	235
peak16	236	198	351	193	84	79	127	193
peak17	283	190	338	179	98	81	120	128
peak18	208	158	320	145	50	69	45	75
peak19	266	173	608	200	159	159	186	199
peak20	152	105	187	177	76	90	153	198
peak21	289	185	405	235	135	157	155	175
peak22	35372	26548	30389	23875	11335	10744	15550	16933
peak23	26151	17183	16129	7686	6928	6915	5791	5766
peak24	25789	18029	21351	14518	7659	7951	8711	10392
peak25	299	241	485	370	195	193	276	380
peak26	190	134	231	116	58	75	64	72
peak27	129	77	232	112	46	36	73	82
peak28	537	373	480	291	250	236	286	343
peak29	456	284	568	271	135	162	149	213
peak30	429	341	711	672	203	215	374	486
peak31	2787	1969	3323	1849	1073	1062	1261	1537
peak32	963	744	1154	869	324	393	520	662
peak33	284	247	485	238	189	170	216	275
peak34	273	195	399	248	152	188	205	198
peak35	455	325	606	399	196	187	258	362
peak36	106	83	151	61	18	9	11	13
peak37	1355	970	1879	1279	452	433	653	752
peak38	130	145	321	334	76	70	162	266
peak39	163	108	268	100	79	86	69	90
peak40	1242	844	2244	1635	331	340	679	872
peak41	15721	8994	37342	16868	6987	6015	11212	12814
peak42	331	215	440	245	95	88	107	171
peak43	833	540	1111	847	286	252	340	373
peak44	8530	4987	5367	5320	2274	2156	2071	2430
peak45	2823	1670	3061	1737	867	887	1019	1092
peak46	661	635	892	1092	331	329	552	607
peak47	52	62	137	143	39	38	106	183
peak48	1247	813	2388	1080	643	681	648	834
peak49	746	471	1167	814	237	236	350	463
peak50	459	296	788	304	331	287	261	341
peak51	674	476	1103	630	222	239	278	353
peak52	6920	4666	6147	4567	2378	2330	2389	2961
peak53	2583	1648	1914	1431	767	722	679	865
peak54	192	148	227	128	96	102	96	94
peak55	184	207	332	394	89	106	254	347
peak56	493	333	635	309	203	199	198	253
peak57	719	471	663	417	262	261	293	326
peak58	801	525	1128	509	296	296	494	578
peak59	3175	1867	2690	1629	1067	911	791	961
peak60	921	541	1368	705	255	256	370	443
peak61	216	219	400	348	107	111	223	296
peak62	759	755	1327	1111	293	334	700	814
peak63	176	98	202	208	43	45	99	135
peak64	658	520	1254	804	238	233	415	575
peak65	2547	1591	2857	1940	862	865	1232	1404
peak66	220	148	234	171	175	198	188	232
peak67	2832	1877	2765	1813	811	746	880	960
peak68	963	566	1092	477	323	319	310	370
peak69	203	152	329	167	64	77	83	89
peak70	146	114	281	137	63	87	75	135
peak71	126	58	185	78	55	56	54	72
peak72	521	432	1091	429	284	288	220	280
peak73	2185	1644	3341	2472	777	723	1415	1613
peak74	5869	3783	3910	3052	2161	1947	1463	1799
peak75	648	550	1043	363	291	374	419	497
peak76	102	95	170	84	42	45	56	64
peak77	254	206	482	164	89	93	89	122
peak78	575	407	646	373	156	152	213	247
peak79	885	576	543	297	464	401	339	383
peak80	723	421	488	312	204	187	224	222
peak81	564	414	614	445	204	217	251	289
peak82	896	619	1355	759	266	269	292	332
peak83	467	356	574	376	170	172	256	324
peak84	94	90	135	128	56	61	127	167
peak85	355	254	255	218	112	113	109	162
peak86	195	186	232	217	91	87	124	162
peak87	428	267	502	247	166	163	147	180
peak88	2917	1871	2973	1645	853	763	788	902
peak89	233	152	418	351	101	104	212	293
peak90	298	230	513	258	163	143	162	235
peak91	424	312	445	218	172	173	194	237
peak92	2973	1959	3812	1761	507	546	676	781
peak93	1107	710	1326	611	458	491	529	607
peak94	1449	855	1504	633	764	734	672	856
peak95	1078	707	512	525	369	361	304	371
peak96	1987	1291	1898	982	694	638	577	742
peak97	448	324	572	282	172	183	211	217
peak98	614	436	1111	482	241	241	275	341
peak99	678	539	730	516	245	244	307	304
peak100	650	387	1004	480	197	154	218	249
peak101	2735	1757	1533	1724	824	764	859	1075
peak102	737	499	1535	597	427	397	425	475
peak103	1477	1001	1184	1154	535	520	647	801
peak104	1357	900	1946	1097	542	489	525	758
peak105	966	650	1616	702	405	422	401	467
peak106	657	438	669	416	279	339	286	364
peak107	403	321	402	288	135	164	199	186
peak108	249	145	205	220	93	74	155	186
peak109	373	266	385	315	152	158	237	277
peak110	916	592	1267	470	305	302	301	313
peak111	332	237	495	232	102	100	112	147
peak112	204	160	245	161	74	72	111	113
peak113	752	498	819	453	264	331	324	394
peak114	2227	1523	1977	1063	960	864	932	1104
peak115	350	215	345	226	149	174	116	168
peak116	795	550	1121	456	335	342	426	460
peak117	2086	1766	2466	2136	761	942	1361	1697
peak118	5023	3319	4672	2020	1504	1605	1546	1732
peak119	3256	2177	2450	1393	966	1113	893	1086
peak120	134	96	195	229	55	66	176	254
peak121	219	180	403	196	163	148	154	205
peak122	6409	4222	7765	5752	1580	1595	2109	2633
peak123	3034	2181	1882	1218	903	982	900	1064
