control_input	control_input.1	control_input.2	control_input.3	control_input.4	control_IP	control_IP.1	control_IP.2	control_IP.3	control_IP.4	treatment_input	treatment_input.1	treatment_input.2	treatment_input.3	treatment_input.4	treatment_IP	treatment_IP.1	treatment_IP.2	treatment_IP.3	treatment_IP.4
peak1	7	0	0	0	0	179	4	7	1	2	8	0	0	0	0	247	4	13	17	1
peak2	0	0	0	0	0	3	3	2	3	1	0	0	0	1	0	9	5	13	126	2
peak3	6	1	2	0	0	116	30	86	7	0	11	2	0	0	0	53	37	90	8	0
peak4	2	4	6	1	0	3	17	17	18	11	6	4	0	2	0	6	16	14	85	13
peak5	8	1	0	0	0	49	15	23	8	20	16	4	0	0	0	84	17	23	33	17
peak6	4	0	4	0	0	67	19	27	19	29	24	2	0	2	0	123	37	37	127	34
peak7	5	3	4	0	0	47	15	5	16	5	14	10	0	16	0	35	10	19	185	10
peak8	3	1	2	4	0	26	18	18	10	21	36	9	0	38	0	74	9	4	230	18
peak9	0	0	1	2	0	18	12	18	11	21	1	8	0	22	0	17	20	11	204	19
peak10	3	4	0	3	0	1	3	8	12	9	6	8	1	15	0	12	2	10	175	10
peak11	17	8	17	35	0	89	71	96	272	110	16	19	3	28	0	32	91	134	850	144
peak12	8	14	22	18	0	55	55	79	95	92	20	15	3	14	0	228	66	94	406	74
peak13	16	3	1	7	0	66	40	71	147	39	2	1	0	4	0	5	39	52	117	51
peak14	8	4	9	9	0	17	42	50	91	50	1	6	3	1	0	3	31	95	103	84
peak15	14	2	18	6	0	85	92	123	185	103	1	5	3	4	0	7	69	133	130	101
peak16	24	7	6	0	0	59	43	42	22	31	5	11	1	0	0	0	28	41	11	28
peak17	28	0	1	1	0	182	10	11	27	10	5	0	1	1	0	28	6	13	72	5
peak18	18	3	5	2	0	117	20	19	6	9	5	0	1	0	0	5	23	21	10	12
peak19	7	0	0	0	0	4	4	0	54	3	0	0	0	0	0	0	0	11	18	0
peak20	61	21	28	39	0	253	189	252	694	172	37	39	13	20	0	43	213	335	617	203
peak21	91	57	81	108	0	155	269	399	881	253	19	81	28	54	22	16	299	467	900	285
peak22	221	66	84	242	489	1185	463	459	2412	458	633	80	78	242	50	457	420	1017	4739	481
peak23	44	46	46	178	0	173	127	113	1124	68	156	63	48	123	68	413	149	268	2278	56
peak24	24	46	71	103	1	94	283	343	239	149	44	65	69	78	50	106	332	476	350	176
peak25	11	39	86	96	0	34	402	488	689	249	30	77	91	106	65	28	531	559	948	257
peak26	22	32	24	67	86	26	103	110	242	87	30	57	31	36	86	9	130	111	142	66
peak27	46	24	16	37	0	141	116	129	218	163	25	30	7	6	0	66	110	120	134	150
