Gene	Mean	SD	N	Virus	Peak
SON	-0.005	0.122	9.000	mock	peak19984
RIOK3	-0.044	0.391	9.000	mock	peak14075
CIRBP	-0.015	0.228	9.000	mock	peak14552
TPP1	-0.005	0.128	9.000	mock	peak4404
TMEM2	-0.191	0.877	9.000	mock	peak30001
GOLGA3	-0.131	0.662	9.000	mock	peak7467
PLEKHH2	-0.025	0.289	9.000	mock	peak17178
NOC2L	-0.004	0.112	9.000	mock	peak21
SF3B1	-0.029	0.319	9.000	mock	peak18282
PER2	-0.003	0.102	9.000	mock	peak18718
TNRC6A	-0.063	0.477	9.000	mock	peak10854
RICTOR	0.000	0.034	9.000	mock	peak24430
ADGRG6	-0.097	0.548	9.000	mock	peak26721
DMXL2	-0.035	0.355	6.000	mock	peak9387
ALCAM	-0.023	0.267	9.000	mock	peak22202
SLC22A15	-0.005	0.122	9.000	mock	peak1788
PUM2	-0.003	0.097	9.000	mock	peak16960
ASH1L	-0.013	0.207	9.000	mock	peak2080
MBNL2	-0.010	0.181	9.000	mock	peak7936
SON	0.173	0.193	9.000	dengue	peak19984
RIOK3	0.963	0.303	9.000	dengue	peak14075
CIRBP	-1.556	0.530	9.000	dengue	peak14552
TPP1	0.936	0.909	9.000	dengue	peak4404
TMEM2	1.558	0.527	9.000	dengue	peak30001
GOLGA3	1.735	1.107	9.000	dengue	peak7467
PLEKHH2	1.578	0.111	9.000	dengue	peak17178
NOC2L	1.195	0.394	8.000	dengue	peak21
SF3B1	0.896	0.245	9.000	dengue	peak18282
PER2	2.142	0.213	9.000	dengue	peak18718
TNRC6A	2.145	0.527	8.000	dengue	peak10854
RICTOR	0.733	0.204	9.000	dengue	peak24430
ADGRG6	1.071	0.635	7.000	dengue	peak26721
DMXL2	1.711	1.459	8.000	dengue	peak9387
ALCAM	1.747	0.270	9.000	dengue	peak22202
SLC22A15	1.577	0.378	9.000	dengue	peak1788
PUM2	0.848	0.429	9.000	dengue	peak16960
ASH1L	1.441	0.234	9.000	dengue	peak2080
MBNL2	1.090	0.450	9.000	dengue	peak7936
SON	0.177	0.506	9.000	zikv	peak19984
RIOK3	1.998	0.935	9.000	zikv	peak14075
CIRBP	-1.181	1.097	9.000	zikv	peak14552
TPP1	1.446	0.888	9.000	zikv	peak4404
TMEM2	2.671	1.059	9.000	zikv	peak30001
GOLGA3	3.273	0.514	9.000	zikv	peak7467
PLEKHH2	2.266	0.695	9.000	zikv	peak17178
NOC2L	2.412	0.302	9.000	zikv	peak21
SF3B1	1.591	0.445	9.000	zikv	peak18282
PER2	3.425	0.864	9.000	zikv	peak18718
TNRC6A	3.887	1.231	8.000	zikv	peak10854
RICTOR	2.136	0.980	9.000	zikv	peak24430
ADGRG6	2.273	1.458	8.000	zikv	peak26721
DMXL2	2.644	2.614	8.000	zikv	peak9387
ALCAM	3.632	0.686	9.000	zikv	peak22202
SLC22A15	1.924	0.248	9.000	zikv	peak1788
PUM2	1.900	0.263	9.000	zikv	peak16960
ASH1L	3.391	0.471	9.000	zikv	peak2080
MBNL2	2.971	0.998	9.000	zikv	peak7936
SON	-1.236	0.792	9.000	hcv	peak19984
RIOK3	0.133	0.179	9.000	hcv	peak14075
CIRBP	-1.054	1.175	9.000	hcv	peak14552
TPP1	0.545	0.327	9.000	hcv	peak4404
TMEM2	1.525	0.644	9.000	hcv	peak30001
GOLGA3	3.400	1.591	8.000	hcv	peak7467
PLEKHH2	1.339	0.383	9.000	hcv	peak17178
NOC2L	3.605	0.281	9.000	hcv	peak21
SF3B1	0.466	0.649	9.000	hcv	peak18282
PER2	2.719	0.387	9.000	hcv	peak18718
TNRC6A	1.786	2.361	9.000	hcv	peak10854
RICTOR	0.680	0.394	9.000	hcv	peak24430
ADGRG6	-0.776	1.698	8.000	hcv	peak26721
DMXL2	0.067	1.749	8.000	hcv	peak9387
ALCAM	2.628	0.434	9.000	hcv	peak22202
SLC22A15	1.047	0.496	9.000	hcv	peak1788
PUM2	0.013	0.295	9.000	hcv	peak16960
ASH1L	0.883	0.880	9.000	hcv	peak2080
MBNL2	0.816	0.639	9.000	hcv	peak7936
