control_input	control_input.1	control_input.2	control_IP	control_IP.1	control_IP.2	treatment_input	treatment_input.1	treatment_input.2	treatment_IP	treatment_IP.1	treatment_IP.2
peak1	9	9	21	37	62	39	9	13	9	46	87	54
peak2	19	19	16	66	113	65	21	20	22	55	78	98
peak3	13	10	2	62	110	39	10	5	8	42	55	70
peak4	28	17	16	131	164	89	17	6	11	141	121	126
peak5	7	13	14	44	77	35	18	16	38	60	94	184
peak6	23	24	24	58	99	32	32	46	61	50	112	135
peak7	17	19	29	54	74	29	24	31	40	47	113	139
peak8	122	74	57	249	272	143	285	183	224	589	682	597
peak9	38	29	41	130	157	76	207	131	183	406	531	592
peak10	786	769	933	2642	4858	2182	2962	2115	2548	8389	15531	14763
peak11	713	687	700	1698	2740	1326	2708	2031	2536	4950	8085	7516
peak12	197	208	248	743	1161	587	282	160	209	589	755	655
peak13	674	626	706	1588	2401	1308	791	605	676	1662	2172	1942
peak14	913	926	1332	2388	3124	1593	709	485	552	1107	1483	1150
peak15	311	235	216	1031	1569	868	146	104	120	475	566	458
peak16	458	437	540	1701	2742	1312	204	147	176	849	991	760
peak17	577	544	634	1603	2467	1312	654	414	547	1358	1806	1922
peak18	99	88	139	273	345	184	81	58	67	189	187	179
peak19	60	48	51	205	292	160	47	23	49	115	121	133
peak20	48	45	49	226	357	158	38	14	31	124	137	135
peak21	218	170	170	476	670	327	159	83	140	238	265	295
peak22	83	61	81	316	461	252	49	26	38	166	207	270
peak23	306	236	275	608	898	425	252	155	220	406	511	496
peak24	347	376	408	1386	1897	943	314	244	310	828	1021	1016
peak25	530	495	507	1827	2460	1167	432	273	441	1120	1343	1368
peak26	241	248	380	387	536	277	276	153	225	265	405	261
peak27	203	242	289	525	926	483	227	148	187	456	637	598
peak28	146	141	222	357	543	285	110	101	136	257	225	237
peak29	273	258	348	757	919	470	295	217	260	675	907	754
peak30	548	494	535	1525	2803	1297	565	410	543	1352	2078	1941
peak31	26	30	34	47	80	43	42	18	20	39	60	85
peak32	208	164	201	688	959	479	168	110	196	446	513	536
peak33	12	6	15	89	126	60	7	7	13	62	94	105
peak34	23	10	12	99	62	35	10	4	4	75	29	38
peak35	38	34	45	179	206	90	46	20	29	174	189	192
peak36	184	150	154	569	669	240	198	97	133	462	463	447
peak37	285	306	342	405	560	344	237	176	241	238	320	275
peak38	51	58	41	287	380	167	15	13	10	126	98	74
peak39	402	358	348	1195	1767	796	348	254	340	885	1026	999
peak40	540	459	422	1132	1626	756	480	314	382	878	1001	1007
peak41	36	28	40	119	111	64	35	17	31	64	80	78
peak42	216	219	231	515	722	338	250	149	261	407	700	677
peak43	45	34	42	111	151	75	30	23	16	43	60	54
peak44	681	481	628	3284	4499	2143	456	268	340	1902	2141	2374
peak45	233	212	277	898	1457	746	179	132	161	660	904	886
peak46	22	18	29	57	72	43	28	13	25	49	70	67
peak47	25	22	21	73	124	77	9	6	8	33	50	51
peak48	88	96	72	167	258	97	68	64	73	90	152	152
peak49	15	22	37	79	102	75	27	14	14	71	64	100
peak50	305	286	377	640	728	457	242	192	290	323	406	404
peak51	409	373	484	1301	1849	1052	322	238	394	755	1131	1350
peak52	213	186	252	304	329	220	159	100	169	152	248	179
peak53	661	525	732	2072	2567	1361	550	344	535	1132	1532	1609
peak54	191	116	155	748	1039	747	90	91	106	429	583	585
peak55	164	149	169	654	960	548	104	100	127	364	534	557
peak56	62	45	54	152	272	144	52	48	62	188	265	336
peak57	622	593	804	1383	2141	1114	762	507	639	1213	1796	1424
peak58	309	284	261	615	786	385	272	180	193	423	536	453
peak59	95	89	79	255	426	192	50	48	50	150	221	183
peak60	55	39	34	140	103	66	80	32	46	158	143	87
peak61	14	8	15	39	29	15	28	6	21	84	66	65
peak62	119	81	75	232	225	115	327	164	215	441	451	492
peak63	101	66	52	227	228	109	236	90	165	417	482	474
peak64	97	102	137	365	334	169	106	45	41	258	255	207
peak65	205	239	202	238	507	315	116	147	218	175	275	293
peak66	819	945	1121	2856	6161	3320	595	587	844	2116	4014	4624
peak67	916	1043	1427	3109	6812	3379	889	808	1143	2549	5262	5542
peak68	9	12	12	53	115	60	6	4	6	17	14	44
peak69	197	137	156	320	355	221	166	97	111	250	296	249
peak70	128	96	103	313	392	205	101	52	77	229	300	272
peak71	38	27	42	70	119	71	21	19	19	61	61	49
peak72	35	33	43	61	107	80	29	9	19	58	72	66
peak73	86	65	64	209	347	175	50	32	55	172	190	224
peak74	82	73	74	153	205	99	72	53	75	95	141	117
peak75	92	54	84	283	387	225	62	44	57	211	268	257
peak76	476	479	571	1323	1747	922	478	351	460	1019	1372	1509
peak77	67	83	107	168	144	97	84	59	69	122	169	116
peak78	110	99	106	256	304	171	118	77	128	148	212	186
peak79	37	37	51	82	110	69	37	29	39	71	105	85
peak80	165	144	153	471	812	431	113	80	90	307	343	355
peak81	52	77	62	151	323	170	125	167	168	273	650	621
peak82	11	22	13	47	104	63	23	36	36	99	202	221
peak83	11	8	7	59	56	15	14	3	2	31	33	26
peak84	44	25	29	94	88	47	30	10	16	57	45	43
peak85	188	206	189	581	1063	624	149	130	164	574	744	863
peak86	368	450	424	960	1579	847	374	207	290	563	815	741
peak87	839	837	834	3387	6081	3240	659	468	691	2618	3261	3449
peak88	67	50	66	96	90	51	108	68	106	144	177	151
peak89	286	258	276	1172	1735	833	577	380	450	2012	2266	2443
peak90	168	158	183	540	813	362	323	219	302	835	986	1023
peak91	99	77	109	269	428	212	193	117	172	426	537	606
peak92	37	27	61	73	94	59	47	39	55	103	93	115
peak93	73	58	50	168	178	88	82	52	42	116	129	124
peak94	25	23	41	137	257	138	14	16	29	90	126	131
peak95	40	38	50	101	175	84	12	22	26	77	70	100
peak96	250	219	264	830	1086	603	477	439	582	1249	2151	2056
peak97	485	397	470	2223	3299	1736	943	880	1227	4282	6850	7466
peak98	319	275	291	975	1266	699	812	698	994	1504	2622	2917
peak99	243	217	296	764	918	484	560	481	711	1066	1827	1600
peak100	221	185	226	618	982	522	123	92	105	344	408	434
peak101	150	150	169	646	1120	636	98	73	109	432	539	513
peak102	130	122	123	497	690	331	257	181	189	811	790	817
peak103	395	412	468	775	1136	542	547	348	500	591	949	772
peak104	99	89	91	175	311	160	85	72	105	164	260	274
peak105	42	43	45	135	197	122	31	28	44	86	100	99
peak106	31	33	21	107	185	137	20	20	32	88	134	150
peak107	53	52	46	179	286	174	29	31	51	124	194	182
peak108	72	51	50	188	209	108	10	7	13	29	23	31
peak109	145	239	201	371	884	519	131	140	182	298	485	489
peak110	94	131	115	255	688	383	60	61	87	238	376	365
peak111	1128	936	892	2588	3744	1795	1319	966	1489	2730	3504	4545
peak112	334	256	316	717	819	447	402	267	401	700	920	1065
peak113	528	403	360	811	992	391	491	367	598	698	944	1106
peak114	514	381	440	1510	1873	912	603	417	699	1448	1984	2384
peak115	112	82	62	184	281	200	40	47	49	103	148	162
peak116	10	11	9	28	39	20	19	15	27	38	61	67
peak117	6	7	13	24	48	28	11	16	24	64	88	115
peak118	398	311	356	985	1325	792	347	244	411	728	1072	1322
peak119	25	17	19	87	132	66	8	7	10	71	83	83
peak120	408	372	458	1123	1408	795	406	328	458	759	1075	1299
peak121	311	229	358	1004	1189	658	317	216	308	639	884	1066
peak122	274	179	266	708	995	587	196	153	242	589	769	961
peak123	226	211	211	932	1245	681	190	137	225	614	979	1014
peak124	195	171	196	564	731	415	150	131	159	378	599	560
peak125	175	136	149	504	762	413	107	91	141	341	610	609
peak126	304	325	322	1427	2317	1012	1296	1039	1362	5082	7378	7377
peak127	297	311	302	916	1394	699	1186	980	1214	2910	4363	4090
peak128	35	40	54	90	114	51	39	24	30	54	96	67
peak129	102	129	115	253	416	207	112	70	84	138	201	145
peak130	38	35	48	140	212	119	23	17	28	82	140	129
peak131	115	162	189	443	827	424	142	132	237	372	650	682
peak132	189	182	210	412	742	363	204	197	232	461	635	727
peak133	957	918	899	2105	2892	1498	921	786	1060	1922	2717	3043
peak134	165	102	109	300	375	181	66	34	50	115	114	87
peak135	70	44	64	104	108	67	61	23	66	84	111	115
peak136	117	105	82	319	462	259	97	76	84	224	253	284
peak137	167	132	140	416	566	343	141	84	128	304	321	305
peak138	90	72	73	321	474	318	80	65	84	218	277	293
peak139	46	54	46	136	258	138	35	18	17	100	86	65
peak140	192	170	165	389	654	370	124	100	141	266	301	329
peak141	400	328	395	1889	2932	1268	521	297	367	2438	2999	2987
peak142	12	7	8	29	57	24	67	39	76	153	246	332
peak143	430	355	328	1636	2517	1450	281	205	264	1335	1569	1756
peak144	96	68	94	242	328	217	58	46	84	204	282	243
peak145	69	60	63	124	224	124	82	44	73	107	132	112
peak146	106	128	153	378	726	399	86	84	125	282	407	430
peak147	38	29	35	70	54	39	38	20	33	59	96	59
peak148	14	4	6	26	17	7	110	67	145	216	307	263
peak149	54	29	33	115	90	41	77	36	43	106	105	110
peak150	43	33	36	149	126	77	69	35	53	185	168	174
peak151	201	107	121	748	755	386	247	110	187	959	886	917
peak152	216	190	188	455	597	304	335	242	335	504	652	643
peak153	253	210	214	535	702	351	405	263	352	617	876	809
peak154	256	241	239	713	970	589	399	309	415	920	1450	1682
peak155	186	174	197	493	612	309	339	219	345	578	830	841
peak156	235	250	368	678	947	471	379	325	408	814	1051	1078
peak157	3037	2950	3002	8359	14828	7054	3149	2318	2954	8690	11727	11971
peak158	377	348	314	706	1217	711	399	256	407	725	1004	1130
peak159	461	417	415	655	875	485	402	333	391	551	722	655
peak160	86	89	127	205	224	136	247	198	266	330	503	448
peak161	6	7	6	10	23	13	426	466	720	1130	2160	2632
peak162	2	5	3	9	10	8	111	161	214	477	988	1162
peak163	16	20	22	36	41	38	30	32	42	67	107	130
peak164	12	15	17	77	102	47	39	31	59	166	226	237
peak165	60	63	52	238	423	196	129	126	183	562	856	920
