control_input	control_input.1	control_input.2	control_IP	control_IP.1	control_IP.2	treatment_input	treatment_input.1	treatment_input.2	treatment_IP	treatment_IP.1	treatment_IP.2
peak1	2518	163	2234	1345	264	913	2748	678	356	783	508	275
peak2	552	18	467	1165	87	845	620	151	96	306	246	141
peak3	7280	726	15311	641	138	1325	15672	3989	3200	847	851	419
peak4	4159	208	4066	3967	451	3336	3680	892	596	1681	1132	599
peak5	6	0	11	37	40	18	24	4	3	16	23	4
peak6	14	1	24	185	163	169	16	0	1	12	14	9
peak7	14	1	17	144	95	96	9	2	2	7	5	6
peak8	53	5	45	819	841	682	22	13	7	32	49	22
peak9	2	0	14	17	161	116	6	0	2	6	1	1
peak10	14	8	82	287	1268	1123	35	8	9	52	55	23
peak11	0	0	5	10	94	71	3	0	0	0	3	0
peak12	3	3	23	11	71	120	1	0	1	0	0	0
peak13	6	1	43	18	77	133	2	0	0	0	0	0
peak14	9	3	79	18	151	242	0	1	0	3	1	2
peak15	24	7	129	45	345	395	8	1	2	8	5	4
peak16	4	1	54	31	247	143	7	0	2	0	5	5
peak17	161	15	335	615	3380	2320	158	52	39	33	52	16
peak18	22	1	42	84	128	106	44	15	11	23	29	12
peak19	880	91	1083	5228	9591	5687	297	104	94	310	323	170
peak20	4	0	3	56	29	30	51	13	13	54	55	32
peak21	10	0	6	201	105	92	112	39	31	200	170	99
peak22	64	3	71	588	733	469	77	37	34	106	103	57
peak23	544	42	721	2649	4617	2805	343	99	88	168	175	93
peak24	390	32	522	365	475	543	334	103	67	131	149	79
peak25	581	59	766	453	568	634	456	130	107	162	186	91
peak26	532	42	750	855	1413	1018	372	130	94	140	162	93
peak27	98	15	122	280	408	314	49	14	17	32	29	15
peak28	214	17	273	2221	1640	1891	131	47	33	105	90	59
peak29	101	8	82	1108	1321	900	46	10	7	33	42	15
peak30	197	13	241	742	1010	629	300	99	78	138	152	89
peak31	58	4	61	111	100	73	63	23	15	19	23	10
peak32	78	3	93	419	595	324	74	29	19	33	41	26
peak33	30	2	20	130	216	105	22	11	6	12	13	6
peak34	31	4	31	279	453	215	30	13	7	19	19	8
peak35	50	3	74	102	125	92	49	21	23	19	23	6
peak36	18	1	19	105	84	72	21	6	7	10	3	2
peak37	138	19	176	609	869	565	198	61	49	192	214	77
peak38	122	10	121	521	843	445	85	35	18	65	62	28
peak39	86	5	92	596	1129	577	64	17	13	57	56	24
peak40	83	8	117	125	151	130	127	39	26	46	44	12
peak41	90	4	98	300	582	333	102	44	35	77	80	62
peak42	76	6	109	134	159	135	111	37	30	75	55	22
