seqnames	start	end	width	strand	annot	main.gene	deseq2.p	deseq2.padj	edger.p	edger.padj	qnb.p	qnb.padj	metdiff.p	metdiff.padj	peak.l2fc	gene.l2fc	gene.p	gene.padj	diff.l2fc
chr1	942603	942809	206	+	utr3	SAMD11	0.905068237068162	NA	0.885275359846578	1	0.94247812666745	0.992245776064375	0.293391750200704	0.368741130031499	-2.53742457028104	-1.93670891956678	1.43578436866105e-44	4.12754615655898e-43	-0.600715650714265
chr1	1020093	1020491	398	+	utr5	AGRN	0.607784870848952	NA	0.570147827368016	1	0.553836740225978	0.974721073680843	0.0163909400087277	0.104236112844101	-0.63752184494532	-0.386961635696437	8.82348939927564e-18	8.23492368509972e-17	-0.250560209248883
chr1	1055015	1055383	368	+	utr3	AGRN	0.537376220280083	0.999066367020832	0.50230119941958	1	0.459458387971987	0.949914077775401	0.0996565955433697	0.185953876318607	-0.551308945594665	-0.386961635696437	8.82348939927564e-18	8.23492368509972e-17	-0.164347309898228
chr1	1055497	1055713	216	+	utr3	AGRN	0.722213334732338	0.999066367020832	0.732259402824367	1	0.740880735511519	0.992245776064375	0.0327516317539058	0.117411046513142	-0.511546574536168	-0.386961635696437	8.82348939927564e-18	8.23492368509972e-17	-0.124584938839731
chr1	1082287	1082888	601	-	utr3	C1orf159	0.446861467125461	0.999066367020832	0.358517286778602	1	0.407716228760318	0.946392067913759	0.277112956563561	0.354194188062327	0.0117682316087119	0.0186224332595464	0.8456494811659	0.905731149454774	-0.00685420165083443
chr1	1217062	1217531	469	-	utr3	SDF4	0.986528340806762	0.999066367020832	0.95115805258141	1	0.908767312202598	0.992245776064375	0.109428404433698	0.195572497823461	-0.163168317343092	0.0799661309248088	0.0980905090761589	0.180626519878585	-0.243134448267901
chr1	1255015	1255305	290	-	utr3	UBE2J2	0.891146496647971	0.999066367020832	0.850722953004859	1	0.886019289761849	0.992245776064375	0.00669390182755958	0.0975883956573337	-0.0817962960096685	0.0351120432548354	0.644184624323558	0.763735504107386	-0.116908339264504
chr1	1294426	1294681	255	-	exon	ACAP3	0.918354420770085	NA	0.926478471275549	1	0.961960784182201	0.992245776064375	0.316508655032939	0.389985241738459	-1.64869577175599	-1.50935018681692	1.01708877529406e-48	3.37976959564449e-47	-0.139345584939065
chr1	1327744	1328020	276	+	utr3	CPTP	0.941605315808748	NA	0.932537680944919	1	0.921399755379659	0.992245776064375	0.0236120296434165	0.109832848952552	0.187236617134241	0.351800474138646	6.42409565751143e-05	0.0002237888078634	-0.164563857004405
chr1	1328196	1328795	599	+	utr3	CPTP	0.17604600566961	0.980553132535712	0.11187942106091	1	0.142223104613146	0.804771255869619	0.00123420642462679	0.0963159710842872	0.116917862414737	0.351800474138646	6.42409565751143e-05	0.0002237888078634	-0.234882611723909
chr1	1336083	1336417	334	-	utr3	DVL1	0.155309562965421	0.971516298253115	0.0899220776676364	1	0.106408665655188	0.779558472158895	0.255998109211179	0.334535856051781	-0.280903173581999	-0.23390185236539	0.000517803177568514	0.00159006930307122	-0.0470013212166083
chr1	1386869	1387404	535	-	utr3	CCNL2	0.978960730155215	0.999066367020832	0.964247882877244	1	0.988173831722759	0.992245776064375	0.0843088370761883	0.170621203134459	-0.0436879138786026	0.260398481264139	0.000662944916951656	0.00200504065741418	-0.304086395142742
chr1	1400672	1401446	774	+	exon	RP4-758J18.2	0.636410040172619	0.999066367020832	0.586397203553052	1	0.605162897790463	0.982680660961251	0.166208965459086	0.250066964554301	-0.0931844410645134	0.0638095969421149	0.552713704648158	0.689268142245469	-0.156994038006628
chr1	1665056	1665865	809	-	utr3	SLC35E2B	0.183049059811549	0.980733253329022	0.10725409660319	1	0.127552415940883	0.800593417686138	0.538773677724009	0.597685789862602	-0.532623595547298	-0.458931216824165	3.61097449102962e-05	0.000129570569436466	-0.0736923787231324
chr1	1890738	1891019	281	-	utr5	GNB1	0.409081084418807	NA	0.331466695065775	1	0.268601859232967	0.890313383275803	0.3778478716831	0.448053050318835	0.0475098948341447	0.0997207459693727	0.0134101954257389	0.0317051029464037	-0.052210851135228
chr1	2184997	2185307	310	-	utr3	FAAP20	0.368220023733479	NA	0.247166531630549	1	0.312838722771002	0.911480348665062	0.233187042563743	0.312885471127308	-0.045504693919826	0.128290455182497	0.0533508292996934	0.106818314931675	-0.173795149102323
chr1	2190648	2190859	211	-	exon	FAAP20	0.766816562305452	NA	0.697909238450547	1	0.732482348106373	0.992245776064375	0.711736784189277	0.753942199963304	1.69466839927925	0.128290455182497	0.0533508292996934	0.106818314931675	1.56637794409675
chr1	2192049	2192367	318	-	utr3	FAAP20	0.347185820205848	NA	0.257967527376619	1	0.30702141907307	0.909532862034498	0.970248523560482	0.979033206138665	2.12486474189551	0.128290455182497	0.0533508292996934	0.106818314931675	1.99657428671301
chr1	2192572	2192824	252	-	utr3	FAAP20	0.510181205869851	NA	0.419031299520674	1	0.443430893771794	0.946580216173859	0.797839015891243	0.828230770424011	1.62030137869754	0.128290455182497	0.0533508292996934	0.106818314931675	1.49201092351504
chr1	2306942	2307557	615	+	utr3	SKI	0.23563126310596	NA	0.147308253398206	1	0.19526751878428	0.85063368286518	0.351766351118557	0.42324191811187	0.583437267604609	0.636926821491472	2.80335250502259e-19	2.84746441995372e-18	-0.0534895538868626
chr1	2307731	2308052	321	+	utr3	SKI	0.521826143999055	NA	0.411276364834951	1	0.433858565815233	0.946580216173859	0.664143291531328	0.712625083756923	0.423947779529576	0.636926821491472	2.80335250502259e-19	2.84746441995372e-18	-0.212979041961895
chr1	2308134	2308443	309	+	utr3	SKI	0.534605353177417	NA	0.414638378199869	1	0.436227310030339	0.946580216173859	0.326925588057941	0.399664925675941	0.607315083415787	0.636926821491472	2.80335250502259e-19	2.84746441995372e-18	-0.029611738075685
chr1	2403393	2403606	213	+	utr3	RER1	0.0241040567442317	0.718007051731518	0.0088031777393312	1	0.00636695083281763	0.349036258279768	0.376207859316113	0.446462823508172	0.352743220871947	0.236166776120541	3.03648607114117e-05	0.000110187942370209	0.116576444751406
chr1	3629692	3629994	302	+	utr3	TPRG1L	0.810830515783151	NA	0.796929489923982	1	0.822731350133448	0.992245776064375	0.164047793132321	0.247749823769422	0.401336528310271	0.573557221640242	2.00508237620324e-12	1.35738366886289e-11	-0.172220693329971
