seqnames	start	end	width	strand	annot	main.gene	deseq2.p	deseq2.padj	edger.p	edger.padj	qnb.p	qnb.padj	peak.l2fc	gene.l2fc	gene.p	gene.padj	diff.l2fc
chr1	917584	917696	113	-	exon	RP11-54O7.3	0.848102078856224	1	0.788656920787548	1	0.884517889776626	0.998397222027879	-3.44670810958782	-3.11790061622204	9.20289165385863e-10	1.99529109423565e-08	-0.328807493365782
chr1	917865	918017	153	-	exon	RP11-54O7.3	0.448114716072984	1	0.365522304685145	1	0.399382223526037	0.998397222027879	-3.13514715906465	-3.11790061622204	9.20289165385863e-10	1.99529109423565e-08	-0.0172465428426114
chr1	919366	921031	1666	-	exon	RP11-54O7.3	0.883332941443593	1	0.946804336773456	1	0.947701532448824	0.998397222027879	-2.93943612098593	-3.11790061622204	9.20289165385863e-10	1.99529109423565e-08	0.178464495236106
chr1	921203	921391	189	+	intergenic	NA	0.546943766811167	1	0.47806902315698	1	0.557945053865903	0.998397222027879	-3.8430445706037	NA	NA	NA	NA
chr1	942836	943294	459	+	utr3	SAMD11	0.37588597100944	1	0.409427468671291	1	0.288861468280951	0.998397222027879	-2.80626096384547	-3.51457408932551	3.63522026289011e-06	4.06939269760061e-05	0.70831312548004
chr1	944370	944492	123	+	utr3	SAMD11	0.0616497335440968	1	0.034220812250029	1	0.164970827024266	0.998397222027879	-2.2589002966551	-3.51457408932551	3.63522026289011e-06	4.06939269760061e-05	1.25567379267041
chr1	960614	960727	114	+	utr5	KLHL17	0.818744558451465	1	0.750318745280446	1	0.643311182598905	0.998397222027879	0.448496724853987	-0.163554258077479	0.607517666340038	0.779867676245699	0.612050982931466
chr1	965764	965968	205	+	utr3*	KLHL17	0.25132805611556	1	0.192907284521791	1	0.273685331700013	0.998397222027879	1.53169985260852	-0.163554258077479	0.607517666340038	0.779867676245699	1.695254110686
chr1	975287	975388	102	-	utr3	PERM1	0.975524862437494	1	0.842664583375702	1	0.982833312750036	0.998397222027879	-0.0543653181980193	0.644711327762745	0.106080558191324	0.25300367251484	-0.699076645960764
chr1	1000442	1000637	196	+	utr5*	ISG15	0.900470439238049	1	0.95707844389345	1	0.959278790134287	0.998397222027879	1.16771613544343	2.65393659431392	1.24204020618179e-45	4.13689391572026e-43	-1.48622045887049
