seqnames	start	end	width	strand	annot	main.gene	deseq2.p	deseq2.padj	edger.p	edger.padj	qnb.p	qnb.padj	peak.l2fc	gene.l2fc	gene.p	gene.padj	diff.l2fc
chr1	6240064	6240364	301	+	exon	Rb1cc1	0.368270810121234	1	0.383060252630397	1	0.411924961110792	0.998013368711907	-0.273669659250357	0.00104226632274768	0.997150019130026	0.999933768943056	-0.274711925573105
chr1	6244103	6244203	101	+	exon	Rb1cc1	0.696163424234588	1	0.713248997857197	1	0.698241685219661	0.998013368711907	-0.525977816213774	0.00104226632274768	0.997150019130026	0.999933768943056	-0.527020082536522
chr1	6248405	6249054	650	+	exon	Rb1cc1	0.713631024229421	1	0.737760696244749	1	0.717956637863982	0.998013368711907	-0.309986631186031	0.00104226632274768	0.997150019130026	0.999933768943056	-0.311028897508779
chr1	6249204	6249354	151	+	exon	Rb1cc1	0.830677565504497	1	0.85137172736487	1	0.88514528924982	0.998013368711907	0.0579778551935875	0.00104226632274768	0.997150019130026	0.999933768943056	0.0569355888708398
chr1	6249554	6250154	601	+	exon	Rb1cc1	0.893924312058899	1	0.848932100098271	1	0.847084952729916	0.998013368711907	-0.0117973104596883	0.00104226632274768	0.997150019130026	0.999933768943056	-0.0128395767824359
chr1	7120344	7120592	249	+	exon	Pcmtd1	0.887276397793543	1	0.921115326711453	1	0.936367494550745	0.998013368711907	0.0082765954519692	0.0560959553065599	0.857041683329562	0.999933768943056	-0.0478193598545907
chr1	7169557	7170053	497	+	utr3	Pcmtd1	0.998340548077424	1	0.956973600296758	1	0.928449753070261	0.998013368711907	0.0542377239987138	0.0560959553065599	0.857041683329562	0.999933768943056	-0.00185823130784614
chr1	9546007	9546257	251	+	exon	Rrs1	0.981915091804951	1	0.993741194509104	1	0.985179301736727	0.998013368711907	0.115323445961041	0.144149674616563	0.664132157874258	0.999933768943056	-0.028826228655522
chr1	9546357	9546856	500	+	utr3	Rrs1	0.856959448209113	1	0.867129356061048	1	0.865814647953779	0.998013368711907	-0.0531085658420881	0.144149674616563	0.664132157874258	0.999933768943056	-0.197258240458652
chr1	9747697	9747845	149	+	exon	1700034P13Rik	0.434797449995676	1	0.480678580982941	1	0.665940577928319	0.998013368711907	0.240655234203177	1.13225158284166	0.320279635501049	0.999933768943056	-0.891596348638487
chr1	9747992	9748386	395	+	exon	1700034P13Rik	0.472529761629017	1	0.509351942959995	1	0.674540535889373	0.998013368711907	0.118031298354289	1.13225158284166	0.320279635501049	0.999933768943056	-1.01422028448737
chr1	10066508	10066657	150	+	exon	Cspp1	0.952054788262021	1	0.939610016642832	1	0.958299918185881	0.998013368711907	-0.114771109500189	-0.137621768174759	0.599563574584506	0.999933768943056	0.02285065867457
chr1	12858893	12859493	601	+	utr3	Sulf1	0.584494398602633	1	0.60340663292173	1	0.551422127446071	0.998013368711907	0.229580775020436	0.272898379989122	0.61856138345193	0.999933768943056	-0.0433176049686862
chr1	12859743	12859843	101	+	utr3	Sulf1	0.30522658063632	1	0.280267856877652	1	0.516767747227813	0.998013368711907	0.391619701166458	0.272898379989122	0.61856138345193	0.999933768943056	0.118721321177335
chr1	15805795	15805894	100	+	exon	Terf1	0.688958105686925	1	0.698157593603035	1	0.831586071452847	0.998013368711907	0.198927924744885	0.0661732297207129	0.834232072504853	0.999933768943056	0.132754695024172
chr1	16677292	16677488	197	+	utr3	Tmem70	0.77054704150413	1	0.764491718237319	1	0.738147192235467	0.998013368711907	0.255850723684234	0.20492626765735	0.616056888324233	0.999933768943056	0.0509244560268837
chr1	20934662	20935111	450	+	exon	Paqr8	0.904748265639186	1	0.899856234172372	1	0.866489981109985	0.998013368711907	0.54358964177651	0.516922687131123	0.0789873151036432	0.999933768943056	0.0266669546453875
chr1	20935410	20936009	600	+	utr3	Paqr8	0.59265248750887	1	0.637739450134822	1	0.755089945380334	0.998013368711907	0.339612003149452	0.516922687131123	0.0789873151036432	0.999933768943056	-0.177310683981671
chr1	20936158	20938453	2296	+	utr3	Paqr8	0.849668046840741	1	0.875635465819434	1	0.951711939897958	0.998013368711907	0.395867792870098	0.516922687131123	0.0789873151036432	0.999933768943056	-0.121054894261025
chr1	21218671	21218816	146	+	utr5	Tmem14a	0.898767764123708	1	0.900338393735301	1	0.965114114659842	0.998013368711907	0.627766155436147	0.362347959712723	0.153368857052604	0.999933768943056	0.265418195723424
chr1	21229540	21229637	98	+	utr3	Tmem14a	0.491703295204189	1	0.482021056014477	1	0.608804066154667	0.998013368711907	0.460551357291963	0.362347959712723	0.153368857052604	0.999933768943056	0.0982033975792398
chr1	23845139	23845387	249	+	utr3	B3gat2	0.81249073043541	1	0.766475996593047	1	0.8033140852614	0.998013368711907	-0.127602275606099	-0.187101506890124	0.699369466362116	0.999933768943056	0.0594992312840247
chr1	23848315	23848414	100	+	utr3	B3gat2	0.540368396115361	1	0.614690413363985	1	0.763766278832576	0.998013368711907	0.15344708770707	-0.187101506890124	0.699369466362116	0.999933768943056	0.340548594597194
chr1	24231451	24237210	5760	+	exon	Col9a1	NA	NA	0.880099921124087	1	0.767033087779274	0.998013368711907	-2.54207366842653	-2.85843797716699	NA	NA	0.316364308740455
