seqnames	start	end	width	strand	annot	main.gene	deseq2.p	deseq2.padj	edger.p	edger.padj	qnb.p	qnb.padj	metdiff.p	metdiff.padj	peak.l2fc	gene.l2fc	gene.p	gene.padj	diff.l2fc
chr1	6240164	6240314	151	+	exon	Rb1cc1	0.0767301860998388	NA	0.0438534373527633	1	0.055448012780286	0.926389209006374	0.0346621186309454	0.129416220914445	-0.970154399539108	0.736784155434088	0.532394553207128	0.846296210409289	-1.7069385549732
chr1	6248355	6248505	151	+	exon	Rb1cc1	0.874742498509573	NA	0.936883979962216	1	0.871150149498762	0.994669971013695	0.324389113157219	0.489876363289717	0.349799317379316	0.736784155434088	0.532394553207128	0.846296210409289	-0.386984838054772
chr1	6249604	6249754	151	+	exon	Rb1cc1	0.729417256049804	NA	0.602209035163248	1	0.867596990096875	0.994669971013695	0.348966044839075	0.515772680960929	-0.810648710904038	0.736784155434088	0.532394553207128	0.846296210409289	-1.54743286633813
chr1	7120294	7120493	200	+	utr5	Pcmtd1	0.365399304572581	NA	0.454493092532467	1	0.584448878024072	0.994669971013695	0.736358362387809	0.846202716721936	0.0690922239049882	-0.436098979255835	0.236228573176458	0.622871136712306	0.505191203160823
chr1	7169606	7169855	250	+	utr3	Pcmtd1	0.35809757863516	NA	0.265019205036651	1	0.521350767352422	0.994669971013695	0.128766640980021	0.267649045238693	-0.395798976590454	-0.436098979255835	0.236228573176458	0.622871136712306	0.0403000026653803
chr1	9545458	9546656	1199	+	utr3	Rrs1	0.0768518711801002	0.541292902038002	0.18546831645224	1	0.0135990975359983	0.686199827016707	0.327378124702138	0.492483821530898	0.833376969551191	0.166796668215327	0.443225357881955	0.795632004301693	0.666580301335864
chr1	9546756	9546906	151	+	utr3	Rrs1	0.715064345129224	NA	0.490700633926203	1	0.599578456213787	0.994669971013695	0.0288002920152209	0.118845781537798	-0.026256958324062	0.166796668215327	0.443225357881955	0.795632004301693	-0.193053626539389
chr1	9747697	9748042	346	+	exon	1700034P13Rik	0.731501510369621	NA	0.574304393612997	1	0.499185090354864	0.994669971013695	0.0260571260122257	0.113949891560814	0.136123635308384	0.111042504142665	0.972423701589019	NA	0.0250811311657191
chr1	9748238	9748386	149	+	exon	1700034P13Rik	0.948130799170652	NA	0.931018122669414	1	0.843984715338893	0.994669971013695	0.118750743387352	0.254812617036782	0.00113740992460689	0.111042504142665	0.972423701589019	NA	-0.109905094218058
chr1	10066558	10066857	300	+	exon	Cspp1	0.403904616316233	NA	0.608691016674545	1	0.710517866702044	0.994669971013695	0.347651088975559	0.514135274973423	0.0154049871272592	-0.266416735631819	0.273916374857494	0.661906842768102	0.281821722759078
chr1	10805529	10805728	200	+	exon	Gm5522	0.948068678052009	NA	0.824344686085608	1	0.865880297147223	0.994669971013695	1	1	1.24755827722578	2.00347659508577	0.390349872277782	NA	-0.755918317859989
chr1	12692327	12692677	351	+	utr5	Sulf1	0.358364273432395	NA	0.543472367055097	1	0.293626615417238	0.994669971013695	0.476431250749453	0.639192748086806	2.7636270063509	1.32397438004386	6.60888323397417e-10	6.35694728250455e-08	1.43965262630704
chr1	12848423	12850922	2500	+	utr3	Sulf1	0.0392610669990055	NA	0.0853616158273345	1	0.12657292523133	0.994669971013695	0.524924617662852	0.681817346356699	1.81398869618586	1.32397438004386	6.60888323397417e-10	6.35694728250455e-08	0.490014316142005
chr1	12858843	12859343	501	+	utr3	Sulf1	0.787459221340145	0.976718292014204	0.509198814300568	1	0.484135164573867	0.994669971013695	0.00692625969534222	0.0720876110577685	1.18616712198218	1.32397438004386	6.60888323397417e-10	6.35694728250455e-08	-0.137807258061682
chr1	12859593	12859893	301	+	utr3	Sulf1	0.715777061446849	NA	0.506081035714476	1	0.711410797661623	0.994669971013695	0.0860678118037724	0.210831143832996	0.953655361489729	1.32397438004386	6.60888323397417e-10	6.35694728250455e-08	-0.370319018554129
chr1	14755665	14755863	199	+	exon	Gm9947	0.0679453699113563	NA	0.0286403730593087	1	0.167729612927693	0.994669971013695	0.0171423552680561	0.0964033296765502	-0.527087251226569	2.56165052553546	0.282681872088925	NA	-3.08873777676203
