seqnames	start	end	width	strand	annot	main.gene	deseq2.p	deseq2.padj	edger.p	edger.padj	qnb.p	qnb.padj	metdiff.p	metdiff.padj	peak.l2fc	gene.l2fc	gene.p	gene.padj	diff.l2fc
chr1	853895	853994	100	+	exon	LINC01128	0.819399712628125	0.999483279673842	0.79091864367811	1	0.863790651734064	0.992401155509099	0.953170735980705	1	-0.180655609288159	-0.0124290311870954	0.96438583745163	0.982691694590488	-0.168226578101064
chr1	959721	959949	229	+	utr5*	KLHL17	0.724122582490614	0.999483279673842	0.687244982674794	1	0.698687088474716	0.974506354396511	0.788863862689685	0.97553458095209	0.451744229775811	-0.0165742189598404	0.888846426418279	0.941976763806078	0.468318448735651
chr1	960111	960552	442	+	utr5*	KLHL17	0.564830518657371	0.999483279673842	0.423871413649341	1	0.422896502915028	0.905939545989954	0.573932496137349	0.893871476539419	0.296706650397193	-0.0165742189598404	0.888846426418279	0.941976763806078	0.313280869357033
chr1	960578	960733	156	+	utr5	KLHL17	0.385706519098669	0.999483279673842	0.305053795926728	1	0.327071015229629	0.863557357094274	0.245453626937559	0.739637101847842	0.33745332032142	-0.0165742189598404	0.888846426418279	0.941976763806078	0.354027539281261
chr1	960911	961186	276	+	intron	KLHL17	0.0093891541632968	0.999483279673842	0.00202913427892102	1	0.00130797740127744	0.0672266069767396	0.0127756767253536	0.631928533201964	0.761999508157673	-0.0165742189598404	0.888846426418279	0.941976763806078	0.778573727117513
chr1	974902	975197	296	+	utr3	PLEKHN1	0.566632284418753	0.999483279673842	0.428141029650811	1	0.457441358636793	0.919689587701872	0.572688075222938	0.893627209584986	0.28179884745588	-0.0594454844382257	0.805660861293034	0.896321512176668	0.341244331894106
chr1	1000508	1000654	147	+	utr5*	ISG15	0.857575800163719	0.999483279673842	0.770230232064659	1	0.835323585845797	0.992401155509099	0.382740644342654	0.812828899627321	-0.894905287887457	-0.997890081896696	1.57586233137648e-18	6.20364471118543e-17	0.102984794009239
chr1	1000735	1000844	110	+	utr5*	ISG15	0.775231868150736	0.999483279673842	0.730992913610702	1	0.752212342878194	0.983222553075933	0.867693596520123	0.998975596800209	-0.855539594098051	-0.997890081896696	1.57586233137648e-18	6.20364471118543e-17	0.142350487798644
chr1	1020174	1020410	237	+	utr5	AGRN	0.724918724860575	0.999483279673842	0.770092017880851	1	0.761691840209557	0.983222553075933	0.35726898299076	0.801308031856729	-0.43341528240998	-0.523207472106786	1.03914050479363e-16	3.55321251004377e-15	0.0897921896968067
chr1	1048132	1048232	101	+	exon	AGRN	0.718626582630264	0.999483279673842	0.773873335051091	1	0.691617395106325	0.973166968527838	0.741607124327966	0.958403966835292	-0.349820440564298	-0.523207472106786	1.03914050479363e-16	3.55321251004377e-15	0.173387031542489
