seqnames	start	end	width	strand	annot	main.gene	deseq2.p	deseq2.padj	edger.p	edger.padj	qnb.p	qnb.padj	peak.l2fc	gene.l2fc	gene.p	gene.padj	diff.l2fc
chr1	917583	917696	113	-	exon	RP11-54O7.3	0.848102078854916	1	0.788656920787592	1	0.88451788977662	0.998397222027879	-3.44670810958797	-3.1179006147393	9.20294229968617e-10	1.99530207482441e-08	-0.328807494848671
chr1	917864	918017	153	-	exon	RP11-54O7.3	0.448114716075428	1	0.365522304685151	1	0.399382223525963	0.998397222027879	-3.13514715906359	-3.1179006147393	9.20294229968617e-10	1.99530207482441e-08	-0.0172465443242928
chr1	919365	921031	1666	-	exon	RP11-54O7.3	0.883332941446803	1	0.946804336776275	1	0.947701532448815	0.998397222027879	-2.93943612098592	-3.1179006147393	9.20294229968617e-10	1.99530207482441e-08	0.17846449375338
chr1	921202	921391	189	+	intergenic	NA	0.546943766814339	1	0.478069023156938	1	0.557945053865544	0.998397222027879	-3.84304457060333	NA	NA	NA	NA
chr1	942835	943294	459	+	utr3	SAMD11	0.375885971017404	1	0.409427468671276	1	0.28886146828096	0.998397222027879	-2.80626096384509	-3.51457408932551	3.63522026289016e-06	4.06939269760067e-05	0.70831312548042
chr1	944369	944492	123	+	utr3	SAMD11	0.061649733543455	1	0.0342208122500277	1	0.164970827024253	0.998397222027879	-2.25890029665511	-3.51457408932551	3.63522026289016e-06	4.06939269760067e-05	1.2556737926704
chr1	960613	960727	114	+	utr5	KLHL17	0.818744558453056	1	0.750318745280431	1	0.643311182599978	0.998397222027879	0.44849672485419	-0.16355425872368	0.607517587915655	0.779867575572674	0.612050983577869
chr1	965763	965968	205	+	utr3*	KLHL17	0.251328056106353	1	0.192907284521783	1	0.273685331700267	0.998397222027879	1.53169985260855	-0.16355425872368	0.607517587915655	0.779867575572674	1.69525411133223
chr1	975286	975388	102	-	utr3	PERM1	0.97552486243731	1	0.842664583375737	1	0.982833312750036	0.998397222027879	-0.0543653181980504	0.644711327494969	0.106080536961023	0.253003621880265	-0.699076645693019
chr1	1000441	1000637	196	+	utr5*	ISG15	0.900470439238274	1	0.957078443893345	1	0.959278790134308	0.998397222027879	1.16771613544348	2.65393659899426	1.24172627060126e-45	4.13584828274755e-43	-1.48622046355078
chr1	1013973	1014240	267	+	utr5	ISG15	0.474925544668603	1	0.697049950850467	1	0.860131399167557	0.998397222027879	2.83287933642325	2.65393659899426	1.24172627060126e-45	4.13584828274755e-43	0.178942737428992
chr1	1020169	1020272	103	+	utr5	AGRN	0.561853999612386	1	0.590866577460749	1	0.764285932972018	0.998397222027879	1.27411554834366	0.440350428453266	0.16487004752592	0.347991692882009	0.83376511989039
chr1	1048831	1048931	100	+	exon	AGRN	0.569925511302541	1	0.611492852357098	1	0.818831773135338	0.998397222027879	0.96648604411424	0.440350428453266	0.16487004752592	0.347991692882009	0.526135615660973
chr1	1054998	1055817	819	+	utr3	AGRN	0.891736058341894	1	0.993770124371078	1	0.908699694498518	0.998397222027879	0.52278104121075	0.440350428453266	0.16487004752592	0.347991692882009	0.0824306127574839
chr1	1063233	1063358	125	-	exon	RP11-54O7.18	0.935207135699439	1	0.825671853222735	1	0.975926897280267	0.998397222027879	0.107380359312567	0.451531410373341	0.364072229909211	0.583267681902799	-0.344151051060775
chr1	1065764	1066251	487	+	exon	RP11-465B22.3	0.880846742108343	1	0.975854535336806	1	0.845387913691705	0.998397222027879	0.0207685047712819	0.104066022680303	0.736564090761592	0.866310948509872	-0.0832975179090207
