seqnames	start	end	width	strand	annot	main.gene	deseq2.p	deseq2.padj	edger.p	edger.padj	qnb.p	qnb.padj	peak.l2fc	gene.l2fc	gene.p	gene.padj	diff.l2fc
chr1	629839	629938	100	+	exon	MTND2P28	0.564888738617403	0.944160719247474	0.575806827422825	1	6.852750935179e-44	2.99465215867322e-41	1.16589481803817	1.75084901929618	0.0168095687872517	0.0925722306951234	-0.58495420125801
chr1	630435	630584	150	+	exon	MTND2P28	0.58826959550441	0.948440309782109	0.524653966104658	1	0.867655086749868	0.916785237271861	1.84259614814277	1.75084901929618	0.0168095687872517	0.0925722306951234	0.0917471288465843
chr1	633987	634085	99	+	exon	MTATP6P1	0.725500703471877	0.969497282228151	0.736693808171828	1	6.05084270900879e-11	1.08155613048333e-09	1.19390333944177	1.47850987101984	0.0013475758817525	0.0142348152074948	-0.284606531578067
chr1	965565	965665	101	+	utr3	KLHL17	0.62659762323341	0.956961664091329	0.575626400406288	1	0.000894763209988702	0.00317450564394928	0.253620555605111	0.306232169143801	0.41683140464065	0.683862140689951	-0.05261161353869
chr1	1055172	1055271	100	+	utr3	AGRN	0.260975267078579	0.840455080705635	0.241783298752581	1	6.86524096741319e-08	7.11391649877575e-07	1.2038933064641	0.0614977153514076	0.723354306245025	0.886007561986785	1.1423955911127
chr1	1065865	1066309	445	+	exon	RP11-465B22.3	0.16719188236374	0.749495127412689	0.127333865853718	1	0.0687530762280208	0.125404106942675	0.227066119912013	0.621763220715474	0.642615033226977	0.840726538817232	-0.394697100803461
chr1	1232810	1233256	447	+	exon	B3GALT6	0.692292740778383	0.966410828774652	0.705090875430008	1	3.19964288830904e-15	1.10187701966142e-13	-0.48354179645348	-0.847040454070076	0.008751431548358	0.0586228860760976	0.363498657616596
chr1	1233901	1234149	249	+	utr3	B3GALT6	0.0128477856541289	0.271819678789274	0.0289156425920822	1	5.1635730892489e-09	6.63671011765226e-08	-0.995773092952532	-0.847040454070076	0.008751431548358	0.0586228860760976	-0.148732638882456
chr1	1234694	1234991	298	+	utr3	B3GALT6	0.207744668978929	0.794798084332182	0.220460851389708	1	3.62753865352006e-06	2.51486856433587e-05	-0.77447404637949	-0.847040454070076	0.008751431548358	0.0586228860760976	0.0725664076905865
chr1	1400660	1401452	793	+	exon	RP4-758J18.2	0.843934089413885	0.985187029115894	0.875522877871224	1	8.11916913569715e-13	1.90192662581682e-11	-0.471835286384211	-0.419717646239029	0.36745289874252	0.643193663629486	-0.0521176401451826
chr1	1401848	1401997	150	+	exon	RP4-758J18.2	0.777751263043632	0.977509751218977	0.740377948954336	1	0.324093452264703	0.438901081486491	-0.313872725926705	-0.419717646239029	0.36745289874252	0.643193663629486	0.105844920312324
chr1	1520150	1520249	100	+	exon	ATAD3A	0.0770583697360089	0.583718302250114	0.0227079539341693	1	0.0761629835269187	0.13642593501578	-0.0301806955572178	-0.427759163054957	0.281133460781484	0.556320810015933	0.397578467497739
