seqnames	start	end	width	strand	annot	main.gene	deseq2.p	deseq2.padj	edger.p	edger.padj	qnb.p	qnb.padj	metdiff.p	metdiff.padj	peak.l2fc	gene.l2fc	gene.p	gene.padj	diff.l2fc
chr1	853894	853994	100	+	exon	LINC01128	0.819399712632552	0.999483279673842	0.79091864367797	1	0.863790651734162	0.99240115550909	0.953079611638166	1	-0.180655609288159	-0.0124290311862271	0.964385837491352	0.982691694630964	-0.168226578101932
chr1	959720	959949	229	+	utr5*	KLHL17	0.724122582496334	0.999483279673842	0.68724498267462	1	0.698687088474195	0.974506354396745	0.788863862689685	0.975459098548735	0.45174422977581	-0.0165742189619429	0.888846426186157	0.941976763981029	0.468318448737753
chr1	960110	960552	442	+	utr5*	KLHL17	0.564830518661213	0.999483279673842	0.423871413649646	1	0.422896502920118	0.905939546000859	0.573932496137349	0.894132893426689	0.296706650397193	-0.0165742189619429	0.888846426186157	0.941976763981029	0.313280869359136
chr1	960577	960733	156	+	utr5	KLHL17	0.385706519105083	0.999483279673842	0.305053795926679	1	0.327071015228117	0.863557357098035	0.245453626937559	0.739634809389445	0.337453320321421	-0.0165742189619429	0.888846426186157	0.941976763981029	0.354027539283364
chr1	960910	961186	276	+	intron	KLHL17	0.00938915416403002	0.999483279673842	0.00202913427891417	1	0.00130797740126888	0.0672266069771964	0.012775256389969	0.629934670652507	0.761999508157672	-0.0165742189619429	0.888846426186157	0.941976763981029	0.778573727119615
chr1	974901	975197	296	+	utr3	PLEKHN1	0.566632284426431	0.999483279673842	0.428141029650558	1	0.457441358644572	0.919689587701795	0.572685617517728	0.893840057803149	0.281798847455878	-0.0594454844397599	0.805660861442067	0.896321512425807	0.341244331895638
chr1	1000507	1000654	147	+	utr5*	ISG15	0.857575800167045	0.999483279673842	0.770230232064492	1	0.835323585846322	0.99240115550909	0.382740644342654	0.812455873771355	-0.894905287887453	-0.997890081897443	1.57586212042559e-18	6.20364388074207e-17	0.102984794009989
chr1	1000734	1000844	110	+	utr5*	ISG15	0.775231868156254	0.999483279673842	0.730992913610646	1	0.752212342878339	0.983222553075434	0.867693596520123	0.999827736598592	-0.855539594098052	-0.997890081897443	1.57586212042559e-18	6.20364388074207e-17	0.14235048779939
chr1	1020173	1020410	237	+	utr5	AGRN	0.724918724856441	0.999483279673842	0.770092017880932	1	0.761691840208906	0.983222553075434	0.35726898299076	0.800858994013156	-0.433415282409984	-0.523207472108464	1.03913982458935e-16	3.55321018416932e-15	0.0897921896984802
chr1	1048131	1048232	101	+	exon	AGRN	0.718626582621402	0.999483279673842	0.773873335050636	1	0.691617395106494	0.97316696852807	0.741607124327966	0.958791639340281	-0.349820440564293	-0.523207472108464	1.03913982458935e-16	3.55321018416932e-15	0.173387031544171
