seqnames	start	end	width	strand	annot	main.gene	deseq2.p	deseq2.padj	edger.p	edger.padj	qnb.p	qnb.padj	metdiff.p	metdiff.padj	peak.l2fc	gene.l2fc	gene.p	gene.padj	diff.l2fc
chr1	4776336	4776595	259	-	utr3	Mrpl15	0.0379001014274655	0.267972419055625	0.00189044154588077	1	0.0108114117330447	0.0793150812862635	0.126961188326032	0.474153654529137	-0.347746831267937	0.351801554023967	2.19771959442604e-07	7.9199087653485e-06	-0.699548385291905
chr1	4781388	4782055	667	-	utr3	Mrpl15	0.662196999570369	0.900744284192187	0.359461181167805	1	0.172232289731505	0.440474125364639	0.38343473881504	0.639343897319907	0.383202474673197	0.351801554023967	2.19771959442604e-07	7.9199087653485e-06	0.0314009206492292
chr1	6240114	6240368	254	+	exon	Rb1cc1	0.982750343532954	NA	0.738346245611415	1	0.947340816380301	0.987964111191587	0.167340167961772	0.499621120915248	-0.395745072005499	-0.246711080401369	0.0216554762748616	0.109504070700503	-0.14903399160413
chr1	6248467	6248609	142	+	exon	Rb1cc1	0.807942705921425	NA	0.447042113815851	1	0.552488744114485	0.801284126118919	0.231762748673622	0.542428192009885	-0.282605879782537	-0.246711080401369	0.0216554762748616	0.109504070700503	-0.0358947993811677
chr1	6248770	6249075	305	+	exon	Rb1cc1	0.339542442425738	0.72813912286839	0.583339305365611	1	0.578887908827234	0.818616428610405	0.915568305311994	0.951873701469174	0.12359737640679	-0.246711080401369	0.0216554762748616	0.109504070700503	0.370308456808159
chr1	6249167	6249292	125	+	exon	Rb1cc1	0.0823803026600978	NA	0.0539630267623004	1	0.0417970785482442	0.188820369523306	0.44114827179151	0.676023893458196	1.14766091594748	-0.246711080401369	0.0216554762748616	0.109504070700503	1.39437199634885
chr1	6249525	6250192	667	+	exon	Rb1cc1	0.881076652240222	0.973896239236959	0.358363908104608	1	0.118005938296911	0.357631445827838	0.537502493029419	0.730392580507776	-0.294002277662254	-0.246711080401369	0.0216554762748616	0.109504070700503	-0.0472911972608846
chr1	6251334	6251534	200	+	intron	Rb1cc1	0.467753353351347	NA	0.230626296658406	1	0.214386019557047	0.497423347244947	0.0870060735653782	0.445425440706055	-0.469937426372992	-0.246711080401369	0.0216554762748616	0.109504070700503	-0.223226345971623
chr1	7120302	7120613	311	+	utr5	Pcmtd1	0.681095367184595	NA	0.969047241620376	1	0.904656095756352	0.980512367045131	0.441642153618599	0.676340682631923	0.0570640033903333	-0.0988771469411241	0.297928899470693	0.579714310260048	0.155941150331457
chr1	7169576	7170019	443	+	utr3	Pcmtd1	0.10827846970759	0.460566382915232	0.0512700193416081	1	3.66197969365004e-06	0.000240029206031006	0.180251569656021	0.507759992676074	-1.03724716551804	-0.0988771469411241	0.297928899470693	0.579714310260048	-0.938370018576915
chr1	9546039	9546173	134	+	exon	Rrs1	0.0291167149872025	NA	0.00636532384073075	1	0.00772731063539045	0.0633359950731489	0.0172731528315984	0.419833334662716	-1.18126318461074	0.137941166706646	0.214126929692664	0.481406684072824	-1.31920435131738
chr1	9546384	9546917	533	+	utr3	Rrs1	0.44255329008719	0.799648206840208	0.961309210254957	1	0.987488784708407	0.990015648691769	0.640866121950713	0.793544040106541	0.365505167331076	0.137941166706646	0.214126929692664	0.481406684072824	0.22756400062443
chr1	9724477	9724845	368	-	utr3	Vcpip1	0.697935592889089	0.91347769463463	0.835373373942214	1	0.670919665651418	0.872818214306053	0.466955331827933	0.688336310782499	-0.509163910526477	-0.11244948483187	0.23126870949117	0.503406277844409	-0.396714425694606
chr1	9724975	9725104	129	-	exon	Vcpip1	0.251698861008564	NA	0.370942099000948	1	0.146049602405342	0.4018522116512	0.762127420934368	0.861493016015072	1.04705389289728	-0.11244948483187	0.23126870949117	0.503406277844409	1.15950337772915
chr1	9745830	9746209	379	-	exon	Vcpip1	0.442607244573486	0.799648206840208	0.120939576912418	1	0.0371507510109508	0.175739666312131	0.0656157496280322	0.437518305789548	-0.164743415819625	-0.11244948483187	0.23126870949117	0.503406277844409	-0.0522939309877542
chr1	9746396	9746851	455	-	exon	Vcpip1	0.0577009592715727	0.339579576735718	0.0955776178410963	1	0.0190694957655138	0.115423091392122	0.153072285471983	0.491525989875702	0.395103321266737	-0.11244948483187	0.23126870949117	0.503406277844409	0.507552806098608
chr1	9746895	9747021	126	-	exon	Vcpip1	0.188972232256233	NA	0.249462897069536	1	0.227460863719406	0.512245765279963	0.530132480274764	0.726250367370954	0.262432159132403	-0.11244948483187	0.23126870949117	0.503406277844409	0.374881643964273
chr1	9747608	9747787	179	+	exon	1700034P13Rik	0.125902333961797	NA	0.0210771255216048	1	0.0143445918304261	0.0956621437282963	0.0124195610250838	0.419833334662716	-0.842554524385316	-1.31396556670728	0.400120399968738	NA	0.471411042321961
chr1	9898864	9898972	108	+	utr3	Sgk3	0.553523502060106	NA	0.222210812453304	1	0.309168147409582	0.605087452450216	0.16964791570986	0.500896417815055	-0.257361690131328	0.275659254874789	0.047593793038448	0.187925997490351	-0.533020945006117
chr1	9963288	9963392	104	-	utr3	Tcf24	0.914864601347901	NA	0.722526923879986	1	0.949331474475681	0.987964111191587	0.35350562433948	0.622062963735328	-0.422999883472829	0.480979017158505	0.0145472258853747	0.0821551061748648	-0.903978900631335
chr1	10037605	10037718	113	-	utr3	Cops5	0.0169274874614069	0.173717320793879	0.000434479449046966	1	0.000214275732618563	0.00540769308808131	0.134864472437329	0.479312380764356	-0.481272209653096	0.21787832564954	0.00395897607324319	0.0314370320978811	-0.699150535302636
chr1	10066477	10066602	125	+	exon	Cspp1	0.899392458321141	NA	0.823717179934267	1	0.769159655950928	0.919758640214154	0.654430530207462	0.802270971224975	-0.175306676072969	-0.0140611155692908	0.886374370389643	0.954999399671421	-0.161245560503678
chr1	10066705	10066861	156	+	exon	Cspp1	0.203861588474248	NA	0.245776191199303	1	0.17489955214037	0.445044546945249	0.916442814952487	0.952153619585918	0.190385832977803	-0.0140611155692908	0.886374370389643	0.954999399671421	0.204446948547093
chr1	12858923	12859110	187	+	utr3	Sulf1	0.629591261943329	NA	0.848416126150705	1	0.919129862564876	0.984738581412818	0.903644574377268	0.944400965825154	1.50612606879901	1.35711263915171	1.59083057302227e-20	4.72338347094309e-18	0.149013429647304
chr1	12859187	12859365	178	+	utr3	Sulf1	0.974039313377412	NA	0.728840528013984	1	0.655605983015001	0.865299665099877	0.462382133113653	0.685918508028405	1.22036854461798	1.35711263915171	1.59083057302227e-20	4.72338347094309e-18	-0.136744094533729
chr1	12859742	12859906	164	+	utr3	Sulf1	0.550453179427109	NA	0.206318847443611	1	0.214619688153612	0.497639296573672	0.33174991196128	0.608329912388008	0.575310267829369	1.35711263915171	1.59083057302227e-20	4.72338347094309e-18	-0.781802371322338
chr1	13114162	13114272	110	-	utr3	Prdm14	0.10067149512607	NA	0.121630880975727	1	0.0894063888361292	0.300169706697159	0.753442398228364	0.85666860537401	0.518877969459247	-0.384313386210101	0.00287995305731956	0.0245973699475445	0.903191355669348
chr1	13174059	13174769	710	-	exon	Ncoa2	0.713625007793035	0.919152466021649	0.394169831153338	1	0.25587135467661	0.54549414839805	0.422679404221213	0.66374168200576	-0.178455960615473	-0.0757656749980101	0.492681364475153	0.748105342542214	-0.102690285617463
chr1	14753677	14753800	123	-	utr3	Msc	0.973296980169329	NA	0.829138601837958	1	0.832706212908462	0.947629174693193	0.374992049166208	0.633382170153872	-0.00199819447563483	0.336806398092967	0.222756674419236	0.492140190750231	-0.338804592568602
chr1	14753967	14754281	314	-	utr3	Msc	0.928461015240628	0.98519269670953	0.789253069044995	1	0.956054781064175	0.987964111191587	0.395738651301936	0.646824020736296	0.331649405093565	0.336806398092967	0.222756674419236	0.492140190750231	-0.00515699299940231
chr1	15843007	15843263	256	+	utr3	Terf1	0.877417036400114	0.973789423918575	0.289366466784242	1	0.332315636421851	0.62585300835185	0.393693860821217	0.64612648448499	-0.182232820953841	-0.0561503040319696	0.51043120222739	0.760330391539066	-0.126082516921872
chr1	16344617	16344797	180	-	utr3	Stau2	0.104555406113055	NA	0.0181031639343482	1	0.00250268529983257	0.0292834863429996	0.0120682674349644	0.419833334662716	-0.415681123772874	0.49732467080548	0.00208684007177377	0.0191674927372469	-0.913005794578354
chr1	16677287	16677473	186	+	utr3	Tmem70	0.178811270261952	0.57450101445011	0.0322321242893301	1	0.0245497055502285	0.13577137936724	0.263861227783146	0.5640566605698	-0.0533378358401897	0.429845250223447	0.000195707419010936	0.00291125111658272	-0.483183086063636
chr1	16996810	16997065	255	-	utr3	Jph1	0.9653497164168	0.993661071921908	0.648573740803302	1	0.658023700761459	0.866982391827429	0.180899222319139	0.508295879116545	0.596313894965823	0.697371438076075	7.03134492515677e-06	0.00017118379498715	-0.101057543110252
chr1	17091283	17091427	144	-	exon	Jph1	0.964341509217539	NA	0.730569098109573	1	0.631615708673253	0.850201103194135	0.730938927052983	0.843890836599212	0.411934016684865	0.697371438076075	7.03134492515677e-06	0.00017118379498715	-0.28543742139121
chr1	20439558	20439658	100	-	intron	Pkhd1	0.537284754037912	0.855754182660023	0.779507742518473	1	0.179637910977754	0.451102082941298	0.602858031395003	0.77113574840923	0.666788284293706	0.0104680197567501	0.992339244615251	NA	0.656320264536956
chr1	20803204	20803439	235	-	utr3	Mcm3	0.00257091672490615	0.0575391167047992	3.00474247231877e-05	0.420964420371859	4.66649828182597e-05	0.00175751744216676	0.111105473785168	0.465149464902756	-0.815237456816838	0.0308526539438062	0.610481901645425	0.823583742855908	-0.846090110760644
chr1	20805733	20805845	112	-	exon	Mcm3	0.0331258079417157	0.250351235262417	0.0884550094574681	1	0.163436777767357	0.427356275157986	0.809881515420207	0.888240955559632	0.576709398178319	0.0308526539438062	0.610481901645425	0.823583742855908	0.545856744234513
chr1	20935658	20935804	146	+	utr3	Paqr8	0.191353763785785	NA	0.0379953708880096	1	0.035754775425498	0.172065299277431	0.080679382196047	0.443721348419479	-1.96022738749671	-0.653496887063879	0.0117529154820943	0.0709016429569096	-1.30673050043283
chr1	21000712	21000906	194	-	utr3	Tram2	0.3965883228218	NA	0.446301653171211	1	0.402306876855764	0.686020449295639	0.632498488287144	0.78828464763815	0.106291714204231	-0.234307376180357	0.18243165329925	0.439289760359866	0.340599090384588
chr1	23369492	23370287	795	-	utr3	Ogfrl1	0.080361112953586	0.396462827626352	0.207253119539195	1	0.139024623107994	0.391080988270013	0.917232535338309	0.952701518731424	0.724117959600448	0.238373842528486	0.0894696491817264	0.283668019694607	0.485744117071962
chr1	23848294	23848468	174	+	utr3	B3gat2	0.00562004579742677	0.0903979402774812	2.80272152037118e-05	0.392717339434409	7.22976654203773e-05	0.0024371198738612	0.00815367629545449	0.419833334662716	-0.747598631424713	0.439655357540694	0.443633194852087	0.711330514149303	-1.18725398896541
chr1	24028342	24028514	172	-	utr3	Fam135a	0.443160527050701	NA	0.556006612636689	1	0.505761748851297	0.769457272185127	0.33233049386361	0.608505801581851	0.347868131007169	0.406385934186395	0.000697664596023423	0.00814419064315206	-0.0585178031792259
chr1	24028960	24029179	219	-	utr3	Fam135a	0.115082094396606	0.475009632427141	0.214700390443297	1	0.00659034614529445	0.0573133419687217	0.917559557022304	0.952894315874847	1.50312173797525	0.406385934186395	0.000697664596023423	0.00814419064315206	1.09673580378885
chr1	24029626	24029732	106	-	utr3	Fam135a	0.985209704065326	NA	0.804207203297323	1	0.642676491701363	0.856692872175822	0.548314220372544	0.736810244118686	0.934752232370828	0.406385934186395	0.000697664596023423	0.00814419064315206	0.528366298184433
chr1	30802450	30802550	100	-	utr3	Phf3	0.49825116462644	NA	0.341855412194266	1	0.220149325052258	0.503615146888006	0.58817076167299	0.763204256600329	-0.0531656349995357	-0.0382574272629598	0.569799957933027	0.79788527235915	-0.0149082077365759
chr1	30803643	30804280	637	-	utr3	Phf3	0.59425771741148	0.872532233867684	0.743639857722763	1	0.656782166769791	0.866206047240494	0.611810390753928	0.776133307634804	0.205225866653	-0.0382574272629598	0.569799957933027	0.79788527235915	0.24348329391596
chr1	30804348	30804539	191	-	utr3	Phf3	0.0526976837536305	0.323701170283674	0.0976760666279382	1	0.0716395593183475	0.26399606476553	0.620959113166107	0.781505943355532	1.11279442146699	-0.0382574272629598	0.569799957933027	0.79788527235915	1.15105184872995
chr1	30804907	30805447	540	-	utr3	Phf3	0.281769482617585	0.68510239408744	0.730485405592682	1	0.665468927816144	0.86938728958241	0.727552547834547	0.841954502156841	0.415253624440675	-0.0382574272629598	0.569799957933027	0.79788527235915	0.453511051703635
chr1	30805655	30805801	146	-	utr3	Phf3	0.271328321397957	0.679029161658554	0.459178029683442	1	0.21592544306283	0.499521637726069	0.274076315670847	0.570139946704062	0.675897594249912	-0.0382574272629598	0.569799957933027	0.79788527235915	0.714155021512872
chr1	30829403	30830251	848	-	exon	Phf3	0.822624819714819	0.95956787361812	0.581414672521635	1	0.594052652274225	0.827940578816603	0.410483181761885	0.655130872516554	-0.213845971600963	-0.0382574272629598	0.569799957933027	0.79788527235915	-0.175588544338003
chr1	30830417	30830577	160	-	exon	Phf3	0.671173197344692	0.903802814368678	0.271072914780659	1	0.107189785163365	0.336495117149207	0.547925767831213	0.736637833154906	-0.435503194248508	-0.0382574272629598	0.569799957933027	0.79788527235915	-0.397245766985549
chr1	30830724	30830905	181	-	exon	Phf3	0.193632656760731	0.593810221031872	0.344301362808241	1	0.397123250733776	0.682500597521026	0.957389013697499	0.978891720656401	-0.0160983573095563	-0.0382574272629598	0.569799957933027	0.79788527235915	0.0221590699534035
chr1	30830993	30831208	215	-	exon	Phf3	0.665905210229965	0.902697670834411	0.891210932114403	1	0.8356398815548	0.948756170252836	0.634912386305378	0.78997183981998	-0.0991017288957423	-0.0382574272629598	0.569799957933027	0.79788527235915	-0.0608443016327825
chr1	33739339	33739462	123	+	utr3	Rab23	0.630709416517766	NA	0.325648842288367	1	0.391462702769695	0.677708483445938	0.196444266350784	0.517422649339798	-0.21419770554858	-0.0179383386868877	0.874835099347135	0.95132218627809	-0.196259366861692
chr1	33739561	33739927	366	+	utr3	Rab23	0.183879035785001	0.581810631059897	0.341920389836711	1	0.194789241242136	0.473365272486469	0.222085614951883	0.536093065587702	0.226071150221164	-0.0179383386868877	0.874835099347135	0.95132218627809	0.244009488908052
chr1	33740006	33740117	111	+	utr3	Rab23	0.871110921317712	NA	0.517983541563768	1	0.529461688737016	0.785262789559886	0.476509528113817	0.69339229735482	-0.157274954756323	-0.0179383386868877	0.874835099347135	0.95132218627809	-0.139336616069435
chr1	33746296	33746402	106	-	utr3	Bag2	0.740348373177602	NA	0.428174394957658	1	0.389255306000933	0.675863647638954	0.296500651545527	0.584019466934423	-0.484658385354692	0.255178654087601	0.386256557944723	0.663166821924454	-0.739837039442293
chr1	33776583	33776968	385	-	utr3	Zfp451	0.210252449253097	0.617133129684781	0.450994484596422	1	0.270757246519887	0.562834239690706	0.272753442191197	0.568976460077054	0.5350219438692	-0.0149481099624862	0.855483866513466	0.942578142049122	0.549970053831686
chr1	33777119	33777315	196	-	utr3	Zfp451	0.631874837416972	0.888522578310548	0.951106260149294	1	0.809945499504057	0.937697195447421	0.65899210844629	0.805130682631308	0.276581013942273	-0.0149481099624862	0.855483866513466	0.942578142049122	0.291529123904759
chr1	33801451	33801630	179	-	utr3	Zfp451	0.46239391028577	NA	0.307261719380671	1	0.34850148614105	0.640697045042671	0.331846669825225	0.608349754161017	-0.913966300653813	-0.0149481099624862	0.855483866513466	0.942578142049122	-0.899018190691327
chr1	33801881	33802164	283	-	utr3	Zfp451	0.310460393168364	NA	0.398127187183718	1	0.288385045785324	0.582926370926261	0.410043196804711	0.655130872516554	0.898889551115568	-0.0149481099624862	0.855483866513466	0.942578142049122	0.913837661078054
chr1	33802345	33802540	195	-	exon	Zfp451	0.967289945996572	NA	0.760445704568884	1	0.602729559390522	0.833091746746702	0.734715441108022	0.84556179606628	-0.0945225373787781	-0.0149481099624862	0.855483866513466	0.942578142049122	-0.0795744274162919
chr1	34180325	34180447	122	+	exon	Dst	0.464247403981605	NA	0.473923366078699	1	0.54409474122669	0.795466062194081	0.956296952607286	0.978128323581415	-0.108608195042421	0.148419092756972	0.045010640333195	0.181450804507313	-0.257027287799393
chr1	34182080	34182217	137	+	exon	Dst	0.0344357475947963	NA	0.00272679811560509	1	0.00239990303127818	0.0286366289544616	0.0224429943055431	0.419833334662716	-3.24556355927874	0.148419092756972	0.045010640333195	0.181450804507313	-3.39398265203571
chr1	34227866	34228188	322	+	exon	Dst	0.492520095170969	0.831267603552297	0.809738246224275	1	0.727911875773812	0.901062794768421	0.718728453321786	0.836959815934352	0.367235831498545	0.148419092756972	0.045010640333195	0.181450804507313	0.218816738741572
chr1	34307477	34307662	185	+	utr3	Dst	0.485485617543293	0.82703914048119	0.176445241888553	1	0.142957625368407	0.397007008531165	0.0282209634335708	0.419833334662716	-0.158559450653038	0.148419092756972	0.045010640333195	0.181450804507313	-0.30697854341001
chr1	34444573	34444768	195	+	utr3	Imp4	0.784197334971164	0.945400173548622	0.362135776061711	1	0.363164343983242	0.654173744423811	0.0217728659542548	0.419833334662716	-0.175703227126809	0.154660515903734	0.0827060490428686	0.269401196715359	-0.330363743030544
chr1	34447902	34448092	190	+	utr3	Imp4	0.0960953526517952	NA	0.106486835727875	1	0.0440817259472169	0.194514259477094	0.694516435454327	0.824280981373016	0.914461201762335	0.154660515903734	0.0827060490428686	0.269401196715359	0.759800685858601
chr1	34816803	34816946	143	-	utr3	Fam168b	0.225191996159265	NA	0.0293483911344201	1	0.0221018822122496	0.126790295121973	0.0778237961407233	0.442130092995478	-0.965983219221251	-0.190982383516234	0.0326958307269287	0.144986901320907	-0.775000835705017
chr1	34816994	34817307	313	-	utr3	Fam168b	0.00130170502760807	0.037698250941711	3.6028061646902e-06	0.0507671416666496	3.69587057175621e-06	0.000240617152355618	0.0699067786149346	0.441789056105528	-1.39860528084667	-0.190982383516234	0.0326958307269287	0.144986901320907	-1.20762289733044
chr1	36094456	36094556	100	+	intron	Hs6st1	0.910943915413634	NA	0.892210540667423	1	0.939146962050666	0.987964111191587	0.30428142010352	0.589579470583502	-0.492868405182769	-0.135055223795737	0.13508594190218	0.368043844903248	-0.357813181387032
