seqnames	start	end	width	strand	annot	main.gene	deseq2.p	deseq2.padj	edger.p	edger.padj	qnb.p	qnb.padj	peak.l2fc	gene.l2fc	gene.p	gene.padj	diff.l2fc
chr1	88269	88425	156	+	intergenic	NA	0.907225995346391	0.983156570621369	0.773070727786586	1	0.720265710805012	0.86285795755445	0.123614003902429	NA	NA	NA	NA
chr1	1038744	1038933	189	+	intron	AGRN	0.922940773245295	0.986201806726929	0.775436627779329	1	0.83154241000186	0.926384682037093	0.198230716618068	-0.119326304715142	0.368684872577691	0.584622707423208	0.317557021333211
chr1	1046304	1046450	146	+	exon	AGRN	0.17400749125044	0.640301392391141	0.266130296177055	1	0.0489759801614567	0.163723561237495	-0.174421756510865	-0.119326304715142	0.368684872577691	0.584622707423208	-0.0550954517957225
chr1	1048003	1048185	182	+	exon	AGRN	0.322605935368355	0.78400382440249	0.448206297739245	1	0.319959240273991	0.560822078633637	-0.133374355560375	-0.119326304715142	0.368684872577691	0.584622707423208	-0.0140480508452325
chr1	1063213	1063350	137	-	exon	RP11-54O7.18	0.169399576675707	0.635991393133355	0.126973328827144	1	0.0293123194546343	0.117149745324634	0.25151690547389	-0.0105939329895946	0.926959624531095	0.965469786157309	0.262110838463485
chr1	1161103	1161268	165	+	intergenic	NA	0.980707815423788	0.992914882916374	0.871358685546162	1	0.877844140408861	0.944661748057948	-0.221416691562198	NA	NA	NA	NA
chr1	1314939	1315114	175	-	utr3	CPSF3L	0.452488487913265	0.858183715239579	0.284782869980026	1	0.26039116948883	0.495162170149944	0.300017060677038	0.0204497565637529	0.724808699605773	0.863084995938127	0.279567304113285
chr1	1789178	1789318	140	-	exon	GNB1	0.634257708284525	0.911584840440293	0.414653067082814	1	0.332294356944931	0.573475745050123	-0.0778938891460762	-0.29114923259318	1.14590630520852e-09	1.37903019615716e-08	0.213255343447104
chr1	2180252	2180618	366	+	intron	PRKCZ	0.281506042822331	0.750470243265874	0.364297931482879	1	0.0921265962784946	0.25756057914439	-0.475482224975856	-0.0131233445124495	0.919569417492217	0.962426403094776	-0.462358880463406
chr1	2189718	2189850	132	-	utr3	FAAP20	0.429368427127426	0.848256012249038	0.558615805409197	1	0.377648112464752	0.617143353065989	-0.321708449492385	-0.132013978242519	0.158902609175615	0.326445811157862	-0.189694471249865
chr1	2305992	2306122	130	+	exon	SKI	0.331667422527164	0.787559202556111	0.377592884304027	1	0.207489360577903	0.430145512409341	-0.428322184029554	-0.315209434678437	0.00056281110688278	0.00267421596491235	-0.113112749351117
chr1	2392758	2392890	132	+	intron	RER1	0.708849914164271	0.950430563310056	0.554488740739759	1	0.55703573212756	0.760151949813494	0.59639541767451	0.212778714309679	0.024562593793115	0.0738580711310997	0.38361670336483
chr1	2551528	2551662	134	-	exon	RP3-395M20.8	0.893128943090631	0.982163030524172	0.798962726249471	1	0.733201551984483	0.870174439294299	-0.329615920475541	-0.413125503719068	0.000140858491835529	0.000761949926152479	0.083509583243527
chr1	3707484	3707672	188	+	utr5	TP73	0.841660053635585	0.970733839420953	0.97868358195554	1	0.925744769813344	0.964786252807521	-0.4102087273733	-0.463922747452765	5.42626067781749e-11	7.66605140450489e-10	0.0537140200794649
chr1	3721943	3722079	136	+	exon	TP73	0.404924927721218	0.84375842406952	0.460358767906046	1	0.391186951770597	0.630290269998622	-0.684608792050592	-0.463922747452765	5.42626067781749e-11	7.66605140450489e-10	-0.220686044597827
chr1	3786959	3787239	280	-	exon	LRRC47	0.173169309409689	0.640301392391141	0.0908341393204361	1	0.0550299813744593	0.177940351861919	0.146215056692208	-0.162047955277675	0.140436112819952	0.297586236331198	0.308263011969883
chr1	6224812	6224942	130	-	utr3	ICMT	0.618082563841888	0.907652124319279	0.443117907648121	1	0.430512086306121	0.661936937403403	-0.120509167964546	-0.301587638866704	0.00641475629943153	0.0232315305794042	0.181078470902158
chr1	6250198	6250328	130	-	intron	GPR153	0.262256756283124	0.733514202530394	0.263918339724664	1	0.132080067248368	0.322636309111647	-1.01202963445388	-0.988896126571781	2.19927909898542e-18	6.17792312702045e-17	-0.0231335078821016
chr1	8358734	8358920	186	-	exon	RERE	0.064634260643602	0.432842807965958	0.0947839525683406	1	0.00748066849209259	0.0459777901576657	-0.0482839438435524	0.371637852877588	1.93976478865432e-08	1.99080639880538e-07	-0.41992179672114
chr1	8359799	8359953	154	-	exon	RERE	0.455738137736912	0.858246060986152	0.300991393479862	1	0.240316527129229	0.472629724161627	0.773010905212854	0.371637852877588	1.93976478865432e-08	1.99080639880538e-07	0.401373052335267
chr1	8360585	8360844	259	-	exon	RERE	0.148447049456189	0.617392852331925	0.11410502646816	1	0.105228892178623	0.281167777739476	-0.0354315996817319	0.371637852877588	1.93976478865432e-08	1.99080639880538e-07	-0.40706945255932
chr1	8861179	8861443	264	-	utr3	ENO1	0.0245858762776377	0.288590555690012	0.00962348924687093	1	3.63618585154329e-07	1.18883076312957e-05	0.12348877506373	-0.503352388230825	1.53216258211474e-35	1.21708709727986e-33	0.626841163294555
