seqnames	start	end	width	strand	annot	main.gene	deseq2.p	deseq2.padj	edger.p	edger.padj	qnb.p	qnb.padj	peak.l2fc	gene.l2fc	gene.p	gene.padj	diff.l2fc
chr1	630445	630619	175	+	exon	MTND2P28	0.565008875287094	0.922036921405439	0.49073219822727	1	0.726017892979556	0.798842387152659	1.78663468406789	1.75084901929618	0.0168095687872517	0.0925722306951234	0.0357856647717087
chr1	631673	631813	141	+	exon	MTCO1P12	0.912965307068378	0.987434198991175	0.959740266798949	1	0.0103672372857072	0.0234078557346822	0.800008492185799	1.26168024038479	0.10105260598375	0.305392808246966	-0.461671748198994
chr1	633951	634137	187	+	exon	MTATP6P1	0.53768701965953	0.916147033196996	0.586515928322469	1	1.74993864525224e-09	1.88499397012606e-08	1.12373105689522	1.47850987101984	0.0013475758817525	0.0142348152074948	-0.354778814124621
chr1	955209	955324	116	-	intron	NOC2L	0.973420470259583	0.99712634813087	0.993758618624896	1	0.16338332087217	0.243749884362322	0.497752571004366	-0.560931622632756	0.00337417607285832	0.0289740142050587	1.05868419363712
chr1	957934	958037	104	-	exon	NOC2L	0.982669630891235	0.997887083652603	0.988941506090708	1	0.0437889725874975	0.0807287934581107	0.011471313559926	-0.560931622632756	0.00337417607285832	0.0289740142050587	0.572402936192682
chr1	975070	975175	106	+	utr3	PLEKHN1	0.0306635844653849	0.356701567287681	0.00107747408006825	1	3.12000955428188e-06	1.73870651546491e-05	3.95851233493684	1.25169464835498	0.416019935999858	0.683266877801578	2.70681768658186
chr1	1065798	1066013	216	+	exon	RP11-465B22.3	0.686012729722485	0.94559941493783	0.678248976170885	1	0.0001281375568349	0.000490882253150714	0.79005362946257	0.621763220715474	0.642615033226977	0.840726538817232	0.168290408747096
chr1	1066111	1066281	171	+	exon	RP11-465B22.3	0.0466146435682854	0.416773833668071	0.0219679538546078	1	0.000336310584622681	0.00115846293249829	-0.152631186512873	0.621763220715474	0.642615033226977	0.840726538817232	-0.774394407228347
chr1	1082366	1082807	442	-	utr3	C1orf159	0.805711228177797	0.973165375397528	0.827794750903499	1	0.815758299808756	0.872948992068618	0.86917041521766	0.673130694035481	0.00717603112469063	0.0504723081335118	0.196039721182179
chr1	1217405	1217537	133	-	utr3	SDF4	0.799727626936481	0.97180719985824	0.743008174755908	1	0.00225440208764325	0.00621722728475886	-0.106533923022201	-0.267637280789902	0.246460631338948	0.516626447230486	0.161103357767701
chr1	1223319	1223419	101	-	exon	SDF4	0.38482683906213	0.863154010348983	0.36845643319685	1	2.59634440445674e-19	1.11757048545436e-17	0.348821933651884	-0.267637280789902	0.246460631338948	0.516626447230486	0.616459214441786
chr1	1223895	1224038	144	-	exon	SDF4	0.101455137537537	0.583678835090351	0.0831925063999928	1	5.21706300764396e-15	1.23115822423808e-13	0.1363490996157	-0.267637280789902	0.246460631338948	0.516626447230486	0.403986380405602
chr1	1232800	1232905	106	+	exon	B3GALT6	0.423091401146983	0.884767102915793	0.375482510232152	1	2.77886555039119e-09	2.85610049548802e-08	0.715072476141673	-0.847040454070076	0.008751431548358	0.0586228860760976	1.56211293021175
chr1	1232998	1233103	106	+	exon	B3GALT6	0.592183856762432	0.924287882007202	0.589188480916082	1	3.28082627899232e-18	1.19273552662961e-16	-0.262857137503221	-0.847040454070076	0.008751431548358	0.0586228860760976	0.584183316566856
chr1	1233972	1234119	148	+	utr3	B3GALT6	0.0167574949105332	0.265261287083793	0.0412355572167403	1	1.60929667810547e-10	2.04458577958594e-09	-1.19627535787985	-0.847040454070076	0.008751431548358	0.0586228860760976	-0.349234903809773
chr1	1234721	1234957	237	+	utr3	B3GALT6	0.63013290520777	0.934649385649227	0.614322369614439	1	4.33347799386207e-08	3.55160370845009e-07	-0.794820403270393	-0.847040454070076	0.008751431548358	0.0586228860760976	0.0522200507996829
chr1	1317388	1317692	305	-	exon	CPSF3L	0.319857122942272	0.822788272265784	0.231697594426848	1	0.235937661041589	0.330546175038216	0.0231853526796738	-0.409620910086137	0.0461313350500858	0.184275362446918	0.432806262765811
chr1	1328447	1328803	357	+	utr3	CPTP	0.0483604095004297	0.425216878461203	0.0543581459246353	1	0.778680383082556	0.842911135937168	0.688598765663364	-0.375038290215767	0.372546312925935	0.647516445493806	1.06363705587913
chr1	1361518	1361637	120	-	utr5	MXRA8	0.114452571199142	0.605389423286273	0.0681786510081628	1	0.621182955460425	0.711122317415919	0.441881548836129	0.580335221190647	0.154718818585529	0.399295550602364	-0.138453672354518
chr1	1373793	1373942	150	-	utr3	AURKAIP1	0.697917104753232	0.947651564413252	0.685657094641037	1	9.22596275695187e-13	1.65467642045932e-11	0.513788847061636	0.189356721136211	0.676863240450954	0.86065336948977	0.324432125925425
chr1	1374065	1374188	124	-	exon	AURKAIP1	0.562949089277901	0.921393509757612	0.564627811798919	1	1.4544312828051e-08	1.30862333062422e-07	0.700593331076102	0.189356721136211	0.676863240450954	0.86065336948977	0.511236609939891
chr1	1385867	1386004	138	-	exon	CCNL2	0.781650006814246	0.966331346074312	0.796350184456434	1	2.12412968665587e-09	2.23657138533305e-08	1.64632323491186	0.585605131194228	0.00146893206600157	0.0151869916331965	1.06071810371763
chr1	1386763	1387582	820	-	utr3	CCNL2	0.234634686679666	0.761566390681077	0.284292814057296	1	0.00238989227884899	0.00654392641544376	0.899935645622133	0.585605131194228	0.00146893206600157	0.0151869916331965	0.314330514427905
chr1	1400632	1400930	299	+	exon	RP4-758J18.2	0.314257447486783	0.819246104322531	0.275537027412116	1	0.961216693733045	0.976829997285985	-0.793298749008918	-0.419717646239029	0.36745289874252	0.643193663629486	-0.373581102769889
chr1	1400982	1401406	425	+	exon	RP4-758J18.2	0.621322513785074	0.931955579726681	0.616308013044336	1	7.6844570757432e-17	2.26197434107959e-15	-0.461458771901349	-0.419717646239029	0.36745289874252	0.643193663629486	-0.0417411256623202
chr1	1402063	1402229	167	-	utr3	MRPL20	0.87171656971227	0.981685992247455	0.891968957568515	1	0.0132617170201443	0.029000068452301	0.0848732401467824	0.0203579001542074	0.948850888775694	0.982130747922468	0.064515339992575
chr1	1407539	1407646	108	-	utr5*	MRPL20	0.00180921504685862	0.0769877932375243	0.000361638632248743	1	2.41145948586794e-08	2.075977242194e-07	0.691214294760431	0.0203579001542074	0.948850888775694	0.982130747922468	0.670856394606224
chr1	1541745	1541849	105	-	utr3	SSU72	0.727753713969515	0.953511489057296	0.6957942434885	1	0.0185615258315758	0.038792110987296	0.659293795877824	0.397019516051152	0.0256474763128825	0.12438770340523	0.262274279826672
chr1	1543954	1544058	105	-	exon	SSU72	0.166704852692483	0.687497156743569	0.203494873699706	1	0.045639415917809	0.083581646475756	1.07992035170609	0.397019516051152	0.0256474763128825	0.12438770340523	0.68290083565494
chr1	1544945	1545048	104	-	exon	SSU72	0.558387636713053	0.920031921933612	0.65096462648349	1	0.336237549136986	0.440390976906416	0.293281895074608	0.397019516051152	0.0256474763128825	0.12438770340523	-0.103737620976544
chr1	1598076	1598256	181	-	utr3	FNDC10	0.940741390458674	0.992812030127954	0.885814007853545	1	0.000289314911274566	0.0010134497917401	-1.11784539463252	-0.76759481242387	0.00660272564210201	0.0475396246231345	-0.350250582208655
chr1	1649557	1649671	115	-	exon	CDK11B	0.479104308286707	0.902157344727588	0.444473523117419	1	0.703601552732867	0.781448684999317	-0.129276701701351	0.746951013402963	0.502808851304388	0.748011324201019	-0.876227715104314
chr1	1665058	1665765	708	-	utr3	SLC35E2B	0.773043830836254	0.962526754785592	0.783315313849675	1	5.89375631083195e-08	4.68409982724243e-07	-0.443251167888368	0.000799996348916874	0.998580635122025	0.999779699753638	-0.444051164237285
chr1	1785428	1785529	102	-	utr3	GNB1	0.330745042865671	0.831225692600067	0.520851791935477	1	0.0303154017844568	0.0590023582207523	-0.312611835663545	-0.429922249245501	0.0756281198160296	0.25315424105118	0.117310413581956
chr1	2185156	2185309	154	-	utr3	FAAP20	0.0112692562870206	0.217387589020592	0.00766358621244936	1	2.10712452113103e-08	1.83304502602191e-07	-2.10265925711545	-0.647248895344381	0.0056726501572693	0.0427974687097836	-1.45541036177107
chr1	2306783	2306922	140	+	utr3	SKI	0.411272760139996	0.878063755569615	0.338115014125351	1	0.312264587671121	0.415105525377262	-0.21822577973056	-0.522549624401565	0.0119470816140332	0.0730728828030737	0.304323844671006
chr1	2307824	2308062	239	+	utr3	SKI	0.589808239692235	0.923333396401168	0.629091298013778	1	0.342299541415261	0.446591339133078	-0.149671343724655	-0.522549624401565	0.0119470816140332	0.0730728828030737	0.372878280676911
chr1	2308189	2308380	192	+	utr3	SKI	0.477438068302396	0.902157344727588	0.484077180079634	1	0.372717322229138	0.478046615555155	-0.000536138992554556	-0.522549624401565	0.0119470816140332	0.0730728828030737	0.522013485409011
chr1	2392880	2393346	467	+	utr5	RER1	0.705294695425248	0.948526012545652	0.648252526579979	1	0.0152989044518539	0.0327624897127164	0.59928027111416	0.252521817028778	0.164736697860895	0.414164549117868	0.346758454085382
chr1	2403046	2403214	169	+	utr3	RER1	0.946878168410829	0.993803917442291	0.996629521688836	1	0.0380451888248164	0.0715923422670556	0.252186372172529	0.252521817028778	0.164736697860895	0.414164549117868	-0.000335444856248535
chr1	2403341	2403473	133	+	utr3	RER1	0.0523703638275369	0.441838216424892	0.0976518903894387	1	0.000124074800022527	0.000477357498406299	0.328890144190741	0.252521817028778	0.164736697860895	0.414164549117868	0.0763683271619633
chr1	2508564	2508816	253	-	utr3	PANK4	0.422317773404788	0.884767102915793	0.467611823870653	1	0.464921041008156	0.569430380410741	0.270231765072944	-0.589411646584334	0.0264993324951999	0.127502298312592	0.859643411657278
chr1	3733396	3733834	439	+	utr3	TP73	0.86183708674506	0.981685992247455	0.882280248396713	1	1.88430483078281e-06	1.10201110239423e-05	0.579308107974021	-0.0775266169247955	0.819103687334636	0.930715173357412	0.656834724898816
chr1	3889785	3889913	129	-	utr3	C1orf174	0.409774635389224	0.878063755569615	0.336552724331557	1	0.493545095627989	0.597014250680394	-0.0258995330114711	0.256565204069136	0.353231012765931	0.629585429680855	-0.282464737080607
chr1	3889969	3890114	146	-	exon	C1orf174	0.305981879538721	0.817470576161527	0.231363997980237	1	0.0761084737701129	0.128269896043882	0.0176295179858372	0.256565204069136	0.353231012765931	0.629585429680855	-0.238935686083299
chr1	3890613	3890845	233	-	exon	C1orf174	0.9828077414321	0.997887083652603	0.94431017849999	1	0.0875491150926948	0.144142599068618	0.406956187305134	0.256565204069136	0.353231012765931	0.629585429680855	0.150390983235999
chr1	6065401	6065824	424	+	intron	KCNAB2	0.796645896483345	0.971145337202164	0.794666071844706	1	0.786951636654391	0.849597717381434	2.25277450696073	-0.638678628977154	0.000161772313152031	0.00255771490097751	2.89145313593789
chr1	6098631	6098851	221	+	utr3	KCNAB2	0.682441380284528	0.94559941493783	0.754449408374363	1	0.062580833134412	0.108705786175853	-0.532029753069953	-0.638678628977154	0.000161772313152031	0.00255771490097751	0.106648875907201
chr1	6100981	6101128	148	+	utr3	KCNAB2	0.0861215543727843	0.549943309230384	0.118969893814468	1	2.95565484749219e-09	3.02912398227271e-08	-0.543443398980059	-0.638678628977154	0.000161772313152031	0.00255771490097751	0.0952352299970959
chr1	6224436	6224963	528	-	utr3	ICMT	0.000673089869052564	0.0417054133228402	0.00566093172425571	1	1.81632003096549e-12	3.0975308800665e-11	-1.11512043031835	0.0862184115053849	0.692691262094583	0.869256227318941	-1.20133884182374
chr1	6581052	6581248	197	+	exon	ZBTB48	0.018154507023122	0.27523255436181	0.048509729569613	1	0.064224197999104	0.11105842755397	0.0561669956837098	-0.162672561485262	0.457037701756946	0.715429121669174	0.218839557168972
