seqnames	start	end	width	strand	annot	main.gene	deseq2.p	deseq2.padj	edger.p	edger.padj	qnb.p	qnb.padj	metdiff.p	metdiff.padj	peak.l2fc	gene.l2fc	gene.p	gene.padj	diff.l2fc
chr1	10180840	10180990	151	+	utr3	UBE4B	0.982262821245873	0.995112122379807	0.962966348380197	1	0.911588519417633	1	0.355243870880565	0.756379540988851	0.13830825592945	-0.105647802104728	0.686614673489825	0.88815713731067	0.243956058034178
chr1	40514811	40514911	101	+	exon	EXO5	0.782633114540922	0.975485730835953	0.711281519152159	1	0.860522812101492	1	0.660956782964175	0.954830021778334	0.386708439501249	0.851229399258809	0.381128435331676	NA	-0.46452095975756
chr1	40515409	40515509	101	+	exon	EXO5	0.872801568656792	0.983730754323289	0.768734715564719	1	0.896698310596951	1	0.943077454907971	1	0.127375753950523	0.851229399258809	0.381128435331676	NA	-0.723853645308286
chr1	43990376	43990624	249	+	utr3	B4GALT2	0.916232535698935	0.983730754323289	0.896585354712683	1	0.839406929226007	1	0.877975542555065	1	-0.663650946582866	0.0348108819218118	0.89192243530289	0.962318714737937	-0.698461828504678
chr1	53196976	53197333	358	+	exon	CPT2	0.61830480697435	0.975485730835953	0.48762779014283	1	0.713030621369455	1	0.621796065197293	0.938927409858027	-1.13972531894373	-0.305161455608569	0.530064323097691	0.806212332616911	-0.834563863335158
chr1	53210126	53210275	150	+	utr3	CPT2	0.813328382828207	0.983730754323289	0.740333031890366	1	0.860548973092692	1	0.39899656268427	0.778441338318746	0.0039330718183545	-0.305161455608569	0.530064323097691	0.806212332616911	0.309094527426924
chr1	53210574	53210674	101	+	utr3	CPT2	0.93942482383137	0.988909090034806	0.868851267360288	1	0.934965003051631	1	0.965296660050696	1	-0.286853228456505	-0.305161455608569	0.530064323097691	0.806212332616911	0.0183082271520649
chr1	63659746	63659846	101	+	utr3	PGM1	0.451724530761147	0.972623264723251	0.352433458850227	1	0.330054871083565	0.879253012114859	0.216953938834003	0.608612020301379	-1.33672972919956	-0.320392871469206	0.194397903113663	0.504831443678725	-1.01633685773035
chr1	119659798	119659897	100	+	exon	PHGDH	NA	NA	1	1	1	1	0	0	NA	-0.848378161763359	0.00718854937089471	0.0646440484633586	NA
chr1	119711905	119712005	101	+	utr5	PHGDH	0.203815819184182	0.906501564719698	0.161661153971302	1	0.220905228286368	0.834260627653453	0.0819251960979843	0.450197550320007	0.334265575487803	-0.848378161763359	0.00718854937089471	0.0646440484633586	1.18264373725116
chr1	150159263	150159611	349	+	utr3	PLEKHO1	0.744310389821149	0.975485730835953	0.648567793356954	1	0.736501932930794	1	0.911405181048714	1	-0.710113354546235	-0.270355045594826	0.700575409960514	0.894780057815863	-0.43975830895141
chr1	178916504	178917003	500	+	utr3	RALGPS2	0.633987100840018	0.975485730835953	0.642634501130448	1	0.651057631263613	1	0.801631022661788	1	-0.818510274146161	-0.534050115361275	0.056937522454201	0.250389874743717	-0.284460158784886
chr1	180094048	180094198	151	+	exon	CEP350	0.265088262453704	0.906501564719698	0.148638036273662	1	0.260048258718149	0.834260627653453	0.13370814914405	0.530315429375388	-1.61983726209858	-0.285663514366059	0.297978674628224	0.621382133825928	-1.33417374773252
chr1	180094347	180094546	200	+	exon	CEP350	0.637075039349642	0.975485730835953	0.535860449127765	1	0.675448017002978	1	0.616765206550756	0.938927409858027	-0.473473086427925	-0.285663514366059	0.297978674628224	0.621382133825928	-0.187809572061866
chr1	193250730	193250829	100	+	utr3	CDC73	0.0677730610101436	0.906501564719698	0.0263374505906995	1	0.0477658074124776	0.554733864534983	0.0425506190580686	0.332327080341106	-2.65098780873277	-0.597473827513532	0.0217863274879129	0.136667670688148	-2.05351398121924
chr1	24358193	24358442	250	-	utr3	STPG1	0.603570043666275	0.975485730835953	0.530856195688598	1	0.617560334829362	1	0.891087163125477	1	-0.468075199289896	0.284897233543213	0.546773888926652	0.814495818694857	-0.75297243283311
chr1	155188334	155188433	100	-	exon	MUC1	0.226089298184782	0.906501564719698	0.129676012798599	1	0.26005705000703	0.834260627653453	0.163850777873071	0.559558382993856	1.57371334373075	0.320700523897461	0.631323765958336	0.861960422721129	1.25301281983329
chr1	155900337	155900437	101	-	utr3	RIT1	0.543312570103407	0.975485730835953	0.420296788951439	1	0.483727301874547	0.96732312868183	0.416334776105835	0.778897560582516	-0.407379785616666	0.170147923839883	0.608229117783206	0.850900443639188	-0.577527709456549
chr1	155911255	155911354	100	-	utr5	RIT1	0.119516088955369	0.906501564719698	0.0599983204229464	1	0.0996777862255713	0.683504819832489	0.074365027632106	0.433569611650052	1.29199250999909	0.170147923839883	0.608229117783206	0.850900443639188	1.1218445861592
