seqnames	start	end	width	strand	annot	main.gene	deseq2.p	deseq2.padj	edger.p	edger.padj	qnb.p	qnb.padj	metdiff.p	metdiff.padj	peak.l2fc	gene.l2fc	gene.p	gene.padj	diff.l2fc
chr1	3671326	3671516	190	-	utr5	Xkr4	0.197800163449743	NA	0.161818583241599	1	0.223219355585476	0.994526967317028	0.274047348773012	0.384729311357364	3.60065692624785	3.44750597064915	0.000366680668746604	0.00742269398937335	0.153150955598702
chr1	4781984	4782156	172	-	utr3	Mrpl15	0.529864725076624	NA	0.585488173748162	1	0.697457148510665	0.994526967317028	0.88565005581154	0.930487889570694	-0.194497651978959	-0.20771389293478	0.387296602845202	0.753834792064572	0.0132162409558209
chr1	7169669	7169808	139	+	utr3	Pcmtd1	0.731343175659795	NA	0.585071856390964	1	0.783600743772002	0.994526967317028	0.122510666627042	0.217946620456444	-0.0484239699811067	-0.436098979255845	0.236228573133531	0.622871136425403	0.387675009274739
chr1	9545894	9546089	195	+	exon	Rrs1	0.635753039730302	0.947118653531274	0.951286525901333	1	0.953433849245648	0.994526967317028	0.0132848545087547	0.0672643332933479	0.502499098485949	0.166796668214788	0.443225357788276	0.795632004269119	0.33570243027116
chr1	9546204	9546636	432	+	utr3	Rrs1	0.0089540748976565	0.272694635423584	0.033379244869758	1	0.000970170456091438	0.461137336261146	0.748433902415798	0.822822594053237	1.09534712882735	0.166796668214788	0.443225357788276	0.795632004269119	0.928550460612558
chr1	9724527	9724852	325	-	exon	Vcpip1	0.508628961040702	0.918293278970606	0.767178591042996	1	0.823068319081329	0.994526967317028	0.0123219164268523	0.065167213779331	0.0354148227877785	-0.139235928866425	0.676327467310304	0.911084342582291	0.174650751654203
chr1	9745962	9746256	294	-	exon	Vcpip1	0.237307105077733	0.77892975894937	0.325639998138829	1	0.327854344637347	0.994526967317028	0.986662991011477	0.999700643076355	0.200647240157756	-0.139235928866425	0.676327467310304	0.911084342582291	0.339883169024181
chr1	9746484	9747137	653	-	exon	Vcpip1	0.649287637610436	0.951725472798721	0.873588067877645	1	0.918101774409609	0.994526967317028	0.0300610550961261	0.0957489485440383	0.155104150512045	-0.139235928866425	0.676327467310304	0.911084342582291	0.29434007937847
chr1	9747406	9747912	506	+	exon	1700034P13Rik	0.500958128131248	0.914551329618537	0.738535264314673	1	0.886819320689618	0.994526967317028	0.0333290573164241	0.100822905583084	0.527307627978906	0.111042504140446	0.972423701588767	NA	0.41626512383846
chr1	10037740	10037843	103	-	utr5	Cops5	0.138270094486819	0.671679816193082	0.227120268247077	1	0.244536514796919	0.994526967317028	0.594969790315	0.692740530532765	0.869631402684951	-0.151941983578529	0.543296196423714	0.85125594536199	1.02157338626348
chr1	10805557	10805706	149	+	exon	Gm5522	0.956941111393089	NA	0.925619489260887	1	0.86047715364065	0.994526967317028	0.912170873089541	0.94964009431759	1.42033252468152	2.00347659508706	0.390349872265753	NA	-0.583144070405544
chr1	12858862	12859362	500	+	utr3	Sulf1	0.988342817780545	0.996836024109414	0.705529162637261	1	0.827815238837319	0.994526967317028	0.0114158514173147	0.0636594384804599	1.3194853636695	1.32397438004346	6.60888317887387e-10	6.35694722950472e-08	-0.00448901637396215
chr1	12859766	12859866	100	+	utr3	Sulf1	0.995716363811232	NA	0.828031291606079	1	0.971130469495379	0.994526967317028	0.0907096097901239	0.179200993314638	0.975762384892135	1.32397438004346	6.60888317887387e-10	6.35694722950472e-08	-0.348211995151328
chr1	12871855	12872196	341	-	utr3	Slco5a1	0.716883130430145	NA	0.830097645637126	1	0.755244165930891	0.994526967317028	0.373040899836346	0.486210611022653	1.91280733520206	2.38750639575484	3.99102068103391e-05	0.00117452378645951	-0.474699060552773
chr1	13174087	13174883	796	-	exon	Ncoa2	0.830479390604571	0.982223850305462	0.575219499426868	1	0.578382124546934	0.994526967317028	0.00553947517570119	0.0526376193128416	0.187930589208645	0.355217632291725	0.191695501143752	0.564864619400808	-0.16728704308308
chr1	14170684	14170863	179	-	utr3	Eya1	0.14020510048391	NA	0.0532405879870853	1	0.234236320489068	0.994526967317028	0.0602593853622634	0.141580607311804	-0.567740777265948	-0.373657370792839	0.398061250413737	0.763723405746945	-0.194083406473109
chr1	14754105	14754291	186	-	utr3	Msc	0.96358495150682	NA	0.866303671176393	1	0.763907806695455	0.994526967317028	0.1127246927235	0.206213712042506	-0.448051668888812	-0.213930605247382	0.783164698963202	0.943916385483424	-0.23412106364143
chr1	14755154	14755354	200	-	exon	Msc	0.577033181078157	NA	0.665530872689604	1	0.719437100162635	0.994526967317028	0.332184610226584	0.445737261356982	-0.316849956061606	-0.213930605247382	0.783164698963202	0.943916385483424	-0.102919350814224
chr1	16105981	16106181	200	+	utr5	Rdh10	0.00302925687878229	NA	0.00102384368582327	1	0.0276123010703978	0.994526967317028	0.00468529761663106	0.0505446861394615	-0.0598275174021763	2.68162253296182	4.43581684701214e-07	2.30341040041224e-05	-2.741450050364
chr1	17004313	17004424	111	-	exon	Jph1	0.152799022504614	NA	0.125315570861685	1	0.414604259662993	0.994526967317028	0.467226518682829	0.576734725926635	2.23395403891389	1.2818864996419	0.000686374016283073	0.0122200154054273	0.95206753927199
chr1	17091394	17091632	238	+	exon	Gm28376	0.416104817947789	NA	0.528097111862025	1	0.356154890848862	0.994526967317028	0.387884009601837	0.501439422614291	1.90099093039434	NA	NA	NA	NA
chr1	20935515	20935782	267	+	utr3	Paqr8	0.871307174817746	NA	0.773192004343054	1	0.759107747228657	0.994526967317028	0.831762797329264	0.889038848137477	0.426424785086815	0.354036088366452	0.556054934634122	0.857124967054531	0.0723886967203629
chr1	23369768	23370285	517	-	exon	Ogfrl1	0.0335919771721384	0.4266949427925	0.0677622156354724	1	0.136109487920135	0.994526967317028	0.466421093859979	0.576054880868836	0.232658089387235	-0.546426622214204	0.194772670344549	0.568761595635304	0.77908471160144
chr1	24028479	24028648	169	-	utr3	Fam135a	0.510984094194637	NA	0.661125689228243	1	0.876684839834232	0.994526967317028	0.280891439909035	0.391905281156045	0.052862013289487	0.515836855228925	0.112969266192369	0.437123300515121	-0.462974841939438
