seqnames	start	end	width	strand	annot	main.gene	deseq2.p	deseq2.padj	edger.p	edger.padj	qnb.p	qnb.padj	peak.l2fc	gene.l2fc	gene.p	gene.padj	diff.l2fc
chr1	4781455	4782141	687	-	utr3	Mrpl15	0.0689892852544572	0.169501386416292	0.00637869466281271	1	0.0161714900857151	0.0662035478763078	-1.83675824838582	-0.022777805215827	0.909685716425049	0.966555178859912	-1.81398044317
chr1	6240138	6240309	172	+	exon	Rb1cc1	0.173008271990987	0.329717240264321	0.085666902287508	1	0.138694823521119	0.274226572256393	-1.32304581155999	-0.620211319670587	0.0761443950106779	0.268288854973008	-0.702834491889403
chr1	6248337	6250061	1725	+	exon	Rb1cc1	0.585360704256158	0.744288996108435	0.974296595199125	1	0.767120242353527	0.855353120045471	-0.269370718909484	-0.620211319670587	0.0761443950106779	0.268288854973008	0.350840600761103
chr1	6251016	6251762	747	+	exon	Rb1cc1	0.521494987706578	0.694292861024359	0.201507760763382	1	0.375889446715132	0.536009094727783	-0.776546123873648	-0.620211319670587	0.0761443950106779	0.268288854973008	-0.156334804203061
chr1	7169594	7169893	300	+	utr3	Pcmtd1	0.889699725149397	0.94313366807724	0.523877844672372	1	0.649553006668732	0.768954894594097	0.205923130121034	-0.20112225238973	0.612326433190861	0.829213615450918	0.407045382510764
chr1	9545466	9546942	1477	+	utr3	Rrs1	0.203497286154182	0.369225388034983	0.776340434184712	1	0.819212092142872	0.891610198754264	0.762765258494805	0.326459249876786	0.084203893186776	0.284319769028067	0.436306008618019
chr1	9724495	9725354	860	-	exon	Vcpip1	0.194496187199837	0.357922014860694	0.0958147883978915	1	0.110386790623915	0.235772874527385	-0.324390541083	0.382565428728001	0.210378169300262	0.486558273875503	-0.706955969811001
chr1	9745849	9746274	426	-	exon	Vcpip1	0.734028920407593	0.848491949992667	0.895134528559921	1	0.893726140169382	0.938248058556115	0.899176431611972	0.382565428728001	0.210378169300262	0.486558273875503	0.516611002883971
chr1	9746449	9747125	677	-	exon	Vcpip1	0.882282514961941	0.938604367255568	0.659990412203474	1	0.902943627111892	0.943854124335159	0.507905169269168	0.382565428728001	0.210378169300262	0.486558273875503	0.125339740541167
chr1	9747372	9748374	1003	-	utr5	Vcpip1	0.869996603666914	0.931654819515061	0.557115018059867	1	0.484267038963973	0.635701795103725	1.08132814389337	0.382565428728001	0.210378169300262	0.486558273875503	0.698762715165371
chr1	10035118	10035267	150	-	utr3	Cops5	0.00892867481035978	0.0360908697119328	0.0879588441397458	1	0.0189239305349844	0.0732259888328293	0.896001187084793	-0.430399530866662	0.0471494378926941	0.194962791966954	1.32640071795145
chr1	10037766	10037915	150	-	utr5	Cops5	7.64157622003437e-05	0.00109289474133317	0.00237530236084064	1	0.0016359998569187	0.0158374035618886	1.26886142760504	-0.430399530866662	0.0471494378926941	0.194962791966954	1.69926095847171
chr1	10066390	10066740	351	+	exon	Cspp1	0.555179543875034	0.722350015102484	0.93819172588861	1	0.94959327040999	0.970141178161782	-0.663844182782262	-0.632518738290932	0.0290745997161032	0.143163682492666	-0.0313254444913302
chr1	12858747	12859540	794	+	utr3	Sulf1	0.800713833378199	0.889005472800129	0.613149302093316	1	0.71722233504142	0.818277843999809	0.575548243651056	0.581686032343356	0.0127731922242506	0.083851032251046	-0.00613778869230053
chr1	13113901	13114349	449	-	utr3	Prdm14	0.699118388156436	0.824094619545173	0.249987275398725	1	0.414040791231515	0.5706339428805	-1.78707210135956	-0.958183239696502	0.000545097554269935	0.00824431778138553	-0.828888861663058
chr1	13174194	13174850	657	-	exon	Ncoa2	0.849155689662795	0.91908615822326	0.619762918453617	1	0.90488625045486	0.945111083395401	0.909315929638878	0.705723160183703	0.00644392063871048	0.0515655120265636	0.203592769455175
chr1	14170377	14170904	528	-	utr3	Eya1	0.766120081604124	0.868049458897885	0.442797598682677	1	0.672879253382713	0.787193037524217	-0.0890726632539127	0.481856763306439	0.275235914317083	0.562351405653457	-0.570929426560352
chr1	14753651	14754433	783	-	utr3	Msc	0.22788161739615	0.401272402315821	0.0315754577999336	1	0.0333167561056269	0.105554594478253	-2.24411351786145	-1.49091302261867	1.61077389454088e-06	7.93414979135338e-05	-0.753200495242779
chr1	14755179	14755927	749	-	utr5	Msc	0.36990712343526	0.560662658765788	0.0769193002321804	1	0.088628671738928	0.203015977504989	-1.66957497754261	-1.49091302261867	1.61077389454088e-06	7.93414979135338e-05	-0.178661954923941
chr1	15805662	15805828	167	+	utr5	Terf1	0.00166593725306713	0.0098058147165634	0.0250373054223536	1	0.0176767956047299	0.0700627159124971	1.53341241712686	-0.364652846603571	0.156624544081384	0.414136093489904	1.89806526373043
chr1	15842828	15843059	232	+	exon	Terf1	0.0240574909092195	0.077121770380104	0.157852931003825	1	0.00308040007588347	0.0229453067770079	1.09399792847	-0.364652846603571	0.156624544081384	0.414136093489904	1.45865077507358
chr1	16105721	16105886	166	+	utr5	Rdh10	0.0331488075590657	0.0980018552551919	0.0036850208258529	1	0.0267553129055223	0.0916694037468347	-1.0852685038223	0.687240153110829	0.269982659708347	0.556295531168414	-1.77250865693313
chr1	16344680	16344832	153	-	utr3	Stau2	0.288165363745949	0.472028922662877	0.0881874359777811	1	0.342518550843899	0.504605195682913	-1.16975717180133	0.5681622454678	0.174744912742795	0.439867208502028	-1.73791941726913
chr1	17097537	17097771	235	-	utr5	Jph1	0.626705152637002	0.773713230201266	0.832691102662835	1	0.604981535236126	0.733690754286361	2.04225019431749	1.74346853807599	2.16184884390854e-05	0.000649540758160563	0.298781656241506
chr1	20803281	20803438	158	-	utr3	Mcm3	0.0321320240941215	0.0957403166886069	0.00143637821172477	1	0.00149476750249341	0.0149835422915135	-1.69377879628529	-0.537203774342074	0.00572220621899492	0.0471887820548336	-1.15657502194321
chr1	20935572	20935727	156	+	utr3	Paqr8	0.50606129241171	0.681855279333342	0.247532733229959	1	0.43488521125657	0.591447341520304	-0.292089432273085	-0.437470912996775	0.311759032582237	0.59895199565806	0.14538148072369
chr1	20936330	20937217	888	+	utr3	Paqr8	0.32815486119078	0.516257812782073	0.0777559943854977	1	0.189466685070425	0.341040033126765	-0.80118373247934	-0.437470912996775	0.311759032582237	0.59895199565806	-0.363712819482565
