seqnames	start	end	width	strand	annot	main.gene	deseq2.p	deseq2.padj	edger.p	edger.padj	qnb.p	qnb.padj	metdiff.p	metdiff.padj	peak.l2fc	gene.l2fc	gene.p	gene.padj	diff.l2fc
chr1	4776337	4776595	259	-	utr3	Mrpl15	0.0379001014154218	0.26797241897047	0.00189044154588917	1	0.010811411733037	0.0793150812835151	0.126961188326032	0.474529172206959	-0.347746831267121	0.351801554023968	2.19771959441496e-07	7.91990876530859e-06	-0.69954838529109
chr1	4781389	4782055	667	-	utr3	Mrpl15	0.66219699957524	0.900744284175654	0.359461181167736	1	0.172232289731504	0.440474125364639	0.38343473881504	0.639494526109475	0.383202474673181	0.351801554023968	2.19771959441496e-07	7.91990876530859e-06	0.0314009206492127
chr1	6240115	6240368	254	+	exon	Rb1cc1	0.982750343537148	NA	0.738346245611263	1	0.94734081638008	0.987964111191542	0.167176829597039	0.499935050625779	-0.395745072005432	-0.246711080401367	0.0216554762748585	0.109504070700488	-0.149033991604065
chr1	6248468	6248609	142	+	exon	Rb1cc1	0.807942705925886	NA	0.447042113815893	1	0.552488744113265	0.801284126117149	0.231762748673622	0.542859274640564	-0.282605879782513	-0.246711080401367	0.0216554762748585	0.109504070700488	-0.035894799381146
chr1	6248771	6249075	305	+	exon	Rb1cc1	0.339542442430362	0.728139122878305	0.583339305365505	1	0.578887908827236	0.818616428619164	0.915568305311994	0.952293275536821	0.123597376405541	-0.246711080401367	0.0216554762748585	0.109504070700488	0.370308456806908
chr1	6249168	6249292	125	+	exon	Rb1cc1	0.0823803026721199	NA	0.0539630267623205	1	0.0417970785474581	0.188820369519755	0.44114827179151	0.676243453020865	1.1476609159477	-0.246711080401367	0.0216554762748585	0.109504070700488	1.39437199634907
chr1	6249526	6250192	667	+	exon	Rb1cc1	0.881076652237187	0.973896239235089	0.358363908104862	1	0.118005938296912	0.35763144582772	0.537502493029419	0.730462689221589	-0.294002277662657	-0.246711080401367	0.0216554762748585	0.109504070700488	-0.0472911972612893
chr1	6251335	6251534	200	+	intron	Rb1cc1	0.467753353365829	NA	0.230626296658387	1	0.214386019553812	0.497423347237441	0.0870060735653782	0.445585896556454	-0.469937426373414	-0.246711080401367	0.0216554762748585	0.109504070700488	-0.223226345972046
chr1	7120303	7120613	311	+	utr5	Pcmtd1	0.681095367191441	NA	0.969047241618825	1	0.904656095756325	0.980512367045206	0.441642153618599	0.676560226242385	0.0570640033899252	-0.0988771469411237	0.297928899470642	0.579714310260046	0.155941150331049
chr1	7169577	7170019	443	+	utr3	Pcmtd1	0.10827846970494	0.460566382920426	0.0512700193416382	1	3.66197969364974e-06	0.000240029206030986	0.180251569656021	0.508164421184777	-1.03724716551759	-0.0988771469411237	0.297928899470642	0.579714310260046	-0.938370018576463
chr1	9546040	9546173	134	+	exon	Rrs1	0.0291167149918725	NA	0.00636532384073081	1	0.00772731063502975	0.063335995073149	0.0172731528315984	0.419467059977788	-1.18126318461187	0.137941166706643	0.214126929692747	0.48140668407301	-1.31920435131851
chr1	9546385	9546917	533	+	utr3	Rrs1	0.442553290066617	0.799648206827069	0.96130921025271	1	0.987488784708398	0.990015648691769	0.64086612194937	0.793960671557506	0.365505167330179	0.137941166706643	0.214126929692747	0.48140668407301	0.227564000623536
chr1	9724478	9724845	368	-	utr3	Vcpip1	0.697935592888249	0.913477694632909	0.835373373942064	1	0.670919665651425	0.872818214306062	0.466955331827946	0.688479669381016	-0.509163910527237	-0.112449484831872	0.231268709491165	0.503406277844415	-0.396714425695365
chr1	9724976	9725104	129	-	exon	Vcpip1	0.251698861022823	NA	0.370942099000949	1	0.146049602404028	0.40185221165101	0.762127420934368	0.861905905071394	1.04705389289779	-0.112449484831872	0.231268709491165	0.503406277844415	1.15950337772966
chr1	9745831	9746209	379	-	exon	Vcpip1	0.442607244573712	0.799648206827069	0.120939576912473	1	0.037150751010952	0.175739666312133	0.0656157496280322	0.437518305789548	-0.164743415820844	-0.112449484831872	0.231268709491165	0.503406277844415	-0.0522939309889714
chr1	9746397	9746851	455	-	exon	Vcpip1	0.0577009592737482	0.339579576748522	0.0955776178410495	1	0.0190694957655139	0.115423091392121	0.153032583760345	0.491637472298853	0.395103321265826	-0.112449484831872	0.231268709491165	0.503406277844415	0.507552806097698
chr1	9746896	9747021	126	-	exon	Vcpip1	0.18897223227106	NA	0.249462897069547	1	0.227460863717935	0.512245765280006	0.530131469128266	0.726390895692814	0.262432159132731	-0.112449484831872	0.231268709491165	0.503406277844415	0.374881643964603
