seqnames	start	end	width	strand	annot	main.gene	deseq2.p	deseq2.padj	edger.p	edger.padj	qnb.p	qnb.padj	peak.l2fc	gene.l2fc	gene.p	gene.padj	diff.l2fc
chr1	854474	854581	107	+	exon	LINC01128	0.212946379070818	NA	0.198117934499282	1	0.258547795099953	0.996887509924365	0.467610070856798	0.100848900917042	0.576074825989116	0.734684267986505	0.366761169939756
chr1	856641	856843	202	+	exon	LINC01128	0.348404559652408	NA	0.221313474791103	1	0.409121329628248	0.996887509924365	-0.0472185859207053	0.100848900917042	0.576074825989116	0.734684267986505	-0.148067486837747
chr1	919695	919864	169	-	exon	RP11-54O7.3	0.700406865496472	NA	0.5717376810619	1	0.691603131902378	0.996887509924365	-0.256546482997321	-0.28120587572357	0.185112614712862	0.33316240254817	0.0246593927262488
chr1	920480	920755	275	-	exon	RP11-54O7.3	0.0525775118822606	NA	0.0594552672755022	1	0.147966751239521	0.996887509924365	0.0824571354769361	-0.28120587572357	0.185112614712862	0.33316240254817	0.363663011200506
chr1	923990	924259	269	+	utr5	SAMD11	0.978913308462876	NA	0.880659991519017	1	0.850380175978989	0.996887509924365	1.14207243411954	0.826003371991842	3.31950477168497e-05	0.000178761278950755	0.316069062127698
chr1	924592	924850	258	+	exon	SAMD11	0.405868719101291	NA	0.302294720077904	1	0.255153321400013	0.996887509924365	0.709151208647224	0.826003371991842	3.31950477168497e-05	0.000178761278950755	-0.116852163344618
chr1	942808	942985	177	+	utr3	SAMD11	0.525064969589629	NA	0.573130249965629	1	0.582154984680496	0.996887509924365	0.955687480935879	0.826003371991842	3.31950477168497e-05	0.000178761278950755	0.129684108944037
chr1	974838	975494	656	+	utr3	PLEKHN1	0.993355723376072	0.999983935122862	0.865126972631908	1	0.883897228726581	0.996887509924365	1.54607604988231	1.89551796342469	2.88006532642181e-35	1.43923466022373e-33	-0.349441913542379
chr1	1000410	1000788	378	+	utr5*	ISG15	0.313643486020238	0.999983935122862	0.209279974795455	1	0.220563052115312	0.996887509924365	2.11747803095698	6.54574973092904	0	0	-4.42827169997205
chr1	1055017	1055281	264	+	utr3	AGRN	0.0997966102814377	0.999983935122862	0.152063811763803	1	0.117798836536695	0.996887509924365	2.05183493467867	1.93448168227888	9.73793782539994e-72	1.06735330672989e-69	0.117353252399789
