seqnames	start	end	width	strand	annot	main.gene	deseq2.p	deseq2.padj	edger.p	edger.padj	qnb.p	qnb.padj	metdiff.p	metdiff.padj	peak.l2fc	gene.l2fc	gene.p	gene.padj	diff.l2fc
chr1	3671327	3671516	190	-	utr5	Xkr4	0.197800163449211	NA	0.1618185832416	1	0.223219355585575	0.994526967317047	0.274061462139989	0.384928300130801	3.60065692624589	3.44750597064815	0.000366680668900073	0.00742269399248001	0.153150955597747
chr1	4781985	4782156	172	-	utr3	Mrpl15	0.529864725073479	NA	0.585488173748246	1	0.697457148510843	0.994526967317047	0.884246563141301	0.929553026989949	-0.194497651978462	-0.207713892934175	0.387296602930655	0.753834792109005	0.0132162409557132
chr1	7169670	7169808	139	+	utr3	Pcmtd1	0.731343175660744	NA	0.585071856391047	1	0.783600743771987	0.994526967317047	0.122510666627042	0.217946620456444	-0.0484239699837683	-0.436098979255835	0.236228573176458	0.622871136712306	0.387675009272066
chr1	9545895	9546089	195	+	exon	Rrs1	0.635753039741269	0.947118653527857	0.951286525903782	1	0.953433849245621	0.994526967317047	0.0132848545087547	0.0672267134201413	0.502499098486142	0.166796668215327	0.443225357881955	0.795632004301693	0.335702430270815
chr1	9546205	9546636	432	+	utr3	Rrs1	0.00895407489969385	0.272694635469312	0.0333792448698935	1	0.000970170456092017	0.461137336261421	0.748433902415798	0.822622685745643	1.09534712882738	0.166796668215327	0.443225357881955	0.795632004301693	0.928550460612056
chr1	9724528	9724852	325	-	exon	Vcpip1	0.508628961052277	0.918293278992325	0.767178591043989	1	0.82306831908132	0.994526967317047	0.0122307729100761	0.0649025264568239	0.035414822787674	-0.13923592886713	0.67632746734164	0.911084342642416	0.174650751654805
chr1	9745963	9746256	294	-	exon	Vcpip1	0.237307105076101	0.778929758944011	0.325639998138974	1	0.327854344637342	0.994526967317047	0.986662991013454	0.999700643078358	0.200647240158149	-0.13923592886713	0.67632746734164	0.911084342642416	0.33988316902528
chr1	9746485	9747137	653	-	exon	Vcpip1	0.649287637610818	0.951725472814627	0.873588067876695	1	0.918101774409603	0.994526967317047	0.0300610550961261	0.095873255731318	0.155104150512233	-0.13923592886713	0.67632746734164	0.911084342642416	0.294340079379364
chr1	9747407	9747912	506	+	exon	1700034P13Rik	0.500958128133297	0.914551329623663	0.738535264314998	1	0.886819320689601	0.994526967317047	0.0333290573164241	0.100789208087903	0.527307627979108	0.111042504142665	0.972423701589019	NA	0.416265123836443
chr1	10037741	10037843	103	-	utr5	Cops5	0.138270094481872	0.671679816288882	0.227120268247037	1	0.244536514796841	0.994526967317047	0.594969790312607	0.692562287758712	0.869631402685249	-0.151941983577598	0.543296196492995	0.851255945430185	1.02157338626285
